"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek CZARNOBAJ";"Kazimierz Józef JANIAK"
"7c1e-4d89-8c77-b339-b1f4-4d96-26e8-3a70";"220701";"67";"1";"miasto";"stały";"Przedszkole Niepubliczne ""Promyk"", ul. Kazimierza Wielkiego 2, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1180";"1272";"392";"788";"1";"2";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"21";"16";"5";"0";"767";"549";"218"
"c2dd-a617-46a9-3198-f8c2-493c-548d-1cd1";"220701";"67";"2";"miasto";"stały";"Przedszkole Niepubliczne ""Promyk"", ul. Kazimierza Wielkiego 2, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1580";"1701";"467";"1113";"0";"7";"1";"1";"0";"0";"0";"0";"1";"1112";"1";"0";"1112";"31";"18";"13";"0";"1081";"673";"408"
"6c48-c1af-731e-bc1d-20e3-0055-82c0-60b4";"220701";"67";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 1, ul. Konarskiego 12, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1329";"1428";"454";"875";"2";"9";"0";"0";"0";"0";"0";"0";"0";"875";"0";"0";"875";"30";"30";"0";"0";"845";"561";"284"
"25f6-4d3d-d1e4-109c-c656-bc70-2710-ea86";"220701";"67";"4";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Staszica 27, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1322";"1427";"442";"880";"2";"3";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"13";"8";"5";"0";"867";"581";"286"
"5939-0919-8f08-bbc0-a275-2062-a03b-a635";"220701";"67";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. mjra Henryka Sucharskiego sala gimnastyczna, ul. Mickiewicza 3, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1140";"1239";"380";"760";"0";"2";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"21";"14";"7";"0";"739";"419";"320"
"98d1-bb99-bf0f-c77c-92a0-64fe-79cc-31e5";"220701";"67";"6";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego, ul. Mickiewicza 56B, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1273";"1376";"410";"863";"1";"3";"0";"0";"0";"0";"0";"0";"0";"863";"0";"0";"863";"24";"9";"15";"0";"839";"533";"306"
"ceb9-1e7a-39ce-c57f-41da-3969-6f14-418e";"220701";"67";"7";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego, ul. Mickiewicza 56B, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"933";"1014";"295";"638";"2";"3";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"13";"5";"8";"0";"625";"412";"213"
"4608-626d-3240-9958-e95e-e5ae-2834-8aa6";"220701";"67";"8";"miasto";"stały";"Szkoła Podstawowa Nr 6 im dr Władysława Gębika, ul. Grunwaldzka 54, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1130";"1210";"391";"739";"0";"0";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"16";"5";"11";"0";"723";"445";"278"
"1595-8525-e2b9-9bc8-ea4c-df64-f8d2-e4fc";"220701";"67";"9";"miasto";"stały";"Przedszkole Niepubliczne Nr 2, ul. Kasprowicza 20F, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1341";"1430";"477";"864";"0";"1";"0";"0";"0";"0";"0";"0";"0";"864";"0";"0";"864";"19";"5";"14";"0";"845";"574";"271"
"741d-f18d-be2f-1655-2f77-328b-6f91-b5f7";"220701";"67";"10";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 2, ul. Słoneczna 2, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1307";"1431";"419";"888";"1";"5";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"18";"3";"15";"0";"870";"546";"324"
"cc00-e459-918a-ca39-17e2-5560-4ad9-311d";"220701";"67";"11";"miasto";"stały";"Hala Widowiskowo-Sportowa, ul. Wiejska 1A, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1191";"1300";"394";"797";"0";"8";"0";"0";"0";"0";"0";"0";"0";"797";"0";"0";"797";"29";"14";"15";"0";"768";"452";"316"
"3bc6-aca2-0e29-2c3c-1148-a0ea-637b-927d";"220701";"67";"12";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. Kamienna 18, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1262";"1364";"457";"805";"0";"2";"0";"0";"0";"0";"0";"0";"0";"805";"0";"0";"805";"25";"10";"15";"0";"780";"514";"266"
"575d-8e1c-338d-9dc1-8593-dfe9-bec6-d0c8";"220701";"67";"13";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. Kamienna 18, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1262";"1356";"414";"848";"0";"0";"0";"0";"0";"0";"0";"0";"0";"848";"0";"0";"848";"17";"2";"15";"0";"831";"550";"281"
"fbe1-6183-e5d6-4654-9047-7b38-4b05-8fdd";"220701";"67";"14";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Grudziądzka 6, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1209";"1303";"389";"820";"2";"4";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"11";"2";"9";"0";"809";"523";"286"
"e340-8d18-8929-ac0a-6409-9a43-544a-73c4";"220701";"67";"15";"miasto";"stały";"Kwidzyńskie Centrum Kultury, ul. 11 Listopada 13, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1170";"1271";"609";"561";"1";"2";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"20";"4";"16";"0";"541";"325";"216"
"e82b-78bc-efec-a477-97f4-9352-b615-50ed";"220701";"67";"16";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. Hallera 4, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"980";"1075";"393";"587";"0";"3";"0";"0";"0";"0";"0";"0";"0";"587";"0";"0";"587";"21";"7";"14";"0";"566";"351";"215"
"4661-0638-31d9-0c43-22fe-7250-684f-9123";"220701";"67";"17";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 1, ul. Słowiańska 17, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1260";"1357";"582";"678";"1";"3";"0";"0";"0";"0";"0";"0";"0";"678";"0";"0";"678";"16";"1";"15";"0";"662";"424";"238"
"c76e-0d97-1bc1-a3b2-94c3-037f-d0e4-92c7";"220701";"67";"18";"miasto";"stały";"Kwidzyńskie Centrum Kultury-Kinoteatr, ul. Katedralna 18, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1120";"1207";"591";"529";"0";"5";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"16";"2";"14";"0";"513";"341";"172"
"2309-fa19-0aed-9bd5-ce69-cca4-553a-88a7";"220701";"67";"19";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza, ul. Warszawska 13, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1350";"1489";"452";"898";"2";"6";"0";"0";"0";"0";"0";"0";"0";"898";"0";"0";"898";"22";"11";"11";"0";"876";"558";"318"
"a3a6-55dd-71a9-2eeb-6786-a843-9fe1-e2d6";"220701";"67";"20";"miasto";"stały";"Dom Pomocy Społecznej, ul. Malborska 18, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1085";"1105";"507";"578";"0";"1";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"12";"4";"8";"0";"566";"387";"179"
"e456-f929-4971-3e4f-3950-b1b0-5b7a-c8cd";"220701";"67";"21";"miasto";"stały";"Budynek Zakładu Utylizacji Odpadów sp. z o. o, ul. Owcza 7, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"1510";"1610";"396";"1114";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1113";"0";"0";"1113";"40";"9";"31";"0";"1073";"713";"360"
"50cb-cecc-d652-362d-e995-f4d0-5728-add5";"220701";"67";"22";"miasto";"zakład leczniczy";"„Zdrowie” Sp. z o. o Niepubliczny Zakład Opieki Zdrowotnej, ul. Hallera 31, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"120";"54";"107";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"13";"2";"1";"1";"0";"11";"9";"2"
"19b8-88e3-f534-83b5-8179-112f-9e65-42f0";"220701";"67";"23";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Malborska 18, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"120";"88";"62";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"7";"1";"6";"0";"51";"25";"26"
"d9ae-5106-df12-dbe7-2eb6-c38d-cea9-b985";"220701";"67";"24";"miasto";"zakład karny";"Zakład Karny, ul. Lotnicza 1, 82-500 Kwidzyn";"m. Kwidzyn";"kwidzyński";"pomorskie";"650";"579";"390";"260";"0";"0";"0";"0";"0";"0";"0";"0";"0";"260";"0";"0";"260";"13";"1";"12";"0";"247";"177";"70"
