"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Łukasz Jan BANAŚ";"Tomasz Paweł KAJKOWSKI";"Krzysztof Piotr KUBAT";"Ryszard Bogdan MAJER"
"119b-6cbf-3ad3-f7a9-d0ef-4d76-1afc-6bd0";"240401";"68";"1";"miasto";"stały";"Ochotnicza Straż Pożarna w Blachowni, ul. Plac Wolności 2, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1879";"2032";"609";"1270";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1270";"0";"0";"1270";"14";"6";"8";"0";"1256";"562";"154";"75";"465"
"15b7-12e5-398c-ab42-3f64-19fd-b936-efdb";"240401";"68";"2";"miasto";"stały";"Publiczne Przedszkole Nr 2 w Blachowni, ul. Żeromskiego 4A, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1890";"2049";"629";"1261";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1261";"0";"0";"1261";"10";"2";"8";"0";"1251";"528";"150";"73";"500"
"2df0-2a6f-0cc1-ded6-ab42-ffa3-52c4-4b70";"240401";"68";"3";"miasto";"stały";"Hala widowiskowo-sportowa w Blachowni, ul. Sportowa 1, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1820";"2035";"703";"1117";"3";"13";"0";"0";"0";"0";"0";"0";"0";"1117";"0";"0";"1117";"24";"10";"14";"0";"1093";"459";"149";"74";"411"
"cc2d-7df7-bee9-ec7b-1792-aaf0-0660-08ee";"240401";"68";"4";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Blachowni, ul. Wspólna 5, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"1229";"1356";"345";"884";"1";"4";"1";"1";"0";"0";"0";"0";"1";"885";"1";"0";"885";"12";"5";"7";"0";"873";"372";"101";"51";"349"
"4139-5f73-9c5b-9913-6996-b948-850a-0f01";"240401";"68";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Łojkach, Łojki ul. Długa 48, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"2000";"2181";"705";"1295";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1295";"0";"0";"1295";"27";"13";"14";"0";"1268";"508";"160";"82";"518"
"0908-da88-fcf8-ed61-4619-798c-c917-ed3b";"240401";"68";"6";"wieś";"stały";"Ochotnicza Straż Pożarna w Cisiu, Cisie ul. Cisiańska 63, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"520";"565";"185";"335";"0";"2";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"10";"3";"7";"0";"325";"131";"58";"17";"119"
"778e-d515-0d18-8b19-8c69-d81c-6e70-05be";"240401";"68";"7";"miasto";"zakład leczniczy";"Szpital im. Rudolfa Weigla, ul. Sosnowa 16, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"101";"102";"66";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"0";"0";"0";"0";"35";"14";"3";"2";"16"
"d366-ab70-db0e-688c-19e1-57ca-0439-f67e";"240401";"68";"8";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Sienkiewicza 6, 42-290 Blachownia";"gm. Blachownia";"częstochowski";"śląskie";"120";"115";"74";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"2";"1";"1";"0";"44";"9";"8";"5";"22"
"345f-c7f1-193d-0193-c3f8-6f3d-a8f2-a55b";"240402";"68";"1";"wieś";"stały";"Szkoła Podstawowa im. Wł. Broniewskiego w Dąbrowie Zielonej, pl. Kościuszki 49, 42-265 Dąbrowa Zielona";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";"1080";"1179";"388";"692";"0";"1";"0";"0";"0";"0";"0";"0";"0";"692";"0";"0";"692";"22";"4";"18";"0";"670";"182";"63";"47";"378"
"35e9-f20c-a537-b0a1-65f3-3849-28b5-183b";"240402";"68";"2";"wieś";"stały";"Szkoła Podstawowa w Olbrachcicach, Olbrachcice 146, 42-265 Dąbrowa Zielona";"gm. Dąbrowa Zielona";"częstochowski";"śląskie";"980";"1073";"404";"576";"0";"6";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"8";"2";"6";"0";"568";"134";"59";"30";"345"
