"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wojciech Jan KONIECZNY";"Krzysztof Łukasz ŚWIERCZYŃSKI";"Artur Ryszard WARZOCHA"
"4252-0cdf-ae07-2e04-c2c5-6c50-1776-58d5";"246401";"69";"1";"miasto";"stały";"Zespół Szkół Zawodowych Specjalnych, ul. Krótka 22, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"891";"1003";"470";"421";"1";"10";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"9";"4";"5";"0";"412";"162";"74";"176"
"69d9-c2ad-bbf8-04d9-a6a2-71a3-928f-0e52";"246401";"69";"2";"miasto";"stały";"Zespół Szkół Zawodowych Specjalnych, ul. Krótka 22, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"990";"1065";"461";"529";"1";"0";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"5";"0";"5";"0";"524";"219";"101";"204"
"9969-2882-1bc6-f53c-077e-3985-69fa-8ac3";"246401";"69";"3";"miasto";"stały";"Zespół Szkół im. Jana Kochanowskiego, ul. Warszawska 142, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"409";"439";"185";"224";"0";"0";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"7";"2";"5";"0";"217";"87";"38";"92"
"c960-83b0-a731-fde0-11aa-1699-fe5f-c8a6";"246401";"69";"4";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Warszawska 31, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"762";"814";"332";"430";"1";"3";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"8";"0";"8";"0";"422";"180";"63";"179"
"4933-e63b-f507-9b4d-02ff-3121-1344-0d07";"246401";"69";"5";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Warszawska 31, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"960";"1019";"430";"530";"3";"6";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"10";"2";"8";"0";"520";"217";"98";"205"
"17af-5bfc-ee98-d972-ecf5-2e29-bf59-a62b";"246401";"69";"6";"miasto";"stały";"V LO im. Mickiewicza, ul. Krakowska 29, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1098";"1181";"521";"577";"0";"9";"0";"0";"0";"0";"0";"0";"0";"577";"0";"0";"577";"5";"0";"5";"0";"572";"204";"97";"271"
"d2a5-2efe-2e41-27f3-8615-3ab4-fe81-a6fe";"246401";"69";"7";"miasto";"stały";"V LO im. A. Mickiewicza, ul. Krakowska 29, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1179";"1266";"613";"566";"1";"0";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"7";"2";"5";"0";"559";"253";"94";"212"
"9b66-46a3-4959-481f-c751-9c04-612e-6900";"246401";"69";"8";"miasto";"stały";"Szkoła Podstawowa nr 35, ul. Ogrodowa 50/64, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"790";"872";"382";"408";"4";"2";"0";"0";"0";"0";"0";"0";"0";"408";"0";"0";"408";"6";"2";"4";"0";"402";"153";"60";"189"
"04fd-8d3d-0a07-6867-252b-2f13-3729-0489";"246401";"69";"9";"miasto";"stały";"I LO im. J. Słowackiego, al. Kościuszki 8, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"991";"1092";"324";"667";"1";"6";"0";"0";"0";"0";"0";"0";"0";"667";"0";"0";"667";"7";"1";"6";"0";"660";"292";"136";"232"
"b345-9008-ddc6-66ae-a81c-c4ce-42fe-374a";"246401";"69";"10";"miasto";"stały";"IX L. O. im. C. K. Norwida, ul. Jasnogórska 8, 42-202 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1140";"1245";"310";"831";"1";"4";"1";"1";"0";"0";"0";"0";"1";"831";"1";"0";"831";"11";"4";"7";"0";"820";"435";"122";"263"
