"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Alicja Paulina CHYBICKA";"Marcin Rafał KRZYŻANOWSKI"
"eba1-dba7-528a-2f96-9a44-6526-1681-73c7";"026401";"7";"1";"miasto";"stały";"Szkoła Podstawowa nr 63, ul. Mennicza 21 - 23, 50-057 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1299";"1572";"214";"1085";"2";"88";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"33";"12";"21";"0";"1052";"716";"336"
"66e5-9062-6304-bfc1-7d8e-4fc4-6118-5e6a";"026401";"7";"2";"miasto";"stały";"Budynek Uniwersytetu Wrocławskiego, ul. Kuźnicza 49/55, 50-138 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1299";"1767";"31";"1268";"1";"275";"0";"0";"0";"0";"0";"0";"0";"1268";"0";"0";"1268";"50";"23";"27";"0";"1218";"881";"337"
"14fa-1394-5763-819d-79c0-7eaa-5b7d-ead5";"026401";"7";"3";"miasto";"stały";"Szkoła Podstawowa nr 29, ul. ks. Wincentego Kraińskiego 1, 50-153 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"1148";"64";"836";"3";"84";"0";"0";"0";"0";"0";"0";"0";"836";"0";"0";"836";"27";"8";"19";"0";"809";"519";"290"
"ccb7-eea5-6bbb-3c12-9909-2769-47ce-15a6";"026401";"7";"4";"miasto";"stały";"Przedszkole nr 65 Pod Wesołym Koziołkiem, ul. Nożownicza 35A, 50-147 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1199";"1471";"191";"1005";"1";"71";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"0";"1006";"26";"8";"18";"0";"980";"677";"303"
"68ab-2f24-b2e0-8253-a19b-e234-0477-f070";"026401";"7";"5";"miasto";"stały";"Szkoła Podstawowa nr 29, ul. ks. Wincentego Kraińskiego 1, 50-153 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1292";"314";"786";"2";"39";"0";"0";"0";"0";"0";"0";"0";"786";"0";"0";"786";"35";"8";"27";"0";"751";"497";"254"
"3e55-9c74-85de-164d-6b29-386a-43a8-6d25";"026401";"7";"6";"miasto";"stały";"Muzeum Militariów-Arsenał, ul. Antoniego Cieszyńskiego 9, 50-136 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"1059";"244";"656";"1";"51";"0";"0";"0";"0";"0";"0";"0";"656";"0";"0";"656";"20";"7";"13";"0";"636";"403";"233"
"8ff2-ef03-101d-7d5b-db29-3d78-0d41-a502";"026401";"7";"7";"miasto";"stały";"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"598";"681";"166";"432";"5";"37";"8";"8";"0";"0";"0";"0";"8";"440";"8";"0";"440";"8";"2";"6";"0";"432";"162";"270"
"936c-e8c1-1074-dec6-9a35-3697-8d66-e013";"026401";"7";"8";"miasto";"stały";"Szkoła Podstawowa nr 97, ul. Iwana Pawłowa 15, 53-604 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1758";"272";"1225";"1";"35";"0";"0";"0";"0";"0";"0";"0";"1222";"0";"0";"1222";"42";"19";"23";"0";"1180";"781";"399"
"20ad-df41-6555-281e-9458-a662-adb7-66a8";"026401";"7";"9";"miasto";"stały";"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2217";"278";"1622";"3";"53";"0";"0";"0";"0";"0";"0";"0";"1622";"0";"0";"1622";"60";"21";"39";"0";"1562";"1193";"369"
"2101-3e00-21db-4929-7fef-5fe8-94a2-04fe";"026401";"7";"10";"miasto";"stały";"Liceum Ogólnokształcące nr XVII, ul. Tęczowa 60, 53-603 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1476";"379";"921";"0";"56";"1";"1";"0";"0";"0";"0";"1";"922";"1";"0";"922";"24";"8";"16";"0";"898";"541";"357"
"51b4-224b-5ba6-58b6-36cc-439b-02a9-01d8";"026401";"7";"11";"miasto";"stały";"Szkoła Podstawowa nr 97, ul. Prosta 16, 53-509 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1444";"196";"1002";"7";"39";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"35";"6";"29";"0";"967";"588";"379"
"f4a6-dfdb-b6b8-2b75-caf8-c830-02f5-6bfc";"026401";"7";"12";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 13, pl. Muzealny 20, 50-035 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1519";"248";"1052";"1";"46";"0";"0";"0";"0";"0";"0";"0";"1052";"0";"0";"1052";"40";"5";"35";"0";"1012";"646";"366"
"5c9a-65fb-b982-5dc8-3ec1-ad1a-abdb-9b3d";"026401";"7";"13";"miasto";"stały";"Klub Muzyki i Literatury, pl. Tadeusza Kościuszki 10, 50-028 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1756";"355";"1145";"0";"69";"0";"0";"0";"0";"0";"0";"0";"1145";"0";"0";"1145";"51";"10";"41";"0";"1094";"735";"359"
"5207-f25a-0eea-5694-9c2a-4de4-8e08-bfee";"026401";"7";"14";"miasto";"stały";"Szkoła Podstawowa nr 71, ul. Hugona Kołłątaja 1 - 6, 50-002 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1837";"221";"1278";"0";"120";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"1";"1277";"33";"9";"24";"0";"1244";"842";"402"
"66eb-a43f-a5ec-6991-5bfa-5d66-f0e4-c7b8";"026401";"7";"15";"miasto";"stały";"Szkoła Podstawowa nr 71, ul. Podwale 57, 50-039 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"999";"1226";"185";"814";"1";"49";"0";"0";"0";"0";"0";"0";"0";"814";"0";"0";"814";"31";"7";"24";"0";"783";"546";"237"
"b270-5b81-5d63-b982-bbe3-75b5-4454-ce1e";"026401";"7";"16";"miasto";"stały";"Szkoła Podstawowa Nr 68, ul. Szczęśliwa 28, 53-446 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1299";"1606";"268";"1030";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1030";"0";"0";"1030";"46";"10";"36";"0";"984";"621";"363"
