"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zygmunt Mieczysław FRANKIEWICZ";"Krystian Karol PROBIERZ"
"988b-d410-7888-731d-2d72-1a4b-82f7-5308";"240501";"70";"1";"miasto";"stały";"Miejskie Przedszkole z Oddziałami Integracyjnymi Nr 13, ul. Piłsudczyków 4, 44-196 Knurów";"m. Knurów";"gliwicki";"śląskie";"1400";"1530";"312";"1088";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1088";"0";"0";"1088";"23";"7";"16";"0";"1065";"597";"468"
"5dbf-3412-7625-a264-f1a9-e32c-ab61-127a";"240501";"70";"2";"miasto";"stały";"Miejskie Przedszkole Nr 2 im. Jana Brzechwy, ul. Lotników 3, 44-196 Knurów";"m. Knurów";"gliwicki";"śląskie";"850";"924";"237";"613";"0";"0";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"16";"5";"11";"0";"597";"322";"275"
"3d72-c8fb-8489-9fcc-3969-803b-6b41-6d27";"240501";"70";"3";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Aleja Lipowa 12, 44-196 Knurów";"m. Knurów";"gliwicki";"śląskie";"1751";"1911";"366";"1385";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1385";"0";"0";"1385";"35";"14";"21";"0";"1350";"816";"534"
"bf01-1e42-7f41-2513-603e-17ba-c448-e1b0";"240501";"70";"4";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 9 im. Marii Konopnickiej, ul. Aleja Lipowa 12, 44-196 Knurów";"m. Knurów";"gliwicki";"śląskie";"900";"961";"278";"622";"0";"0";"0";"0";"0";"0";"0";"0";"0";"622";"0";"0";"622";"8";"4";"4";"0";"614";"320";"294"
"d299-04fa-7b7b-c691-8db3-0fe0-d4d9-d45a";"240501";"70";"5";"miasto";"stały";"Miejskie Przedszkole Nr 12 im. Janusza Korczaka, ul. Armii Krajowej 5, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"900";"992";"255";"645";"0";"0";"0";"0";"0";"0";"0";"0";"0";"645";"0";"0";"645";"17";"3";"14";"0";"628";"334";"294"
"9c5c-3f26-b3bd-4d20-e76c-4a5f-c389-c50e";"240501";"70";"6";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 7, ul. Jedności Narodowej 5/1, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"870";"962";"250";"620";"1";"0";"0";"0";"0";"0";"0";"0";"0";"620";"0";"0";"620";"13";"8";"5";"0";"607";"323";"284"
"65ea-0dcb-f852-a1b7-6053-a616-000a-ba98";"240501";"70";"7";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 7, ul. Jedności Narodowej 5/2, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"999";"1120";"292";"707";"0";"3";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"17";"3";"14";"0";"690";"350";"340"
"900c-74fd-0cf1-deb5-ea25-5e4f-85a4-a16f";"240501";"70";"8";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 6 im. Królowej Jadwigi, ul. Stefana Batorego 7/1, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"1249";"1351";"451";"798";"1";"4";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"27";"7";"20";"0";"769";"378";"391"
"0cd4-e9f5-4f24-e980-3dc9-3c50-1f83-27da";"240501";"70";"9";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 6 im. Królowej Jadwigi, ul. Stefana Batorego 7/2, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"1400";"1560";"491";"909";"1";"7";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"24";"5";"19";"0";"885";"447";"438"
"331f-b49d-b30a-06bf-d7a8-2ed1-6f95-0a0c";"240501";"70";"10";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 6 im. Królowej Jadwigi, ul. Stefana Batorego 7/3, 44-194 Knurów";"m. Knurów";"gliwicki";"śląskie";"1289";"1446";"385";"904";"0";"2";"0";"0";"0";"0";"0";"0";"0";"904";"0";"0";"904";"22";"6";"16";"0";"882";"491";"391"
