"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Halina Maria BIEDA";"Andrzej Kazimierz MISIOŁEK"
"2d9b-5c31-6cb1-2496-02ff-648d-20ed-5644";"246201";"71";"1";"miasto";"stały";"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1800";"1968";"680";"1120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1120";"0";"0";"1120";"49";"18";"31";"0";"1071";"602";"469"
"eee8-24da-50d0-95a5-a951-7185-0bd2-7ad4";"246201";"71";"2";"miasto";"stały";"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1900";"2092";"755";"1145";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1145";"0";"0";"1145";"52";"22";"30";"0";"1093";"539";"554"
"f206-9c9c-9e9c-6366-d17b-94ca-8518-b22d";"246201";"71";"3";"miasto";"stały";"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1600";"1760";"810";"790";"0";"2";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"38";"12";"26";"0";"752";"408";"344"
"dc57-d732-60f7-f791-583a-85d0-c547-4778";"246201";"71";"4";"miasto";"stały";"Szkoła Podstawowa Nr 54, ul. Reptowska 86, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1850";"2023";"499";"1351";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1351";"0";"0";"1351";"41";"11";"30";"0";"1310";"814";"496"
"d5b9-4e24-d88e-4bb4-9d1a-3788-adc3-5151";"246201";"71";"5";"miasto";"stały";"Szkoła Podstawowa Nr 54, ul. Reptowska 86, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1950";"2122";"592";"1358";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1358";"0";"0";"1358";"54";"21";"33";"0";"1304";"734";"570"
"9d12-8664-3dd1-e447-38e9-e0d1-2930-83fc";"246201";"71";"6";"miasto";"stały";"Dom Pomocy Społecznej ""Kombatant"", ul. Stolarzowicka 33, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1850";"2037";"440";"1410";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1409";"0";"0";"1409";"56";"14";"42";"0";"1353";"790";"563"
"f5ac-f3a6-1a0f-608f-40c0-894a-5c82-476c";"246201";"71";"7";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 5, ul. Nickla 19, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1700";"1858";"549";"1151";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1151";"0";"0";"1151";"32";"5";"27";"0";"1119";"628";"491"
"415e-4ea4-630d-284c-b61a-b4c6-19a2-da93";"246201";"71";"8";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 5, ul. Nickla 19, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1750";"1939";"410";"1340";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1340";"0";"0";"1340";"59";"39";"20";"0";"1281";"736";"545"
"50e0-44c2-85a9-a934-bbeb-fdc2-88e9-ea33";"246201";"71";"9";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 5, ul. Nickla 19, 41-923 Bytom";"m. Bytom";"Bytom";"śląskie";"1450";"1580";"359";"1091";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1091";"0";"0";"1091";"36";"14";"22";"0";"1055";"617";"438"
"643b-ed65-64a7-0b1d-9530-1385-4883-ce6d";"246201";"71";"10";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Racławicka 17, 41-906 Bytom";"m. Bytom";"Bytom";"śląskie";"1050";"1125";"685";"365";"0";"1";"0";"0";"0";"0";"0";"0";"0";"365";"0";"0";"365";"10";"4";"6";"0";"355";"134";"221"
