"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł HELIS";"Wojciech Piotr PIECHA";"Grzegorz Wojciech WOLNIK"
"2d69-38dd-3421-02ff-727b-6fdd-6be9-0e3b";"240801";"73";"1";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Piastów Śląskich, ul. Cieszyńska 12, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"800";"851";"294";"506";"1";"0";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"11";"1";"10";"0";"495";"99";"234";"162"
"d740-6419-2dce-23de-3a10-7f5c-af96-aba5";"240801";"73";"2";"miasto";"stały";"Przedszkole nr 2 Integracyjne, ul. Miodowa 11, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"667";"680";"224";"443";"0";"2";"0";"0";"0";"0";"0";"0";"0";"443";"0";"0";"443";"14";"1";"13";"0";"429";"83";"208";"138"
"7ae9-ef05-3c82-af69-4861-cda2-83c7-ce60";"240801";"73";"3";"miasto";"stały";"Zespół Szkół Energetycznych i Usługowych, ul. Chopina 11b, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"848";"901";"295";"553";"0";"1";"0";"0";"0";"0";"0";"0";"0";"553";"0";"0";"553";"15";"2";"13";"0";"538";"115";"227";"196"
"3009-50c8-6e85-2e05-d2f8-d02e-e436-df56";"240801";"73";"4";"miasto";"stały";"Miejski Dom Kultury, ul. Św. Jana Pawła II 2, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1150";"1241";"325";"825";"0";"1";"0";"0";"0";"0";"0";"0";"0";"825";"0";"0";"825";"15";"2";"13";"0";"810";"145";"316";"349"
"4329-fd56-82f3-70c2-18a1-ca13-e42f-43f6";"240801";"73";"5";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"896";"947";"288";"608";"0";"0";"0";"0";"0";"0";"0";"0";"0";"610";"0";"2";"608";"4";"0";"4";"0";"604";"108";"302";"194"
"1e9f-6f28-97d8-5f45-035e-1ead-b1a1-f0e8";"240801";"73";"6";"miasto";"stały";"Przedszkole nr 5 im. Przyjaciół Bohaterów Bajek, ul. Chopina 1, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"648";"702";"204";"444";"1";"3";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"444";"7";"1";"6";"0";"437";"67";"197";"173"
"1f6c-f42e-f849-6534-9f74-1f4b-a038-a7a7";"240801";"73";"7";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Mikołaja Kopernika, ul. Ogrodowa 48, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1399";"1515";"508";"891";"3";"2";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"21";"5";"16";"0";"871";"164";"414";"293"
"a63b-82a4-c117-d317-b06e-b3ea-1152-fe11";"240801";"73";"8";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1350";"1430";"405";"945";"2";"4";"0";"0";"0";"0";"0";"0";"0";"942";"0";"2";"940";"18";"2";"16";"0";"922";"180";"371";"371"
"5524-27e1-8a3a-4bd7-f5f0-6b23-bd83-536b";"240801";"73";"9";"miasto";"stały";"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1451";"1543";"550";"901";"0";"0";"0";"0";"0";"0";"0";"0";"0";"901";"0";"0";"901";"19";"0";"19";"0";"882";"178";"440";"264"
"9610-c580-fdca-9841-05ce-af8f-9b74-a7b8";"240801";"73";"10";"miasto";"stały";"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1417";"1518";"467";"950";"0";"0";"0";"0";"0";"0";"0";"0";"0";"950";"0";"0";"950";"17";"4";"13";"0";"933";"188";"382";"363"
"d411-d258-7868-beb5-f9e6-5ecc-61e0-f62e";"240801";"73";"11";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Przyjaciół Ziemi, ul. Powstańców 6, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"1015";"1041";"450";"565";"0";"2";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"6";"1";"5";"0";"559";"99";"273";"187"
"b6dd-b008-9dac-5698-fb78-3672-bd1d-5ae6";"240801";"73";"12";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Powstańców Śląskich, ul. Szkolna 4, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"800";"857";"219";"581";"1";"0";"0";"0";"0";"0";"0";"0";"0";"581";"0";"0";"581";"12";"10";"2";"0";"569";"124";"223";"222"
"d5d1-6607-c5bc-8cf4-091a-41c9-8e3d-1da5";"240801";"73";"13";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Powstańców Śląskich, ul. Szkolna 4, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"900";"965";"242";"658";"1";"3";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"9";"7";"2";"0";"649";"131";"258";"260"
"3550-4834-52d4-ffbe-1a9f-20c7-3f2f-936f";"240801";"73";"14";"miasto";"stały";"Miejski Dom Kultury (Filia Łaziska Średnie), ul. Św. Barbary 17, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"756";"806";"273";"483";"1";"1";"0";"0";"0";"0";"0";"0";"0";"483";"0";"0";"483";"13";"1";"12";"0";"470";"95";"230";"145"
"4308-f537-d301-e1cc-3816-4eda-dc13-b898";"240801";"73";"15";"miasto";"stały";"Powiatowa i Miejska Biblioteka Publiczna (Filia w Łaziskach Średnich), ul. Kardynała Wyszyńskiego 8, 43-173 Łaziska Górne";"m. Łaziska Górne";"mikołowski";"śląskie";"600";"650";"185";"415";"0";"0";"0";"0";"0";"0";"0";"0";"0";"415";"0";"0";"415";"8";"0";"8";"0";"407";"74";"177";"156"
