"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Arkadiusz Jakub GRABOWSKI";"Marcin Teodor LAZAR";"Beata Maria MAŁECKA-LIBERA";"Katarzyna Stanisława ZAGAJSKA"
"966d-732f-7f87-f73d-bb75-d814-6ee2-d2b5";"240101";"76";"1";"miasto";"stały";"Szkoła Podstawowa nr 11, ul. Władysława Broniewskiego 12, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1050";"1170";"328";"722";"0";"4";"0";"0";"0";"0";"0";"0";"0";"722";"0";"0";"722";"10";"0";"10";"0";"712";"232";"135";"312";"33"
"f87f-166f-2de9-f6de-8e35-c991-1f8c-7284";"240101";"76";"2";"miasto";"stały";"Przedszkole Miejskie nr 5, ul. Zwycięstwa 21, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1600";"1745";"560";"1040";"4";"4";"0";"0";"0";"0";"0";"0";"0";"1040";"0";"0";"1040";"25";"8";"17";"0";"1015";"359";"237";"371";"48"
"3c59-4371-1a1f-51da-2434-bb0f-7ffd-0d3f";"240101";"76";"3";"miasto";"stały";"Powiatowy Młodzieżowy Dom Kultury, ul. Powstańców Śląskich 1, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1600";"426";"1024";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"23";"2";"21";"0";"1001";"348";"163";"436";"54"
"1655-1cb6-d537-1ead-de8c-38c2-4665-e0e3";"240101";"76";"4";"miasto";"stały";"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1400";"1515";"349";"1051";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1051";"0";"0";"1051";"22";"3";"19";"0";"1029";"364";"149";"480";"36"
"0897-9024-bd41-5cb8-a36e-6ca4-9870-0fcf";"240101";"76";"5";"miasto";"stały";"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1570";"329";"1121";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"27";"7";"20";"0";"1094";"357";"164";"511";"62"
"3ee2-f3b7-b85a-9692-275a-2c3a-3040-d231";"240101";"76";"6";"miasto";"stały";"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1598";"387";"1063";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1063";"0";"0";"1063";"22";"2";"20";"0";"1041";"348";"190";"462";"41"
"c5e0-dc1e-b4a4-916e-5f20-9c2b-747d-9975";"240101";"76";"7";"miasto";"stały";"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1350";"1465";"377";"973";"0";"2";"0";"0";"0";"0";"0";"0";"0";"973";"0";"0";"973";"12";"1";"11";"0";"961";"383";"127";"397";"54"
"8cff-f0bf-8964-14b5-9544-1d7e-62a9-04cc";"240101";"76";"8";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1550";"1713";"309";"1241";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1241";"0";"0";"1241";"18";"3";"15";"0";"1223";"290";"230";"641";"62"
"8a23-85ad-d7d6-ab60-cf6b-676d-a0f8-14c5";"240101";"76";"9";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1300";"1431";"292";"1008";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1008";"0";"0";"1008";"12";"6";"6";"0";"996";"292";"166";"497";"41"
"bcb8-69bd-64ef-f818-288c-b0c8-c01c-3dd5";"240101";"76";"10";"miasto";"stały";"Akademia WSB (dawne Gimnazjum Nr 3), ul. Krakowska 14, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1550";"1705";"602";"948";"1";"4";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"21";"4";"17";"0";"926";"301";"192";"382";"51"
