"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek Piotr DUDEK";"Joanna SEKUŁA"
"4ff6-9e8d-ca04-5390-f567-36b3-507a-b098";"246801";"77";"1";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Rynek Główny 17, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1404";"1536";"366";"1038";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"30";"12";"18";"0";"1008";"391";"617"
"2bca-b0f0-4fe4-945c-2d5f-6a05-83dc-8e44";"246801";"77";"2";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Urzędnicza 11, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1250";"1375";"323";"927";"2";"5";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"26";"6";"20";"0";"901";"391";"510"
"8459-e911-96d5-ec69-48a6-ac1f-c9d1-355e";"246801";"77";"3";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Urzędnicza 11, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1404";"1541";"602";"802";"0";"2";"0";"0";"0";"0";"0";"0";"0";"802";"0";"0";"802";"27";"11";"16";"0";"775";"382";"393"
"75df-7955-fcd0-a16b-33e2-4261-a60a-2671";"246801";"77";"4";"miasto";"stały";"Zespół Szkół Ponadpodstawowych Nr 3, ul. Północna 9a, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1354";"1489";"413";"941";"4";"2";"0";"0";"0";"0";"0";"0";"0";"941";"0";"0";"941";"37";"9";"28";"0";"904";"360";"544"
"8e0e-1081-f72d-4160-fa2f-d662-4a92-3c11";"246801";"77";"5";"miasto";"stały";"I Liceum Ogólnokształcące, ul. Licealna 3, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1250";"1336";"432";"818";"3";"3";"0";"0";"0";"0";"0";"0";"0";"818";"0";"0";"818";"26";"6";"20";"0";"792";"394";"398"
"06c4-c0b3-da53-5e65-06f4-5236-6f4a-1928";"246801";"77";"6";"miasto";"stały";"Szkoła Podstawowa Nr 16, ul. 3 Maja 18, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1650";"1795";"553";"1097";"3";"4";"1";"1";"0";"0";"0";"0";"1";"1097";"1";"1";"1096";"40";"8";"32";"0";"1056";"431";"625"
"ec76-9275-40c8-e8a1-e1fc-9985-4413-ff4c";"246801";"77";"7";"miasto";"stały";"Szkoła Podstawowa Nr 16, ul. 3 Maja 18, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1600";"1758";"548";"1051";"6";"3";"0";"0";"0";"0";"0";"0";"0";"1052";"0";"0";"1052";"32";"3";"29";"0";"1020";"504";"516"
"403f-f0a7-eb6d-6b45-07c2-6e5d-bbe9-af24";"246801";"77";"8";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1600";"1724";"574";"1026";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"49";"16";"33";"0";"977";"451";"526"
"4d6f-e42f-809e-6a46-cede-9fbf-a5af-d71d";"246801";"77";"9";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1650";"1801";"501";"1149";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1150";"1";"0";"1150";"28";"21";"7";"0";"1122";"535";"587"
"b0db-6386-b9d2-f64f-8d45-81b3-1ad0-26fb";"246801";"77";"10";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1599";"1732";"504";"1095";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"31";"9";"22";"0";"1064";"423";"641"
"64f5-eb12-9f37-8266-e071-9146-cf0a-4b51";"246801";"77";"11";"miasto";"stały";"Przedszkole Miejskie Nr 18, ul. Na Stoku 12, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1450";"1581";"362";"1088";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1088";"0";"0";"1088";"40";"6";"34";"0";"1048";"509";"539"
"c3bc-3455-dc3a-ad71-452f-d5e6-6dca-fb47";"246801";"77";"12";"miasto";"stały";"Klub Środowiskowy ""Niko"", ul. Na Stoku 10, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1850";"2007";"556";"1294";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1294";"0";"0";"1294";"33";"9";"24";"0";"1261";"571";"690"
"c2e6-747c-6600-2ea6-3727-0c41-345c-c96a";"246801";"77";"13";"miasto";"stały";"""Archetti"" Orkiestra Kameralna Miasta Jaworzna, ul. Wiosny Ludów 1, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"2150";"2336";"556";"1594";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1594";"0";"0";"1594";"50";"13";"37";"0";"1544";"770";"774"
"d8c9-d309-3e7e-939a-2678-3938-372a-af60";"246801";"77";"14";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Zwycięstwa 30, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1500";"1651";"492";"1008";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1008";"0";"0";"1008";"29";"5";"24";"0";"979";"483";"496"
"e5da-fefe-30e8-5495-21ab-1820-73c3-8353";"246801";"77";"15";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. Juliana Ursyna Niemcewicza 7a, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1800";"1980";"534";"1266";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1266";"0";"0";"1266";"49";"26";"23";"0";"1217";"474";"743"
