"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Agnieszka Aleksandra GORGOŃ-KOMOR";"Andrzej KAMIŃSKI"
"36a8-69ef-c693-827f-f4a2-5d19-fee6-d65b";"240201";"78";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Heleny Marusarzówny w Szczyrku, ul. Szkolna 9, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1451";"1593";"437";"1014";"3";"37";"0";"0";"0";"0";"0";"0";"0";"1014";"0";"0";"1014";"23";"8";"15";"0";"991";"461";"530"
"8d89-74e9-bb89-e76b-191f-40bc-db28-8c84";"240201";"78";"2";"miasto";"stały";"Urząd Miejski w Szczyrku, ul. Beskidzka 4, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1248";"1504";"276";"972";"2";"96";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"23";"10";"13";"0";"949";"399";"550"
"a808-a4e6-a829-4bc4-8e0f-fe6e-d423-ae56";"240201";"78";"3";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"650";"676";"177";"473";"2";"24";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"12";"1";"11";"0";"461";"180";"281"
"646e-3096-4738-8f7d-8fba-d932-1131-d81b";"240201";"78";"4";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1000";"1109";"316";"684";"1";"41";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"11";"3";"8";"0";"672";"256";"416"
"529d-9518-5c25-31c5-eea0-c9e3-d676-10a8";"240202";"78";"1";"wieś";"stały";"Dom Strażaka, ul. Kościelna 41, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1754";"1905";"512";"1242";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1241";"0";"0";"1241";"40";"6";"34";"0";"1201";"581";"620"
"43fb-a88a-27b2-7766-423e-6ebd-ccf4-d563";"240202";"78";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 11, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1806";"1923";"475";"1329";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1331";"0";"1";"1330";"44";"10";"34";"0";"1286";"650";"636"
"b96a-15ff-cec9-5f92-87cf-3bf8-6346-f4b6";"240202";"78";"3";"wieś";"stały";"Szkoła Podstawowa, Bestwinka ul. Dworkowa 3, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1202";"1311";"330";"872";"1";"0";"0";"0";"0";"0";"0";"0";"0";"872";"0";"0";"872";"37";"9";"28";"0";"835";"411";"424"
"dd14-c7ba-3eca-924d-b79f-4d1f-c4b1-057a";"240202";"78";"4";"wieś";"stały";"Szkoła Podstawowa, Janowice ul. Korczaka 2, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1299";"1414";"327";"972";"1";"1";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"28";"1";"27";"0";"944";"440";"504"
"5676-791b-bdf1-1e8d-2761-f674-174b-5d26";"240202";"78";"5";"wieś";"stały";"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";"gm. Bestwina";"bielski";"śląskie";"1253";"1324";"436";"817";"0";"2";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"35";"7";"28";"0";"782";"439";"343"
"aa90-5217-833d-04bf-6736-f467-5b8f-4a34";"240202";"78";"6";"wieś";"stały";"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";"gm. Bestwina";"bielski";"śląskie";"1203";"1318";"323";"880";"2";"4";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"38";"38";"0";"0";"842";"460";"382"
"458a-f72b-6441-42de-af00-c9b7-ec83-1849";"240203";"78";"1";"wieś";"stały";"Urząd Gminy (Biblioteka), ul. Lipowska 730, 43-374 Buczkowice";"gm. Buczkowice";"bielski";"śląskie";"1600";"1744";"479";"1121";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"30";"15";"15";"0";"1091";"512";"579"
"b898-9eef-412b-87be-c9f5-6153-5a09-83a2";"240203";"78";"2";"wieś";"stały";"Urząd Gminy (Sala Posiedzeń), ul. Lipowska 730, 43-374 Buczkowice";"gm. Buczkowice";"bielski";"śląskie";"1602";"1716";"480";"1122";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1122";"0";"0";"1122";"25";"5";"20";"0";"1097";"568";"529"
"b21c-b9c0-5371-5923-643e-fd32-2e8d-eee4";"240203";"78";"3";"wieś";"stały";"Szkoła Podstawowa (Świetlica), ul. Beskidzka 108, 43-378 Rybarzowice";"gm. Buczkowice";"bielski";"śląskie";"1049";"1150";"266";"783";"2";"5";"0";"0";"0";"0";"0";"0";"0";"782";"0";"0";"782";"17";"3";"14";"0";"765";"260";"505"
"5210-783a-fb58-9ee7-bd5b-6c4d-833a-0abd";"240203";"78";"4";"wieś";"stały";"Szkoła Podstawowa (Sala Lekcyjna Nr 3), ul. Beskidzka 108, 43-378 Rybarzowice";"gm. Buczkowice";"bielski";"śląskie";"1451";"1547";"490";"961";"0";"6";"0";"0";"0";"0";"0";"0";"0";"961";"0";"0";"961";"41";"3";"38";"0";"920";"397";"523"
"73e6-b102-1012-967e-b114-9d54-f0ee-7404";"240203";"78";"5";"wieś";"stały";"Szkoła Podstawowa (Świetlica), ul. Beskidzka 29, 43-376 Godziszka";"gm. Buczkowice";"bielski";"śląskie";"1703";"1840";"545";"1158";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"50";"12";"38";"0";"1108";"488";"620"
"58a9-b6fe-c4dc-55f0-a814-bf7f-7a7c-bad8";"240203";"78";"6";"wieś";"stały";"Szkoła Podstawowa (Sala Lekcyjna Nr 1), Kalna ul. Widokowa 59, 43-376 Godziszka";"gm. Buczkowice";"bielski";"śląskie";"653";"721";"167";"485";"0";"4";"0";"0";"0";"0";"0";"0";"0";"484";"0";"0";"484";"21";"4";"17";"0";"463";"149";"314"
"499b-348e-4a08-d281-4ab1-33b6-5903-b503";"240204";"78";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, Polna 33, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1750";"1883";"471";"1279";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1279";"0";"0";"1279";"37";"5";"32";"0";"1242";"711";"531"
"4369-3a8d-b995-9a6d-e5a0-e773-b1dd-8536";"240204";"78";"2";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Węglowa 54, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1452";"1577";"417";"1035";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1035";"0";"0";"1035";"40";"14";"26";"0";"995";"539";"456"
"97ed-81e2-1c00-7ac6-2d52-29ec-2c0b-4a9a";"240204";"78";"3";"miasto";"stały";"Zespół Szkół Specjalnych nr 4, Nad Białką 1e, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1647";"1767";"644";"1003";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1003";"0";"0";"1003";"32";"9";"23";"0";"971";"529";"442"
"1700-3c2a-416f-6b02-0b84-e0ce-e872-d451";"240204";"78";"4";"miasto";"stały";"Zespół Szkół Technicznych i Licealnych, ul. Romualda Traugutta 11, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1650";"1786";"381";"1269";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1269";"0";"0";"1269";"36";"12";"24";"0";"1233";"732";"501"
"c055-844c-bed9-f877-8f4d-975a-a13c-9a4e";"240204";"78";"5";"miasto";"stały";"Zespół Szkół Technicznych i Licealnych, ul. Romualda Traugutta 11, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1605";"1705";"427";"1178";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1178";"0";"0";"1178";"21";"6";"15";"0";"1157";"643";"514"
"81b7-5947-1fd6-4c25-d6ac-64d9-ead2-1292";"240204";"78";"6";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Szkolna 6, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1652";"1736";"443";"1209";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1209";"0";"0";"1209";"26";"7";"19";"0";"1183";"714";"469"
"c71d-c6fe-3151-228c-87f3-f48d-82ef-c5fb";"240204";"78";"7";"miasto";"stały";"Strażnica OSP ""Dziedzice"", ul. Strażacka 1, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"901";"950";"301";"600";"1";"1";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"19";"4";"15";"0";"581";"342";"239"
"dca2-1635-bcc0-9938-845d-a6e8-cd24-13fe";"240204";"78";"8";"miasto";"stały";"Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Marii Konopnickiej 9, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1800";"1931";"587";"1213";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1213";"0";"0";"1213";"43";"12";"31";"0";"1170";"651";"519"
"84ed-1f17-73e0-293d-0aab-7a72-0fa0-8a49";"240204";"78";"9";"miasto";"stały";"Szkoła Podstawowa nr 5, ul. Klasztorna 21, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1750";"1869";"461";"1289";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1289";"0";"0";"1289";"34";"12";"22";"0";"1255";"718";"537"
"bb1e-5ecf-c1ec-0bd4-7cce-0da8-51d7-4a10";"240204";"78";"10";"miasto";"stały";"Strażnica OSP ""Czechowice"", ul. Norberta Barlickiego 24, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1753";"1860";"592";"1161";"4";"7";"0";"0";"0";"0";"0";"0";"0";"1160";"0";"0";"1160";"38";"14";"24";"0";"1122";"641";"481"
"7d57-200a-a951-e143-a07b-da8c-ed3f-bb1a";"240204";"78";"11";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Studencka 2, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1528";"1604";"600";"928";"6";"4";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"27";"8";"19";"0";"901";"512";"389"
"c615-4461-193f-abfe-53cc-ceed-df0a-7b04";"240204";"78";"12";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. Ignacego Łukasiewicza 37, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1352";"1452";"447";"905";"0";"7";"0";"0";"0";"0";"0";"0";"0";"905";"0";"0";"905";"13";"0";"13";"0";"892";"486";"406"
"a9b2-67f3-6f24-3243-75cb-034b-748b-cf44";"240204";"78";"13";"miasto";"stały";"Przedszkole Publiczne nr 3, ul. Junacka 2, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1301";"1389";"398";"903";"2";"0";"1";"1";"0";"0";"0";"0";"1";"904";"1";"0";"904";"21";"3";"18";"0";"883";"430";"453"
"e0e4-9013-a16f-6a30-b198-c693-322e-d91f";"240204";"78";"14";"miasto";"stały";"Strażnica OSP ""Lipowiec"", ul. Zamkowa 74, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1249";"1361";"293";"956";"0";"13";"0";"0";"0";"0";"0";"0";"0";"956";"0";"0";"956";"18";"5";"13";"0";"938";"493";"445"
"88a1-40d6-dd33-65b9-34ca-6052-acb1-cb58";"240204";"78";"15";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Lipowska 26, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1852";"1993";"382";"1470";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1469";"0";"0";"1469";"48";"20";"28";"0";"1421";"828";"593"
"0e74-e113-85ac-5339-033c-af4b-a607-160b";"240204";"78";"16";"miasto";"stały";"Zespół Szkolno Przedszkolny nr 1, ul. Chłopska 70, 43-502 Czechowice-Dziedzice";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1949";"2103";"460";"1489";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1489";"0";"0";"1489";"39";"12";"27";"0";"1450";"722";"728"
"2762-d65b-a47e-7498-a448-f23d-716c-885d";"240204";"78";"17";"wieś";"stały";"Szkoła Podstawowa, ul. Karola Pytla 1, 43-516 Zabrzeg";"gm. Czechowice-Dziedzice";"bielski";"śląskie";"1252";"1362";"314";"938";"3";"0";"0";"0";"0";"0";"0";"0";"0";"938";"0";"0";"938";"28";"9";"19";"0";"910";"454";"456"
