"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Sergiusz KMIECIK";"Barbara Grażyna ZDROJEWSKA"
"d8be-4316-159c-dad2-69c7-4d8f-8269-98bc";"026401";"8";"34";"miasto";"stały";"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1099";"1274";"392";"707";"2";"8";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"18";"11";"7";"0";"689";"284";"405"
"7cd3-fc60-4640-e407-0d48-dd9e-5ca1-364a";"026401";"8";"35";"miasto";"stały";"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1535";"605";"795";"0";"6";"1";"1";"0";"0";"0";"0";"1";"796";"1";"0";"796";"34";"13";"21";"0";"762";"291";"471"
"bd34-ef4f-b6cf-9bd8-a168-a045-e1fe-59d5";"026401";"8";"36";"miasto";"stały";"Rada Osiedla Nadodrze, ul. Ludwika Rydygiera 43, 50-248 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1779";"594";"1006";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"18";"988";"33";"18";"15";"0";"955";"383";"572"
"1543-c135-bf30-2a31-c7cd-3665-3f2b-da8f";"026401";"8";"37";"miasto";"stały";"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1497";"1675";"508";"989";"1";"32";"1";"1";"0";"0";"0";"0";"1";"990";"1";"0";"990";"42";"10";"32";"0";"948";"357";"591"
"8ed8-fd26-4521-cad3-84ea-6338-6c42-5ff0";"026401";"8";"38";"miasto";"stały";"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1845";"480";"1120";"3";"34";"2";"2";"0";"0";"0";"0";"2";"1122";"2";"0";"1122";"46";"17";"29";"0";"1076";"417";"659"
"cba6-d903-35f4-6464-cb74-92aa-7ca5-5bad";"026401";"8";"39";"miasto";"stały";"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1175";"290";"710";"2";"11";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"22";"6";"16";"0";"685";"283";"402"
"7212-7c1e-4937-7d47-0788-b897-f16e-c9fb";"026401";"8";"40";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1833";"584";"1016";"2";"33";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"39";"8";"31";"0";"977";"390";"587"
"60b4-0108-0d3e-a246-4c20-8bfa-2f47-19af";"026401";"8";"41";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1454";"320";"880";"0";"12";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"47";"14";"33";"0";"833";"312";"521"
"cbd6-0439-0560-ceca-21c8-fec8-e392-dd76";"026401";"8";"42";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1899";"2359";"339";"1560";"1";"38";"1";"0";"0";"0";"0";"0";"0";"1560";"0";"0";"1560";"47";"11";"36";"0";"1513";"436";"1077"
"1a79-0c5e-a612-42cf-9f42-0787-1579-94b6";"026401";"8";"43";"miasto";"stały";"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2196";"579";"1321";"0";"18";"0";"0";"0";"0";"0";"0";"0";"1321";"0";"0";"1321";"33";"17";"16";"0";"1288";"463";"825"
"e8dd-ed4c-5b5e-24fc-b835-cbb7-35c5-a09c";"026401";"8";"44";"miasto";"stały";"Klub ""Iskierka"", ul. Juliana Ursyna Niemcewicza 27, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1877";"467";"1132";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"52";"18";"34";"0";"1080";"381";"699"
"b1e9-0f42-3c5d-c830-da17-552a-44b7-1da7";"026401";"8";"45";"miasto";"stały";"Publiczna Szkoła Podstawowa Leonardo, ul. Franklina Delano Roosevelta 15, 50-236 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1647";"418";"983";"0";"14";"0";"0";"0";"0";"0";"0";"0";"983";"0";"0";"983";"37";"10";"27";"0";"946";"374";"572"
"954e-920b-e256-117f-4e35-f2ec-21b2-156c";"026401";"8";"46";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2349";"2905";"214";"2135";"1";"40";"0";"0";"0";"0";"0";"0";"0";"2135";"0";"0";"2135";"84";"29";"55";"0";"2051";"531";"1520"
"3632-7569-e466-4e77-ad89-75a0-0c85-d905";"026401";"8";"47";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1380";"392";"808";"0";"8";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"36";"9";"27";"0";"772";"307";"465"
"6081-e625-592e-2854-54e5-ff5d-045d-1fe6";"026401";"8";"48";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1688";"392";"1009";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1009";"0";"0";"1009";"29";"11";"18";"0";"980";"342";"638"
"3d91-1fd4-d3b6-68e8-4352-ea7e-e904-45f5";"026401";"8";"49";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1197";"1307";"243";"954";"0";"14";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"19";"2";"17";"0";"935";"350";"585"
"ca89-c136-42ba-413b-fc6a-326b-45bf-6be9";"026401";"8";"50";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1497";"292";"1208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1207";"0";"0";"1207";"25";"15";"10";"0";"1182";"323";"859"
"7a1d-4683-3487-b865-672a-7f34-750b-6fa0";"026401";"8";"51";"miasto";"stały";"Rada Osiedla Strachocin-Swojczyce-Wojnów, ul. Swojczycka 118, 51-502 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2305";"2839";"1";"2304";"0";"49";"0";"0";"0";"0";"0";"0";"0";"2298";"0";"3";"2295";"56";"22";"34";"0";"2239";"607";"1632"
"c7b1-2a26-9b43-5539-c2f2-bd81-3177-481a";"026401";"8";"52";"miasto";"stały";"Rada Osiedla Ołbin, ul. Na Szańcach 14, 50-320 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"999";"1032";"233";"766";"2";"33";"0";"0";"0";"0";"0";"0";"0";"766";"0";"0";"766";"19";"5";"14";"0";"747";"254";"493"
"2c30-0ce0-3b52-97f8-741e-a32e-5214-e516";"026401";"8";"53";"miasto";"stały";"Liceum Ogólnokształcące nr I, ul. Księcia Józefa Poniatowskiego 9, 50-326 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1595";"1843";"508";"1087";"1";"24";"1";"1";"0";"0";"0";"0";"1";"1088";"1";"0";"1088";"36";"22";"14";"0";"1052";"440";"612"
