"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław Jan KORFANTY";"Marek Mirosław PLURA"
"f9e1-09de-dc0f-2ad9-0c19-0e6f-5611-3378";"246901";"80";"1";"miasto";"stały";"Sala Miejskiego Przedszkola nr 80, ul. Panewnicka 367, 40-773 Katowice";"m. Katowice";"Katowice";"śląskie";"1990";"2196";"342";"1648";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1648";"0";"0";"1648";"50";"25";"25";"0";"1598";"490";"1108"
"ea7a-91f7-366a-5e98-0a54-023e-839d-32d3";"246901";"80";"2";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Panewnicka 172, 40-772 Katowice";"m. Katowice";"Katowice";"śląskie";"1800";"2011";"286";"1514";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1514";"0";"0";"1514";"39";"12";"27";"0";"1475";"403";"1072"
"b9f0-5add-452f-ca50-e333-9498-097f-a34a";"246901";"80";"3";"miasto";"stały";"Miejskie Przedszkole nr 99, ul. Płochy 6, 40-755 Katowice";"m. Katowice";"Katowice";"śląskie";"1700";"1847";"349";"1351";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1348";"0";"0";"1348";"43";"5";"38";"0";"1305";"516";"789"
"7e46-d46d-e154-0934-fdba-9a1e-82e9-978d";"246901";"80";"4";"miasto";"stały";"Szkoła Podstawowa nr 67, ul. Zielona 5, 40-756 Katowice";"m. Katowice";"Katowice";"śląskie";"1700";"1946";"292";"1408";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1408";"0";"0";"1408";"47";"23";"24";"0";"1361";"495";"866"
"8d60-b83e-529a-097e-b0dc-3798-e049-f475";"246901";"80";"5";"miasto";"stały";"Szkoła Podstawowa nr 67, ul. Zielona 5, 40-756 Katowice";"m. Katowice";"Katowice";"śląskie";"1200";"1254";"221";"979";"0";"18";"0";"0";"0";"0";"0";"0";"0";"979";"0";"0";"979";"32";"21";"11";"0";"947";"311";"636"
"67f5-1bbb-6831-c6e2-cf1b-fa92-f744-ddcc";"246901";"80";"6";"miasto";"stały";"Szkoła Podstawowa nr 64, ul. Medyków 27, 40-751 Katowice";"m. Katowice";"Katowice";"śląskie";"1600";"1835";"240";"1360";"0";"32";"0";"0";"0";"0";"0";"0";"0";"1360";"0";"0";"1360";"61";"61";"0";"0";"1299";"464";"835"
"ddd4-38cd-b1cd-5bbd-1772-b2be-5aaa-572c";"246901";"80";"7";"miasto";"stały";"VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice";"m. Katowice";"Katowice";"śląskie";"1800";"1998";"541";"1259";"4";"29";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"56";"13";"43";"0";"1203";"462";"741"
"b0c8-9115-7338-920f-e531-7e9c-c7a8-db07";"246901";"80";"8";"miasto";"stały";"VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice";"m. Katowice";"Katowice";"śląskie";"1800";"1960";"546";"1254";"10";"9";"0";"0";"0";"0";"0";"0";"0";"1254";"0";"0";"1254";"34";"14";"20";"0";"1220";"520";"700"
"fa2f-62e3-2bcc-fec8-66fe-bb8a-64d2-9805";"246901";"80";"9";"miasto";"stały";"Szkoła Podstawowa nr 34, ul. Zielonogórska 3, 40-710 Katowice";"m. Katowice";"Katowice";"śląskie";"1750";"1898";"490";"1259";"3";"10";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"41";"14";"27";"0";"1218";"451";"767"
"0cb9-627e-a2ba-c7e3-b31d-5fee-7f83-b51c";"246901";"80";"10";"miasto";"stały";"Miejskie Przedszkole nr 15, ul. Zielonogórska 23, 40-710 Katowice";"m. Katowice";"Katowice";"śląskie";"1450";"1636";"448";"1002";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"32";"5";"27";"0";"970";"346";"624"
