"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Franciszek LASAK";"Jacek Władysław WŁOSOWICZ"
"ee32-6996-a283-3224-f83e-9b85-7b17-56e2";"260101";"81";"1";"miasto";"stały";"Powiatowy Międzyszkolny Ośrodek Sportowy w Busku-Zdroju (Hala Sportowa), ul. Kusocińskiego 3, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1162";"1262";"377";"785";"0";"14";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"25";"13";"12";"0";"760";"424";"336"
"57e3-1636-46a2-5539-7891-d519-7435-e0b0";"260101";"81";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Pomocy Społecznej w Busku-Zdroju, ul. Kościuszki 2a, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1045";"1112";"363";"682";"0";"3";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"24";"9";"15";"0";"657";"333";"324"
"9449-a0a9-fc4c-569d-96a1-d74b-2967-f58a";"260101";"81";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 w Busku-Zdroju, ul. Kościuszki 1, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"905";"960";"326";"579";"2";"19";"1";"1";"0";"0";"0";"0";"1";"579";"1";"0";"579";"21";"9";"12";"0";"558";"306";"252"
"9b8c-c516-c22d-d7d3-013b-b2cc-f94f-b191";"260101";"81";"4";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2 w Busku-Zdroju, ul. Korczaka 13, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1637";"1528";"642";"995";"0";"0";"0";"0";"0";"0";"0";"0";"0";"995";"0";"0";"995";"23";"7";"16";"0";"972";"469";"503"
"8b14-0ff8-c0ee-c95a-faea-0b09-677c-d026";"260101";"81";"5";"miasto";"stały";"Zakład Doskonalenia Zawodowego w Busku-Zdroju, ul. Wojska Polskiego 31, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1233";"1333";"433";"800";"1";"7";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"24";"10";"14";"0";"776";"410";"366"
"e4e3-ebd3-03a1-c02f-27ed-c720-bf70-b737";"260101";"81";"6";"miasto";"stały";"Buskie Samorządowe Centrum Kultury w Busku-Zdroju, Aleja Adama Mickiewicza 22, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1380";"1692";"187";"1193";"1";"416";"0";"0";"0";"0";"0";"0";"0";"1193";"0";"0";"1193";"41";"12";"29";"0";"1152";"608";"544"
"71f1-de32-52e4-1efd-c53a-331f-4ae9-d756";"260101";"81";"7";"miasto";"stały";"Przychodnia Rejonowa Nr 2 w Busku-Zdroju, os. Sikorskiego 10, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1150";"1211";"370";"780";"0";"2";"0";"0";"0";"0";"0";"0";"0";"780";"0";"0";"780";"22";"0";"22";"0";"758";"400";"358"
"db69-e104-31dd-6c09-d6f1-5b0b-929e-17fc";"260101";"81";"8";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3 w Busku-Zdroju, ul. Grotta 3, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1151";"1234";"426";"725";"1";"4";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"24";"10";"14";"0";"701";"305";"396"
"89a3-9379-d545-249d-9724-3567-2fad-90c4";"260101";"81";"9";"miasto";"stały";"Miejsko-Gminna Biblioteka Publiczna w Busku-Zdroju, os. Orła Białego 17, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1197";"1279";"446";"751";"5";"8";"0";"0";"0";"0";"0";"0";"0";"750";"0";"1";"749";"24";"2";"22";"0";"725";"377";"348"
"b389-e82b-bf4b-00ac-624d-1616-1868-7c75";"260101";"81";"10";"miasto";"stały";"Ochotnicza Straż Pożarna w Busku-Zdroju, ul. Partyzantów 4, 28-100 Busko-Zdrój";"gm. Busko-Zdrój";"buski";"świętokrzyskie";"1265";"1351";"385";"880";"2";"2";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"36";"8";"28";"0";"844";"432";"412"
