"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marzena Magdalena DĘBNIAK";"Dariusz Adam LORANTY";"Jarosław RUSIECKI"
"5b7b-a537-6eb3-0c80-3b58-01c0-9f43-61ab";"260601";"82";"1";"wieś";"stały";"Urząd Gminy w Baćkowicach, Baćkowice 84, 27-552 Baćkowice";"gm. Baćkowice";"opatowski";"świętokrzyskie";"1710";"1846";"687";"1023";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"15";"5";"10";"0";"1008";"155";"109";"744"
"9ed1-f860-088e-ce50-6735-ad71-0360-1e2c";"260601";"82";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Modliborzycach, Modliborzyce 93, 27-552 Baćkowice";"gm. Baćkowice";"opatowski";"świętokrzyskie";"811";"878";"331";"480";"0";"1";"0";"0";"0";"0";"0";"0";"0";"480";"0";"0";"480";"9";"2";"7";"0";"471";"59";"43";"369"
"fd70-c15c-c03d-4d5f-8798-1a2c-cda3-1f81";"260601";"82";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Piórkowie, Piórków 9, 27-552 Baćkowice";"gm. Baćkowice";"opatowski";"świętokrzyskie";"623";"675";"329";"294";"0";"2";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"6";"2";"4";"0";"288";"22";"37";"229"
"a6c5-6a29-30d5-98b1-ccdc-0af7-0b06-35f4";"260601";"82";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa we Wszachowie, Wszachów 49A, 27-552 Baćkowice";"gm. Baćkowice";"opatowski";"świętokrzyskie";"492";"531";"196";"296";"0";"0";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"9";"4";"5";"0";"287";"30";"24";"233"
"acf1-fbb6-8d2f-31ed-4c7a-c2ae-ba41-e8bf";"260601";"82";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Baćkowicach, Baćkowice 101A, 27-552 Baćkowice";"gm. Baćkowice";"opatowski";"świętokrzyskie";"29";"29";"12";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"17";"0";"0";"0";"0";"17";"8";"3";"6"
"ebda-9821-3622-a194-e4ca-e95b-8ae5-a3fc";"260602";"82";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Iwaniskach, ul. Opatowska 26, 27-570 Iwaniska";"gm. Iwaniska";"opatowski";"świętokrzyskie";"2041";"2240";"731";"1310";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1310";"0";"1";"1309";"24";"11";"13";"0";"1285";"226";"154";"905"
"f9bf-a184-452e-6a50-0d38-9af6-3f59-3cca";"260602";"82";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Ujeździe, Ujazd 9, 27-570 Iwaniska";"gm. Iwaniska";"opatowski";"świętokrzyskie";"909";"1000";"418";"491";"3";"3";"0";"0";"0";"0";"0";"0";"0";"491";"0";"0";"491";"12";"3";"9";"0";"479";"74";"43";"362"
"4f7b-cc48-a6bb-e2b6-72a3-2060-97d6-f8ed";"260602";"82";"3";"wieś";"stały";"Budynek po byłej szkole, Przepiórów 33, 27-570 Iwaniska";"gm. Iwaniska";"opatowski";"świętokrzyskie";"448";"500";"221";"227";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"12";"2";"10";"0";"215";"50";"19";"146"
"2d03-42f8-6b73-e881-bf36-770d-4a5f-0b15";"260602";"82";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa w Wygiełzowie, Wygiełzów 6, 27-570 Iwaniska";"gm. Iwaniska";"opatowski";"świętokrzyskie";"505";"549";"206";"299";"0";"1";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"5";"0";"5";"0";"294";"37";"36";"221"
"496c-070a-2c95-94a4-a8f4-07d3-8423-4a75";"260602";"82";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Iwaniskach Filia im. Biskupa Jana Chrapka w Jastrzębskiej Woli, Jastrzębska Wola 5, 27-570 Iwaniska";"gm. Iwaniska";"opatowski";"świętokrzyskie";"448";"523";"161";"287";"1";"7";"0";"0";"0";"0";"0";"0";"0";"287";"0";"0";"287";"5";"1";"4";"0";"282";"26";"33";"223"
