"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin Rafał BUGAJSKI";"Przemysław Albert GIERADA";"Kazimierz KIK";"Edward RZEPKA";"Krzysztof Marek SŁOŃ"
"041d-9e6d-5a8c-67eb-cc77-4f4d-1a1f-a5e7";"260401";"83";"1";"wieś";"stały";"Szkoła Podstawowa w Porąbkach, Porąbki 1, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"779";"843";"274";"505";"1";"0";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"12";"3";"9";"0";"493";"34";"21";"13";"45";"380"
"4aef-8776-66a2-7aff-5306-1d6a-c8f0-b285";"260401";"83";"2";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Bielinach, ul. Partyzantów 17, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"1534";"1680";"527";"1007";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1007";"0";"0";"1007";"13";"2";"11";"0";"994";"51";"66";"52";"146";"679"
"7d94-07f3-2692-19e9-8a89-f159-41b0-92f0";"260401";"83";"3";"wieś";"stały";"Szkoła Podstawowa w Hucie Nowej, Huta Nowa 48, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"941";"1035";"388";"553";"0";"6";"0";"0";"0";"0";"0";"0";"0";"553";"0";"0";"553";"7";"2";"5";"0";"546";"34";"48";"35";"43";"386"
"ece4-a887-19c6-20a4-4a10-e648-ce04-741f";"260401";"83";"4";"wieś";"stały";"Szkoła Podstawowa w Makoszynie, Makoszyn 100A, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"569";"626";"235";"334";"0";"0";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"4";"0";"4";"0";"330";"22";"26";"23";"41";"218"
"c519-f085-73d2-f5d4-a706-c0e3-7ee9-7d12";"260401";"83";"5";"wieś";"stały";"Szkoła Podstawowa w Lechowie, Lechów 66, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"941";"1021";"353";"588";"0";"3";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"17";"2";"15";"0";"571";"32";"68";"42";"43";"386"
"5dfc-9fb5-e4d3-3cb8-fbd7-5151-05d9-0774";"260401";"83";"6";"wieś";"stały";"Szkoła Podstawowa w Belnie, Belno 25, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"803";"872";"357";"446";"0";"2";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"7";"1";"6";"0";"439";"27";"42";"16";"33";"321"
"6188-d6c0-5010-3a5a-5183-d26b-dfd7-3e11";"260401";"83";"7";"wieś";"stały";"Szkoła Podstawowa w Hucie Podłysicy, Huta Podłysica 58a, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"451";"493";"164";"287";"0";"0";"0";"0";"0";"0";"0";"0";"0";"287";"0";"0";"287";"2";"0";"2";"0";"285";"10";"15";"8";"33";"219"
"bd27-e41e-20a8-0635-32ab-93f9-f217-70fd";"260401";"83";"8";"wieś";"stały";"Szkoła Podstawowa w Hucie Starej, Huta Stara 25, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"431";"476";"153";"278";"1";"5";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"6";"0";"6";"0";"272";"15";"24";"14";"28";"191"
"84d3-c730-c2c0-f085-a6f2-9295-2cc8-e763";"260401";"83";"9";"wieś";"stały";"Centrum Tradycji, Turystyki i Kultury Gór Świętokrzyskich w Bielinach, ul. Partyzantów 3, 26-004 Bieliny";"gm. Bieliny";"kielecki";"świętokrzyskie";"900";"971";"354";"546";"2";"4";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"8";"3";"5";"0";"538";"41";"42";"46";"110";"299"
"9353-0d6b-492b-6798-db65-e39a-321d-63c1";"260402";"83";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Bodzentynie, ul. Rynek Górny 11, 26-010 Bodzentyn";"gm. Bodzentyn";"kielecki";"świętokrzyskie";"1646";"1815";"556";"1090";"6";"17";"0";"0";"0";"0";"0";"0";"0";"1090";"0";"0";"1090";"23";"7";"16";"0";"1067";"87";"103";"104";"283";"490"
