"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Piotr BIELECKI";"Stanisław Andrzej GORCZYCA";"Bogusława ORZECHOWSKA";"Łukasz TULWIŃSKI"
"3a24-a68c-62b7-6f0b-2f14-8027-032f-aa47";"280301";"85";"1";"miasto";"stały";"Zespół Szkół Nr 2 w Działdowie, Polna 11, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1843";"2007";"553";"1290";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1290";"0";"0";"1290";"30";"11";"19";"0";"1260";"213";"509";"455";"83"
"56a9-fce0-7a30-167c-bc88-1b32-7c4f-76bf";"280301";"85";"2";"miasto";"stały";"Przedszkole Nr 4 w Działdowie ul. Mrongowiusza 7, Mrongowiusza 7, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"995";"1075";"336";"659";"2";"0";"0";"0";"0";"0";"0";"0";"0";"659";"0";"0";"659";"10";"4";"6";"0";"649";"94";"262";"243";"50"
"f4a9-5a67-dd9e-44a1-8732-9afc-df77-e79a";"280301";"85";"3";"miasto";"stały";"Zespół Szkół Nr 1 (Sala Sportowa) w Działdowie ul. Grunwaldzka 4, Grunwaldzka 4, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1014";"1103";"388";"626";"0";"0";"0";"0";"0";"0";"0";"0";"0";"626";"0";"0";"626";"4";"0";"4";"0";"622";"90";"257";"220";"55"
"ee80-8a41-e484-c457-abdd-cf3a-0e3d-6570";"280301";"85";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1 (Sala Sportowa) w Działdowie ul. Władysława Jagiełły 33, Władysława Jagiełły 33, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"782";"815";"358";"424";"0";"0";"0";"0";"0";"0";"0";"0";"0";"424";"0";"0";"424";"10";"1";"9";"0";"414";"50";"174";"165";"25"
"87ab-6d70-bd8d-6ecf-ffed-cb46-ae7a-b1a7";"280301";"85";"5";"miasto";"stały";"Zespół Szkół Zawodowych Nr 1 (Sala Sportowa) w Działdowie ul. Pocztowa 6, Pocztowa 6, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1633";"1797";"742";"892";"3";"3";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"16";"1";"15";"0";"874";"128";"317";"358";"71"
"e92b-bedb-4fa9-61c0-0f7b-0b34-09d3-276a";"280301";"85";"6";"miasto";"stały";"Miejska Biblioteka Publiczna w Działdowie ul. Wolności 64 a, Wolności 64 a, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1153";"1217";"455";"698";"1";"3";"0";"0";"0";"0";"0";"0";"0";"698";"0";"0";"698";"11";"6";"5";"0";"687";"84";"290";"273";"40"
"b897-4b41-c02d-215a-a6a2-4cdc-95f9-0203";"280301";"85";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Działdowie ul. Lenartowicza 1, Lenartowicza 1, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"2167";"2313";"832";"1335";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1335";"0";"0";"1335";"23";"7";"16";"0";"1312";"170";"504";"541";"97"
"6217-f457-201d-2321-7f9f-a015-c069-38c9";"280301";"85";"8";"miasto";"stały";"Spółdzielnia Mieszkaniowa w Działdowie ul. Nidzicka 17, Nidzicka 17, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1421";"1499";"684";"737";"0";"2";"0";"0";"0";"0";"0";"0";"0";"737";"0";"0";"737";"15";"1";"14";"0";"722";"98";"275";"299";"50"
"e978-9fe3-3fc0-bd90-75fb-7434-8869-2b6b";"280301";"85";"9";"miasto";"stały";"Przedsiębiorstwo Ciepłownicze Spółka z o. o. w Działdowie, ul. Marii Zientary-Malewskiej 1b, Marii Zientary-Malewskiej 1b, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"860";"944";"253";"607";"0";"6";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"8";"0";"8";"0";"599";"80";"248";"218";"53"
"f7cd-41cd-a819-2800-1d97-49be-11bd-ad6b";"280301";"85";"10";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji w Działdowie, ul. Robotnicza 10, Robotnicza 10, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1219";"1344";"491";"728";"0";"2";"0";"0";"0";"0";"0";"0";"0";"728";"0";"0";"728";"10";"3";"7";"0";"718";"93";"236";"327";"62"
"36db-1431-aa7c-bfe3-321b-4ccd-9108-6655";"280301";"85";"11";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Działdowie, ul. Sportowa 1, Sportowa 1, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"966";"1027";"318";"648";"0";"6";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"3";"0";"3";"0";"645";"96";"293";"214";"42"
"b864-3e09-334c-6c6b-9ec9-71df-b3d8-1c7f";"280301";"85";"12";"miasto";"stały";"Hala Sportowa przy Szkole Podstawowej Nr 2 w Działdowie ul. Sportowa 1, Sportowa 1, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"1183";"1272";"484";"699";"0";"1";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"11";"1";"10";"0";"688";"103";"248";"291";"46"
"4b6f-6735-0095-ccd1-1b8c-623a-9e1a-6f50";"280301";"85";"13";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Działdowie, ul. Leśna 1, 13 - 200 Działdowo, Leśna 1, 13-200 Działdowo";"m. Działdowo";"działdowski";"warmińsko-mazurskie";"250";"170";"184";"66";"0";"2";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"1";"0";"1";"0";"65";"8";"17";"36";"4"
