"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan AUGUSTYN";"Adam Stanisław SZEJNFELD";"Jolanta Małgorzata TURCZYNOWICZ-KIERYŁŁO"
"ff0d-ae69-db3e-d1c6-ff8e-322d-216a-aa14";"300101";"88";"1";"miasto";"stały";"""Dzienny Dom Senior-Wigor"" (budynek Dworca PKP), ul. Dworcowa 1, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"2001";"2158";"560";"1441";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1439";"0";"0";"1439";"34";"16";"18";"0";"1405";"289";"700";"416"
"68d1-e3e8-8331-82dc-f9a6-29f2-845b-277f";"300101";"88";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 (budynek hali sportowej), ul. Ignacego Jana Paderewskiego 13, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1838";"1903";"565";"1273";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1273";"0";"0";"1273";"28";"8";"20";"0";"1245";"230";"661";"354"
"6ce1-394d-86b9-566f-d823-8c57-89f9-b223";"300101";"88";"3";"miasto";"stały";"Miejski Ośrodek Rozwiązywania Problemów Alkoholowych, ul. Władysława Reymonta 12, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1766";"1892";"459";"1307";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1307";"0";"0";"1307";"32";"8";"24";"0";"1275";"237";"689";"349"
"312a-92b7-e942-cd61-b44d-41ae-f80e-5867";"300101";"88";"4";"miasto";"stały";"Zespół Szkół im. Hipolita Cegielskiego, ul. Prymasa Stefana Wyszyńskiego 2, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1656";"1784";"564";"1092";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"20";"5";"15";"0";"1072";"202";"513";"357"
"9b00-2c2f-e1c2-d0a9-8793-244e-3639-8d75";"300101";"88";"5";"miasto";"stały";"I Liceum Ogólnokształcące im. św. Barbary, ul. Stefana Żeromskiego 11, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1660";"1796";"551";"1109";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1109";"0";"0";"1109";"29";"12";"17";"0";"1080";"226";"560";"294"
"d703-9638-ee59-9623-388b-3264-b2c0-65a9";"300101";"88";"6";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Staszica (sala gimnastyczna), ul. Stanisława Staszica 19, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1651";"1797";"541";"1110";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1110";"0";"0";"1110";"49";"8";"41";"0";"1061";"221";"532";"308"
"d98f-3bd8-2d12-b9fb-5285-7c34-7e7b-2479";"300101";"88";"7";"miasto";"stały";"Chodzieski Dom Kultury im. Stanisława Moniuszki, ul. Strzelecka 15, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1031";"1103";"284";"747";"1";"1";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"30";"9";"21";"0";"717";"147";"366";"204"
"558e-06c9-3d3b-1fa2-5b51-0845-6af5-ecc5";"300101";"88";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Powstańców Wielkopolskich, ul. Jana Kochanowskiego 1, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1921";"2027";"592";"1329";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1329";"0";"0";"1329";"37";"9";"28";"0";"1292";"231";"680";"381"
"e6e0-a7c8-3345-46e0-4c4e-8ea7-e994-7bc7";"300101";"88";"9";"miasto";"dom pomocy społecznej";"Budynek Domu Pomocy Społecznej, ul. Ujska 47, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"105";"101";"68";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"5";"3";"2";"0";"32";"8";"9";"15"
"4559-c1b5-40a5-0898-98e5-2916-8603-642f";"300101";"88";"10";"miasto";"zakład leczniczy";"Budynek Szpitala Powiatowego, ul. Stefana Żeromskiego 29, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"70";"56";"33";"37";"0";"3";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"0";"0";"0";"0";"37";"10";"14";"13"
