"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Helena Adela CZAKOWSKA";"Andrzej KOBIAK";"Leszek Józef POSŁUSZNY"
"69a8-d182-4221-e8ef-b494-56b3-c0bc-c1fd";"040301";"9";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Centralna 27, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"741";"822";"204";"537";"1";"3";"0";"0";"0";"0";"0";"0";"0";"537";"0";"0";"537";"3";"2";"1";"0";"534";"175";"282";"77"
"8cd0-52fd-36a7-c5d0-ce5f-9a45-0430-4bf2";"040301";"9";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Centralna 27, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"860";"951";"202";"658";"0";"2";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"6";"0";"6";"0";"652";"226";"328";"98"
"7ad6-5475-b657-67ba-9293-d8e8-fa65-b0f1";"040301";"9";"3";"wieś";"stały";"Szkoła Podstawowa, ul. Czerska 10, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"718";"806";"166";"552";"0";"0";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"12";"4";"8";"0";"540";"149";"305";"86"
"09e6-3288-f4b0-4ab9-e5f1-a920-9f83-5f8c";"040301";"9";"4";"wieś";"stały";"Szkoła Podstawowa, ul. Czysta 1a, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"680";"771";"185";"495";"1";"0";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"2";"0";"2";"0";"493";"160";"269";"64"
"be05-98cb-b2bc-9220-d840-3d37-e1f4-3d8d";"040301";"9";"5";"wieś";"stały";"Zakład Aktywności Zawodowej, ul. Centralna 27A, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"1063";"1167";"322";"741";"1";"1";"0";"0";"0";"0";"0";"0";"0";"741";"0";"0";"741";"10";"6";"4";"0";"731";"268";"355";"108"
"16a2-1831-61f2-334c-586f-4565-7ae6-8393";"040301";"9";"6";"wieś";"stały";"Szkoła Podstawowa, ul. Czysta 1a, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"792";"868";"227";"565";"0";"8";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"6";"1";"5";"0";"559";"162";"303";"94"
"5eae-43b2-91db-d638-5dab-170b-446b-cd19";"040301";"9";"7";"wieś";"stały";"Świetlica Wiejska, Ciele ul. Kościelna 6, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"1010";"1138";"210";"800";"0";"1";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"13";"5";"8";"0";"787";"209";"451";"127"
"d371-4666-ecc8-d358-b1c1-1a00-7b12-b61f";"040301";"9";"8";"wieś";"stały";"Świetlica Wiejska, Kruszyn Krajeński ul. Świerkowa 5, 86-005 Białe Błota";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"851";"954";"167";"684";"0";"6";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"13";"4";"9";"0";"671";"157";"417";"97"
"41be-a565-b4cf-5158-34f0-9ad7-affd-3451";"040301";"9";"9";"wieś";"stały";"Świetlica Wiejska, Lisi Ogon ul. Wyczynowa 2, 86-065 Łochowo";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"580";"647";"178";"402";"0";"7";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"5";"2";"3";"0";"396";"108";"221";"67"
"00fe-60cc-be07-ffb3-0169-8b5f-61d7-ef14";"040301";"9";"10";"wieś";"stały";"Świetlica Wiejska, Łochowice ul. Spokojna 3, 86-065 Łochowo";"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";"523";"576";"103";"420";"0";"2";"0";"0";"0";"0";"0";"0";"0";"420";"0";"0";"420";"7";"2";"5";"0";"413";"121";"254";"38"
