"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław PUCEK";"Jadwiga Kazimiera ROTNICKA"
"4437-930d-5b62-f10a-5929-78e6-6f9b-4713";"302101";"90";"1";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Józefa Poniatowskiego 16, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1793";"1992";"262";"1531";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1529";"0";"0";"1529";"46";"5";"41";"0";"1483";"430";"1053"
"5351-1be4-719a-1084-01de-939d-607b-2b89";"302101";"90";"2";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Józefa Poniatowskiego 16, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1649";"1828";"236";"1413";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1409";"0";"0";"1409";"37";"9";"28";"0";"1372";"357";"1015"
"8709-aec8-298a-7c1c-38ac-42dc-db62-3921";"302101";"90";"3";"miasto";"stały";"Szkoła Podstawowa nr 5, ul. Hugona Kołłątaja 1, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1770";"1961";"245";"1525";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1525";"0";"0";"1525";"39";"8";"31";"0";"1486";"406";"1080"
"f6e9-f15b-d2d2-37ce-a9c3-1d4f-0cd6-29bf";"302101";"90";"4";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1490";"1619";"307";"1183";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1181";"0";"0";"1181";"50";"32";"18";"0";"1131";"364";"767"
"a45c-6d68-d8e8-5659-020c-0586-1397-29c3";"302101";"90";"5";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1490";"1641";"282";"1208";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"30";"6";"24";"0";"1178";"321";"857"
"ec6c-eb21-f022-1668-4988-45c6-0584-0ef7";"302101";"90";"6";"miasto";"stały";"Świetlica SM, ul. Żabikowska 62, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1983";"2187";"444";"1539";"4";"5";"0";"0";"0";"0";"0";"0";"0";"1532";"0";"0";"1532";"53";"13";"40";"0";"1479";"462";"1017"
"1a27-0a83-2b9f-0f79-192d-21a6-583a-e8ed";"302101";"90";"7";"miasto";"stały";"Zespół Szkół w Luboniu, ul. Armii Poznań 27, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1490";"1633";"335";"1155";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1155";"0";"0";"1155";"40";"6";"34";"0";"1115";"415";"700"
"4f54-d00b-bcee-1564-9f21-9f01-1162-fdba";"302101";"90";"8";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1352";"1485";"206";"1146";"0";"6";"1";"1";"0";"0";"0";"0";"1";"1147";"1";"0";"1147";"27";"5";"22";"0";"1120";"358";"762"
"bba6-66e3-6421-7c64-1efd-80f5-23ac-1409";"302101";"90";"9";"miasto";"stały";"Biblioteka Miejska, ul. Żabikowska 42, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1380";"1581";"94";"1286";"0";"17";"0";"0";"0";"0";"0";"0";"0";"1286";"0";"0";"1286";"48";"9";"39";"0";"1238";"237";"1001"
"cf84-799a-2350-7e40-d8ac-171b-7e1a-dda8";"302101";"90";"10";"miasto";"stały";"Zespół Szkół w Luboniu, ul. Armii Poznań 27, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1550";"1752";"310";"1240";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1238";"0";"0";"1238";"43";"13";"30";"0";"1195";"373";"822"
"c741-f5f3-1333-e053-96f1-a12f-28b1-c7cc";"302101";"90";"11";"miasto";"stały";"Dzienny Dom ""Senior-Wigor"", ul. Romana Maya 1b, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"890";"983";"276";"614";"0";"0";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"14";"7";"7";"0";"600";"232";"368"
"68b6-bd8b-7e3a-23ce-8424-0011-2f7a-032b";"302101";"90";"12";"miasto";"stały";"Ośrodek Kultury, ul. Jana III Sobieskiego 97, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1700";"1877";"342";"1358";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1355";"0";"0";"1355";"42";"19";"23";"0";"1313";"392";"921"
"00aa-048c-1cef-e032-94a0-a360-7cf9-387b";"302101";"90";"13";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. 1 Maja 10, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1730";"1911";"367";"1363";"2";"7";"1";"1";"0";"0";"0";"0";"1";"1364";"1";"0";"1364";"45";"9";"36";"0";"1319";"428";"891"
"247d-123c-6304-15e5-c0f3-bf6c-5771-9a14";"302101";"90";"14";"miasto";"stały";"Szkoła Podstawowa nr 5, ul. Hugona Kołłątaja 1, 62-030 Luboń";"m. Luboń";"poznański";"wielkopolskie";"1205";"1331";"196";"1009";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1007";"0";"0";"1007";"39";"11";"28";"0";"968";"259";"709"
"2684-9c97-b517-edb8-ec4c-4a28-460e-7cc9";"302102";"90";"1";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Wysoka 1, 62-040 Puszczykowo";"m. Puszczykowo";"poznański";"wielkopolskie";"1500";"1639";"255";"1246";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1245";"0";"1";"1244";"43";"9";"34";"0";"1201";"369";"832"
"832c-7fc8-5295-2222-ca7f-bf3e-e2cd-dec9";"302102";"90";"2";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Wysoka 1, 62-040 Puszczykowo";"m. Puszczykowo";"poznański";"wielkopolskie";"890";"981";"135";"755";"4";"10";"0";"0";"0";"0";"0";"0";"0";"755";"0";"0";"755";"24";"4";"20";"0";"731";"204";"527"
"a0c1-df00-5cf4-3642-2fe6-8f9e-6723-a95c";"302102";"90";"3";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Wysoka 1, 62-040 Puszczykowo";"m. Puszczykowo";"poznański";"wielkopolskie";"929";"1015";"155";"774";"2";"3";"0";"0";"0";"0";"0";"0";"0";"774";"0";"0";"774";"29";"11";"18";"0";"745";"213";"532"
"b6e6-a4f6-1ef6-e116-943f-c4f2-6f00-375a";"302102";"90";"4";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Kasprowicza 1, 62-040 Puszczykowo";"m. Puszczykowo";"poznański";"wielkopolskie";"1340";"1462";"181";"1158";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"2";"1156";"23";"3";"20";"0";"1133";"281";"852"
"1430-0476-44db-6f5c-d4ed-5c7f-043d-ddd5";"302102";"90";"5";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Kasprowicza 1, 62-040 Puszczykowo";"m. Puszczykowo";"poznański";"wielkopolskie";"1028";"1094";"199";"829";"4";"2";"0";"0";"0";"0";"0";"0";"0";"829";"0";"0";"829";"25";"4";"21";"0";"804";"196";"608"
