"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Margareta BUDNER";"Maciej Dariusz SYTEK"
"a84d-f4e4-2960-da0d-ea4b-7ce3-7d4c-d2eb";"300901";"93";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Józefa Poniatowskiego 22, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1226";"1327";"434";"792";"2";"0";"0";"0";"0";"0";"0";"0";"0";"792";"0";"0";"792";"24";"19";"5";"0";"768";"362";"406"
"29b0-97bb-e735-4eed-b867-dae9-4c54-780b";"300901";"93";"2";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Stary Rynek 15, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1120";"1212";"581";"539";"0";"0";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"21";"4";"17";"0";"518";"276";"242"
"de06-a70c-afae-7ca8-006a-bcb6-060e-433c";"300901";"93";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"892";"965";"375";"517";"2";"1";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"29";"6";"23";"0";"488";"251";"237"
"e265-dbbd-343e-a8b3-b058-ceda-7eb3-d96d";"300901";"93";"4";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1330";"1431";"552";"778";"2";"3";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"35";"11";"24";"0";"743";"356";"387"
"f5bf-53d8-3205-8329-8b79-d493-f520-8d0d";"300901";"93";"5";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1478";"1595";"475";"1003";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"31";"2";"29";"0";"971";"501";"470"
"cbbe-abd6-a2d0-ce4c-b421-81a8-b4be-dcf1";"300901";"93";"6";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Kolejowa 5, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1852";"1986";"616";"1236";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1236";"0";"0";"1236";"31";"15";"16";"0";"1205";"569";"636"
"0f31-e042-76fe-6af1-eb79-31ab-5a33-90a7";"300901";"93";"7";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Kolejowa 5, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1623";"1752";"565";"1058";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"28";"7";"21";"0";"1030";"577";"453"
"992a-303e-f153-8046-ad86-1dd2-9500-be44";"300901";"93";"8";"miasto";"stały";"Państwowa Szkoła Muzyczna, ul. Henryka Sienkiewicza 11, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1231";"1323";"426";"805";"1";"1";"0";"0";"0";"0";"0";"0";"0";"803";"0";"0";"803";"33";"3";"30";"0";"770";"378";"392"
"10bb-8d27-560e-feeb-1827-c3d0-a9da-fa81";"300901";"93";"9";"miasto";"stały";"Miejski Dom Kultury, ul. Juliusza Słowackiego 5, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1241";"1322";"349";"892";"0";"3";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"22";"5";"17";"0";"870";"410";"460"
"b02f-deeb-bdd7-a95a-6e8c-ca24-93d0-d653";"300901";"93";"10";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji, ul. Szkolna 2B, 62-600 Koło";"m. Koło";"kolski";"wielkopolskie";"1008";"1103";"271";"737";"1";"4";"0";"0";"0";"0";"0";"0";"0";"737";"0";"0";"737";"18";"3";"15";"0";"719";"311";"408"
