"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK"
"6938-4704-e0d3-612a-ea09-9e82-c60b-0519";"300401";"94";"1";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1120";"1220";"348";"772";"0";"1";"0";"0";"0";"0";"0";"0";"0";"772";"0";"0";"772";"13";"4";"9";"0";"759";"288";"86";"385"
"fe25-4f84-9138-3e45-c84b-cb78-1b31-7887";"300401";"94";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1262";"1380";"429";"833";"2";"0";"0";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"16";"2";"14";"0";"817";"374";"81";"362"
"2666-c1bc-67b2-d5e2-add5-a5db-9665-9985";"300401";"94";"3";"miasto";"stały";"Urząd Miejski w Borku Wielkopolskim, Rynek 1, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1140";"1252";"593";"547";"0";"0";"0";"0";"0";"0";"0";"0";"0";"547";"0";"0";"547";"14";"0";"14";"0";"533";"308";"47";"178"
"32e2-125f-fc4c-66d9-8856-d830-9831-8f14";"300401";"94";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borku Wielkopolskim Szkoła Podstawowa w Borku Wielkopolskim im. Władysława Jagiełły Szkoła filialna im. Edmunda Bojanowskiego w Wycisłowie, Wycisłowo 66, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"684";"743";"401";"283";"1";"3";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"283";"2";"0";"2";"0";"281";"169";"25";"87"
"b0ac-b5f6-85bd-58f7-e4e5-315d-d7f9-b791";"300401";"94";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Zimnowodzie, Zimnowoda 7, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1172";"1280";"583";"589";"0";"1";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"11";"2";"9";"0";"578";"353";"68";"157"
"157a-7242-9039-9082-fdde-9f2e-ccc8-189a";"300402";"94";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Stanisława Helsztyńskiego 8, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"860";"931";"257";"603";"0";"6";"0";"0";"0";"0";"0";"0";"0";"603";"0";"0";"603";"13";"5";"8";"0";"590";"265";"60";"265"
"acb9-c952-69c9-3875-f47e-a160-c0ce-5d4b";"300402";"94";"2";"miasto";"stały";"Dzienny Dom Senior +, ul. Polna 72, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"810";"872";"333";"477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"13";"3";"10";"0";"464";"172";"49";"243"
"680f-d1d3-0f2d-8223-6752-1b60-f336-a10f";"300402";"94";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Wrocławska 10, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"970";"1050";"342";"628";"1";"4";"0";"0";"0";"0";"0";"0";"0";"628";"0";"0";"628";"18";"5";"13";"0";"610";"214";"62";"334"
"f466-6038-bbc1-6a89-7c77-191e-f99e-4368";"300402";"94";"4";"miasto";"stały";"Biblioteka Publiczna M i G, ul. Wrocławska 257, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"890";"953";"305";"585";"2";"2";"0";"0";"0";"0";"0";"0";"0";"585";"0";"0";"585";"12";"3";"9";"0";"573";"220";"75";"278"
"79ed-91aa-3d69-2f16-3033-de58-a849-7145";"300402";"94";"5";"miasto";"stały";"Świetlica osiedlowa, ul. Górna 30 b, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1120";"1241";"269";"851";"0";"2";"0";"0";"0";"0";"0";"0";"0";"851";"0";"0";"851";"21";"6";"15";"0";"830";"274";"120";"436"
