"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Jolanta MATECKA";"Łukasz MIKOŁAJCZYK"
"362c-0e33-9e33-b6a5-016f-8105-529f-682d";"300801";"95";"1";"wieś";"stały";"Zespół Szkół im. Powstańców Wielkopolskich w Baranowie, Publiczne Przedszkole Samorządowe w Baranowie, Rynek 20, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"1510";"1665";"363";"1147";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1147";"0";"0";"1147";"30";"5";"25";"0";"1117";"703";"414"
"ca3a-6e77-6ca7-e160-e200-e50c-cf39-c032";"300801";"95";"2";"wieś";"stały";"Zespół Szkół w Donaborowie, Szkoła Podstawowa w Donaborowie, Donaborów 91, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"760";"843";"285";"475";"0";"0";"0";"0";"0";"0";"0";"0";"0";"475";"0";"0";"475";"16";"0";"16";"0";"459";"223";"236"
"b3d3-c1f5-ae24-98c2-4fc2-214d-037e-c8ad";"300801";"95";"3";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Mroczeniu, Szkoła Filialna w Grębaninie, Grębanin 87, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"611";"691";"191";"420";"0";"6";"0";"0";"0";"0";"0";"0";"0";"420";"0";"0";"420";"13";"2";"11";"0";"407";"152";"255"
"014b-eae5-39c4-10ce-8a50-b3ed-f4cb-935f";"300801";"95";"4";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Mroczeniu, Mroczeń 140, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"1170";"1292";"356";"814";"0";"4";"0";"0";"0";"0";"0";"0";"0";"814";"0";"0";"814";"27";"1";"26";"0";"787";"369";"418"
"854e-fd1c-f0a4-15c8-4d44-bfcf-0c56-79d8";"300801";"95";"5";"wieś";"stały";"Zespół Szkół w Słupi pod Kępnem, Słupia pod Kępnem ul. Szkolna 5, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"990";"1088";"368";"622";"1";"3";"0";"0";"0";"0";"0";"0";"0";"622";"0";"0";"622";"20";"2";"18";"0";"602";"277";"325"
"0028-7ad6-9d6c-3a2a-7455-d0e5-c204-dedf";"300801";"95";"6";"wieś";"stały";"Zespół Szkół w Łęce Mroczeńskiej, Szkoła Podstawowa w Łęce Mroczeńskiej, Łęka Mroczeńska 55a, 63-604 Baranów";"gm. Baranów";"kępiński";"wielkopolskie";"631";"695";"192";"439";"0";"3";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"12";"2";"10";"0";"427";"134";"293"
"c6b0-30ba-1171-00cc-46b2-dd82-e7df-b937";"300802";"95";"1";"wieś";"stały";"Przedszkole ""Kwiaty Polskie"", ul. Lipowa 30, 63-640 Bralin";"gm. Bralin";"kępiński";"wielkopolskie";"1140";"1234";"273";"867";"0";"2";"0";"0";"0";"0";"0";"0";"0";"867";"0";"0";"867";"31";"0";"31";"0";"836";"453";"383"
"318b-793c-7125-6947-4fa9-31a5-7aea-cbca";"300802";"95";"2";"wieś";"stały";"Szkoła Podstawowa im. Mikołaja Kopernika, ul. Rynek 1, 63-640 Bralin";"gm. Bralin";"kępiński";"wielkopolskie";"920";"996";"251";"669";"3";"6";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"13";"0";"13";"0";"656";"403";"253"
"a7e9-8821-c714-6d46-6123-115d-edc9-eec5";"300802";"95";"3";"wieś";"stały";"Zespół Szkół im. Ks. Michała Przywary i Rodziny Salomonów, Nowa Wieś Książęca 32, 63-640 Bralin";"gm. Bralin";"kępiński";"wielkopolskie";"500";"540";"172";"328";"0";"0";"0";"0";"0";"0";"0";"0";"0";"328";"0";"0";"328";"8";"0";"8";"0";"320";"132";"188"
"8ed9-18b3-93a5-0a5d-f1f7-3a4f-cd9c-1af7";"300802";"95";"4";"wieś";"stały";"Dom Ludowy, Chojęcin-Parcele 5, 63-640 Bralin";"gm. Bralin";"kępiński";"wielkopolskie";"600";"657";"220";"380";"1";"0";"0";"0";"0";"0";"0";"0";"0";"380";"0";"0";"380";"11";"1";"10";"0";"369";"162";"207"
