"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT"
"45e4-f104-778d-b072-6a9a-976a-8760-ff0c";"321101";"97";"1";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Graniczna 31, 72-003 Dobra";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"2438";"2736";"413";"2025";"4";"21";"0";"0";"0";"0";"0";"0";"0";"2025";"0";"0";"2025";"48";"15";"33";"0";"1977";"1459";"518"
"e3e8-1b24-493b-f514-92c2-8379-a69e-dd62";"321101";"97";"2";"wieś";"stały";"Klub w Dołujach, ul. Żubrza 7, 72-002 Dołuje";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1767";"1984";"439";"1328";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1328";"0";"0";"1328";"46";"16";"30";"0";"1282";"907";"375"
"ce67-7b0b-23ca-7096-8818-977b-9a4d-2a45";"321101";"97";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"2140";"2352";"262";"1878";"3";"17";"0";"0";"0";"0";"0";"0";"0";"1878";"0";"0";"1878";"41";"8";"33";"0";"1837";"1508";"329"
"6f84-0a07-b546-03ea-2409-5312-1590-db44";"321101";"97";"4";"wieś";"stały";"Klub w Wołczkowie, ul. Lipowa 11A, 72-003 Dobra";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1298";"1430";"192";"1106";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1105";"0";"0";"1105";"32";"11";"21";"0";"1073";"795";"278"
"51b7-8c7b-7416-d7cd-95c1-979e-77bf-5478";"321101";"97";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1749";"1913";"271";"1478";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1478";"0";"0";"1478";"34";"11";"23";"0";"1444";"1071";"373"
"287e-e5f0-a5d4-ffb2-9d18-fffa-d4d7-1692";"321101";"97";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Górna 3, 71-218 Bezrzecze";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1953";"2245";"284";"1669";"6";"10";"0";"0";"0";"0";"0";"0";"0";"1669";"0";"0";"1669";"46";"20";"26";"0";"1623";"1251";"372"
"16cd-95f6-9f3c-b2ad-69e6-c793-3496-b91b";"321101";"97";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Poziomkowa 5, 72-003 Dobra";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1097";"1215";"502";"595";"0";"0";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"13";"3";"10";"0";"581";"387";"194"
"efb1-73e2-c0fb-1fbf-803f-501c-f1d4-2ff4";"321101";"97";"8";"wieś";"stały";"Publiczna szkoła Podstawowa, Górna 3, 71-218 Bezrzecze";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1325";"1463";"153";"1172";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1172";"0";"0";"1172";"28";"11";"17";"0";"1144";"940";"204"
"6188-d368-d0b1-36a7-f9f8-a1d0-0ce1-cb24";"321101";"97";"9";"wieś";"stały";"Publiczna Szkoła Podstawowa, Kolorowa 27, 72-006 Mierzyn";"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";"1547";"1701";"364";"1193";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1193";"0";"0";"1193";"36";"9";"27";"0";"1157";"851";"306"
"aa18-63ac-999d-59f6-65c8-de4f-1b73-5a89";"321102";"97";"1";"wieś";"stały";"Zespół Placówek Oświatowych, Kołbaskowo 57, 72-001 Kołbaskowo";"gm. Kołbaskowo";"policki";"zachodniopomorskie";"1899";"2155";"644";"1255";"3";"23";"1";"1";"0";"0";"0";"0";"1";"1256";"1";"0";"1256";"42";"6";"36";"0";"1214";"787";"427"
