"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Magdalena Maria KOCHAN";"Edward KOSMAL"
"f6d1-a8d1-ef7d-6210-2ddf-1012-479d-2273";"320402";"98";"1";"miasto";"stały";"Miejska i Powiatowa Biblioteka Publiczna w Goleniowie, ul. Konstytucji 3 Maja 26, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1580";"1729";"612";"968";"1";"16";"0";"0";"0";"0";"0";"0";"0";"968";"0";"4";"964";"43";"8";"35";"0";"921";"534";"387"
"54f3-c6a5-f415-c6ad-2bda-47c5-1ccd-d0fd";"320402";"98";"2";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Sportowymi nr 5 w Goleniowie, ul. Cypriana Kamila Norwida 1, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1700";"1838";"563";"1137";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"49";"11";"38";"0";"1086";"667";"419"
"3e1f-cee1-84b3-98c5-3b5b-1606-0f78-fbd6";"320402";"98";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Szczecińska 36, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1400";"1548";"450";"950";"2";"6";"0";"0";"0";"0";"0";"0";"0";"950";"0";"0";"950";"48";"17";"31";"0";"902";"547";"355"
"d6cf-f02f-d7ac-0497-cd54-fdcc-892c-47c2";"320402";"98";"4";"miasto";"stały";"Przedszkole Publiczne nr 2, ul. Akacjowa 19, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1670";"1791";"547";"1123";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1123";"0";"0";"1123";"54";"10";"44";"0";"1069";"658";"411"
"991f-c1ff-45c1-c7d6-aaeb-ef51-be76-9f4c";"320402";"98";"5";"miasto";"stały";"Klub Centrum Animacji Młodzieży, ul. Jana Matejki 3C, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1173";"1275";"307";"866";"1";"6";"0";"0";"0";"0";"0";"0";"0";"866";"0";"0";"866";"42";"16";"26";"0";"824";"555";"269"
"5985-1d10-b76a-ecc2-e25e-3c64-5daa-61cf";"320402";"98";"6";"miasto";"stały";"Goleniowski Dom Kultury, ul. Juliusza Słowackiego 1, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"996";"1097";"388";"608";"2";"5";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"24";"6";"18";"0";"583";"332";"251"
"6cdc-dc60-91f7-11ac-715b-552d-cb0d-3092";"320402";"98";"7";"miasto";"stały";"Zespół Szkół nr 1, ul. Niepodległości 1, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1520";"1707";"454";"1066";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1066";"0";"0";"1066";"31";"8";"23";"0";"1035";"682";"353"
"8632-a0fb-44bc-f74d-8d8a-95f5-e6bf-85d7";"320402";"98";"8";"miasto";"stały";"Przedszkole Publiczne Nr 4, ul. Króla Władysława Jagiełły 12, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1600";"1798";"564";"1036";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1035";"0";"0";"1035";"34";"4";"30";"0";"1001";"621";"380"
"1093-a191-7511-86c6-b880-7fed-886d-01d3";"320402";"98";"9";"miasto";"stały";"Goleniowskie Towarzystwo Budownictwa Społecznego, ul. Wincentego Witosa 7, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1620";"1772";"565";"1055";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1055";"0";"0";"1055";"52";"11";"41";"0";"1003";"611";"392"
"9efb-95a3-c09c-ed89-2ba6-3f24-8727-12d6";"320402";"98";"10";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Szarych Szeregów 14, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1155";"1272";"330";"825";"0";"8";"0";"0";"0";"0";"0";"0";"0";"825";"0";"0";"825";"41";"20";"21";"0";"784";"531";"253"
