"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Marcin Piotr KIERWIŃSKI - nr na liście 1";"Elżbieta Teresa GAPIŃSKA - nr na liście 2";"Beata Małgorzata RUSINOWSKA - nr na liście 3";"Adam KRZEMIŃSKI - nr na liście 4";"Agnieszka KORAJCZYK-SZYPERSKA - nr na liście 5";"Dariusz ZIELSKI - nr na liście 6";"Marcin BACZEWSKI - nr na liście 7";"Arkadiusz GMURCZYK - nr na liście 8";"Małgorzata Zofia RZEPLIŃSKA - nr na liście 9";"Rafał CIESIELSKI - nr na liście 10";"Kinga LEGIĘĆ-DOROBA - nr na liście 11";"Rafał Mariusz WOŹNOWSKI - nr na liście 12";"Katarzyna Joanna KWARCIŃSKA-KULIS - nr na liście 13";"Urszula Henryka PAWLAK - nr na liście 14";"Wiktor ONISZK - nr na liście 15";"Paulina Ada ADAMIAK - nr na liście 16";"Marcin Hubert PIOTROWSKI - nr na liście 17";"Mariusz POGONOWSKI - nr na liście 18";"Stanisław Władysław PIETRASZEK - nr na liście 19";"Wiesław Mariusz RABOSZUK - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Paweł USIĄDEK - nr na liście 1";"Dorota SMOSARSKA - nr na liście 2";"Grzegorz CIECHANOWSKI - nr na liście 3";"Tomasz Józef STELMACH - nr na liście 4";"Krzysztof SĘKOWSKI - nr na liście 5";"Paweł Janusz RZECZKOWSKI - nr na liście 6";"Katarzyna SZADKOWSKA - nr na liście 7";"Mirosława FLORYSIAK - nr na liście 8";"Beata Irena SZYDŁOWSKA - nr na liście 9";"Bartosz ZADROŻNY - nr na liście 10";"Agnieszka DŁUTOWSKA - nr na liście 11";"Adrian Paweł ZAGÓRSKI - nr na liście 12";"Marek Janusz MAKARA - nr na liście 13";"Monika Danuta BARTOSEWICZ - nr na liście 14";"Joanna Ewa GROTKOWSKA-PUŚCIKOWSKA - nr na liście 15";"Krzysztof Kazimierz SPALIŃSKI - nr na liście 16";"Anna DŁUTOWSKA - nr na liście 17";"Anna Ewa ADAMSKA - nr na liście 18";"Krzysztof Franciszek KOWALSKI - nr na liście 19";"Jerzy WAŁKUSKI - nr na liście 20";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Piotr ZGORZELSKI - nr na liście 1";"Mirosław Adam ORLIŃSKI - nr na liście 2";"Konrad WOJNAROWSKI - nr na liście 3";"Zenon SZCZEPANKOWSKI - nr na liście 4";"Maria Bożena WRÓBLEWSKA - nr na liście 5";"Jerzy RZYMOWSKI - nr na liście 6";"Iwona SIEROCKA - nr na liście 7";"Łukasz LEWANDOWSKI - nr na liście 8";"Jacek RYZIŃSKI - nr na liście 9";"Michał SOSNOWSKI - nr na liście 10";"Wojciech SZUSTAKIEWICZ - nr na liście 11";"Katarzyna DURCZAK KUŹMIŃSKA - nr na liście 12";"Anna DERLUKIEWICZ - nr na liście 13";"Karolina Agnieszka KOPER - nr na liście 14";"Piotr Łukasz RZESZOTARSKI - nr na liście 15";"Nina MIRGOS-KILANOWSKA - nr na liście 16";"Agata Ewa SOSIŃSKA-OSIECKA - nr na liście 17";"Elżbieta Urszula APTEWICZ - nr na liście 18";"Anna SMOLIŃSKA - nr na liście 19";"Tomasz KOMINEK - nr na liście 20";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Łukasz Jan SZUMOWSKI - nr na liście 1";"Maciej MAŁECKI - nr na liście 2";"Maciej Roman WĄSIK - nr na liście 3";"Marek OPIOŁA - nr na liście 4";"Anna Ewa CICHOLSKA - nr na liście 5";"Waldemar Ryszard OLEJNICZAK - nr na liście 6";"Robert Jerzy KOŁAKOWSKI - nr na liście 7";"Rafał ROMANOWSKI - nr na liście 8";"Jacek Dawid OZDOBA - nr na liście 9";"Krzysztof BIEŃKOWSKI - nr na liście 10";"Maria Bożena GAJEWSKA - nr na liście 11";"Marlena MAZURSKA - nr na liście 12";"Marek KIEŁBIŃSKI - nr na liście 13";"Wioletta Maria KULPA - nr na liście 14";"Ewa Anna LEŚNIEWSKA - nr na liście 15";"Łukasz CHOIŃSKI - nr na liście 16";"Beata Katarzyna MARZĘDA-PRZYBYSZ - nr na liście 17";"Elżbieta KUŹNIEWSKA - nr na liście 18";"Jolanta KARPIŃSKA - nr na liście 19";"Waldemar Paweł HUMIĘCKI - nr na liście 20";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Arkadiusz IWANIAK - nr na liście 1";"Adrian BRUDNICKI - nr na liście 2";"Zbigniew AUGUSTYŃSKI - nr na liście 3";"Małgorzata LINOWSKA - nr na liście 4";"Krzysztof KWASIBORSKI - nr na liście 5";"Janina Franciszka ANTOSZKIEWICZ - nr na liście 6";"Piotr Julian KANIEWSKI - nr na liście 7";"Dariusz ŁUCZAK - nr na liście 8";"Renata JASIŃSKA - nr na liście 9";"Eugeniusz Jan NOWAK - nr na liście 10";"Renata Małgorzata GŁUSKOWSKA - nr na liście 11";"Anna WELENC - nr na liście 12";"Olga GÓRECKA - nr na liście 13";"Sebastian ANDRZEJCZAK - nr na liście 14";"Mateusz DOBROWOLSKI - nr na liście 15";"Wioletta KUJAWA - nr na liście 16";"Zbigniew KRÓLIKOWSKI - nr na liście 17";"Jerzy Wojciech PIÓROWICZ - nr na liście 18";"Jan STANISZEWSKI - nr na liście 19";"Marek KIWIT - nr na liście 20";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Paweł KŁOBUKOWSKI - nr na liście 1";"Marek GĄSIOROWSKI - nr na liście 2";"Izabela JAKUBOWSKA - nr na liście 3";"Andrzej Mikołaj KUŚMIREK - nr na liście 4";"Mariusz DŁUGOŁĘCKI - nr na liście 5";"Paweł Antoni KOSSECKI - nr na liście 6";"Żaneta DĄBROWSKA - nr na liście 7";"Artur PIETRUS - nr na liście 8";"Monika KUBIAK - nr na liście 9";"Daniel LUBOWIEDZKI - nr na liście 10";"Przemysław Piotr KOZIŃSKI - nr na liście 11";"Elżbieta LEŃSKA - nr na liście 12";"Mateusz WIŚNIEWSKI - nr na liście 13";"Arleta Agnieszka BILIŃSKA - nr na liście 14";"Krystyna Barbara KACPERCZYK - nr na liście 15";"Dorota NASIEROWSKA - nr na liście 16";"Robert ZALIKHOV - nr na liście 17";"Kinga PAPIEROWSKA - nr na liście 18";"Tomasz LATARSKI - nr na liście 19";"Artur JANKOWSKI - nr na liście 20";"Liczba obwodów"
"140200";"ciechanowski";"mazowieckie";64852;71087;24012;40840;45;163;2;2;0;0;0;0;2;40839;2;0;40839;585;359;226;0;40254;6417;2957;234;79;2441;47;35;35;32;319;32;17;23;29;26;9;44;13;5;7;33;2059;896;152;295;53;197;124;57;18;17;65;18;21;21;18;15;10;11;21;21;29;5769;1170;216;413;126;146;28;57;1518;160;51;14;19;31;26;13;7;33;23;1668;50;21835;3115;503;2532;267;4229;179;3750;3936;1577;364;114;74;52;30;125;34;24;68;147;715;3586;1058;174;129;201;137;23;112;40;107;220;20;48;101;116;40;50;13;16;7;974;588;79;72;131;12;47;10;29;24;20;19;9;15;18;15;7;30;2;10;1;38;57
"140400";"gostyniński";"mazowieckie";33543;36566;13080;20463;37;87;2;2;0;0;0;0;2;20464;2;0;20464;342;197;145;0;20122;3443;1299;244;26;34;1607;19;14;47;17;18;3;6;8;20;11;11;10;25;5;19;1014;512;37;70;77;37;17;48;11;30;30;16;37;11;11;4;5;4;15;18;24;2532;968;148;61;24;826;16;86;69;6;60;6;16;23;47;8;6;12;6;33;111;11199;2890;1802;496;1269;370;294;74;621;1496;127;924;183;46;177;150;37;24;53;91;75;1727;667;247;69;107;48;14;27;61;67;12;11;21;43;9;30;37;213;5;8;31;207;58;8;18;2;5;4;15;3;15;2;7;12;9;9;3;4;4;9;3;17;49
"141300";"mławski";"mazowieckie";52085;57065;20860;31224;37;170;2;2;0;0;0;0;2;31221;2;1;31220;519;344;175;0;30701;4266;2986;226;118;179;45;37;34;28;85;324;23;17;27;21;13;46;18;5;9;25;1870;829;107;154;50;60;47;54;21;35;63;24;24;19;24;10;5;21;27;25;271;4345;672;34;3010;62;49;35;24;79;14;20;7;15;18;18;14;10;19;105;93;47;17347;2818;957;620;601;2566;547;437;1159;1025;236;129;85;1839;40;122;33;22;59;3467;585;2347;1073;127;66;168;58;25;76;46;69;23;11;122;66;14;38;216;19;10;24;96;526;99;14;72;8;32;11;22;17;45;56;4;9;22;12;7;12;12;19;4;49;53
"141900";"płocki";"mazowieckie";79600;87786;30544;49055;84;204;1;1;0;0;0;0;1;49055;1;0;49055;915;560;355;0;48140;5600;2364;1617;75;62;139;46;39;326;34;28;6;9;57;25;97;34;237;370;9;26;2387;1173;151;135;261;83;62;78;21;28;75;41;36;23;26;16;8;19;30;68;53;8733;5445;291;70;29;145;17;911;72;24;296;24;21;197;552;39;6;27;12;46;509;27340;6883;3596;1539;3707;888;738;198;665;3832;382;314;1389;72;2314;161;43;57;155;218;189;3427;1818;352;90;232;171;111;31;39;131;12;24;71;101;22;22;63;23;12;51;51;653;276;34;65;8;11;10;26;11;36;7;15;20;11;10;1;7;10;12;37;46;110
"142000";"płoński";"mazowieckie";63096;69514;26313;36779;46;208;4;4;0;0;0;0;4;36781;4;0;36781;696;430;266;0;36085;5306;3608;367;153;245;85;72;71;121;104;75;27;12;38;45;12;115;43;32;22;59;1772;721;96;125;109;97;42;67;18;25;246;28;31;21;11;13;9;14;31;45;23;4905;1558;201;142;51;148;51;69;170;1578;56;22;34;23;112;29;14;464;15;103;65;20254;3479;1569;6510;1251;1095;315;486;1150;2740;218;215;105;65;138;138;35;56;302;210;177;3106;987;177;92;175;70;95;952;40;85;21;36;54;91;17;41;52;23;8;22;68;742;210;41;52;14;28;16;40;17;37;12;12;15;14;54;7;16;8;14;9;126;76
"142200";"przasnyski";"mazowieckie";37600;41166;15141;22459;33;98;0;0;0;0;0;0;0;22457;0;0;22457;279;169;110;0;22178;1830;1307;114;61;104;28;25;17;11;36;22;12;2;11;6;2;30;13;9;2;18;1113;523;68;105;59;59;22;31;13;18;49;22;18;11;15;40;8;11;11;15;15;4447;277;33;95;3725;76;7;20;49;7;22;5;11;16;17;4;5;7;2;48;21;13248;1867;426;624;81;1180;113;382;1244;782;5724;62;51;24;21;78;25;18;20;57;469;1267;721;69;51;111;27;16;19;11;49;19;6;16;44;5;17;27;20;3;12;24;273;65;14;28;10;25;4;16;8;23;12;6;6;7;3;2;3;5;5;6;25;61
"142700";"sierpecki";"mazowieckie";37570;41203;15778;21792;55;90;0;0;0;0;0;0;0;21790;0;2;21788;340;228;112;0;21448;2578;1288;274;35;46;28;24;720;29;22;12;4;3;14;21;9;13;7;19;2;8;938;460;54;54;99;46;40;30;5;10;26;15;18;16;12;2;2;6;14;17;12;3409;1464;66;49;25;40;33;35;44;16;39;8;8;16;30;1418;4;8;9;33;64;12512;1973;404;188;1792;281;5422;58;195;1426;144;82;109;25;126;80;14;11;65;65;52;1752;982;159;22;87;35;24;17;14;40;13;175;30;35;14;21;32;11;6;11;24;259;43;95;15;5;8;6;18;3;9;3;2;9;3;4;0;4;5;6;5;16;52
"142800";"sochaczewski";"mazowieckie";59941;65666;19160;40777;51;195;2;2;0;0;0;0;2;40780;2;0;40780;518;340;178;0;40262;5681;3838;400;201;150;66;485;35;49;57;54;28;11;37;133;6;55;23;14;8;31;2369;1166;166;139;182;79;53;98;19;42;100;45;40;30;36;13;17;13;34;39;58;8056;416;7129;39;16;60;17;40;38;10;26;17;87;22;32;8;7;16;11;36;29;20352;1276;16859;109;84;176;129;74;110;889;67;104;54;33;50;68;43;32;32;89;74;3039;1407;293;129;278;66;35;122;57;96;15;40;53;137;21;94;93;35;11;13;44;765;123;28;50;319;14;9;29;10;52;8;4;5;18;11;1;7;5;47;2;23;65
"143700";"żuromiński";"mazowieckie";28487;31093;11765;16722;34;81;1;1;0;0;0;0;1;16723;1;0;16723;300;189;111;0;16423;1744;891;154;37;47;23;29;18;10;28;29;6;325;6;18;4;11;12;14;72;10;635;282;33;53;36;35;25;28;3;12;17;7;23;7;4;5;1;12;11;5;36;3139;755;33;195;16;29;1870;28;40;25;12;3;6;9;10;63;2;4;4;17;18;9410;1512;348;879;534;1114;2080;104;430;1068;52;73;44;18;17;869;24;8;23;110;103;1329;875;71;33;70;15;11;11;25;29;7;9;68;29;7;5;18;11;4;7;24;166;47;8;13;4;8;4;14;3;12;8;2;9;4;3;2;1;1;4;1;18;29
"143800";"żyrardowski";"mazowieckie";52673;58157;16194;36479;40;232;2;2;0;0;0;0;2;36478;2;0;36478;456;287;169;0;36022;8420;3475;260;3816;96;59;46;35;61;79;71;106;13;44;76;14;78;31;10;16;34;2263;1082;148;184;135;68;55;93;17;50;64;43;29;48;33;16;40;32;40;26;60;3682;811;577;93;35;102;28;76;116;17;37;1272;39;37;47;14;145;45;16;94;81;16923;4219;5371;267;142;614;200;118;177;1246;159;209;125;47;36;170;2164;1367;56;112;124;3867;1272;287;121;971;75;42;76;191;209;32;33;52;170;26;86;81;45;12;22;64;867;133;35;82;20;17;20;36;152;154;7;20;28;34;9;7;10;13;12;3;75;62
"146200";"Płock";"mazowieckie";85096;92579;25666;59428;54;357;7;5;0;0;0;0;5;59412;5;0;59412;486;285;201;0;58926;17144;6000;7015;150;104;168;54;54;1196;75;34;19;10;189;43;167;53;70;1697;9;37;2985;1455;161;136;428;82;68;116;20;41;99;36;42;32;24;14;14;18;49;92;58;7210;3239;98;75;28;143;25;207;63;9;927;13;30;798;115;55;10;28;12;40;1295;23951;5766;2251;516;4383;620;310;275;218;1792;178;174;207;58;6538;120;34;41;136;162;172;7001;4238;853;281;446;177;44;62;50;191;29;32;133;121;18;64;103;41;20;28;70;635;156;41;62;13;10;14;36;11;32;13;27;31;15;7;7;13;10;29;49;59;70
