"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Kamila GASIUK-PIHOWICZ - nr na liście 1";"Czesław MROCZEK - nr na liście 2";"Krzysztof Andrzej CHABERSKI - nr na liście 3";"Mariusz Piotr POPIELARZ - nr na liście 4";"Jarosław GRENDA - nr na liście 5";"Zbigniew KAMIŃSKI - nr na liście 6";"Alicja Emilia CICHOŃ - nr na liście 7";"Wiesław Andrzej KALICKI - nr na liście 8";"Daniel Rafał RYJEWSKI - nr na liście 9";"Dariusz Leon ŻOCHOWSKI - nr na liście 10";"Ryszard DZIADAK - nr na liście 11";"Grzegorz Stefan KOBYLIŃSKI - nr na liście 12";"Bożena SAWICKA - nr na liście 13";"Robert SOBIECH - nr na liście 14";"Klaudia PRUSACZYK - nr na liście 15";"Bartosz Kamil TRUSZKOWSKI - nr na liście 16";"Mateusz OBŁUDKA - nr na liście 17";"Agnieszka Joanna WNOROWSKA - nr na liście 18";"Maciej Mirosław WÓJCIK - nr na liście 19";"Dorota JASTRZĘBSKA - nr na liście 20";"Katarzyna FALKOWSKA - nr na liście 21";"Emilia KOZIOŁ - nr na liście 22";"Marta KAWKA - nr na liście 23";"Sybilla Stanisława DANILUK - nr na liście 24";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"Adam Adolf BEDNARCZYK - nr na liście 1";"Arkadiusz Kazimierz CZAK - nr na liście 2";"Janusz Adam JAREMKO - nr na liście 3";"Zbigniew Marian KILUK - nr na liście 4";"Ewa Helena STOLARZ - nr na liście 5";"Katarzyna Lidia SZAŁAŃSKA - nr na liście 6";"Joanna FIAŁKOWSKA - nr na liście 7";"Daniela Feliksa PACHNICKA - nr na liście 8";"Anna MACION - nr na liście 9";"Małgorzata Maria PIEKUT - nr na liście 10";"Robert Jan FABIANOWICZ - nr na liście 11";"Artur TETKOWSKI - nr na liście 12";"Zbigniew SMULEWICZ - nr na liście 13";"Andrzej FABIANOWICZ - nr na liście 14";"Krystyna Elżbieta TRYBUŁA - nr na liście 15";"Aleksandra Tatiana SZADZIEWSKA - nr na liście 16";"Genowefa GALAS - nr na liście 17";"Anna Maria PIEKARSKA - nr na liście 18";"Łukasz Bogumił KORWIN - nr na liście 19";"Sebastian WYRZYKOWSKI - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Krzysztof TOŁWIŃSKI - nr na liście 1";"Jakub GĄGOL - nr na liście 2";"Dariusz Piotr PASTOR - nr na liście 3";"Edyta RADZIKOWSKA - nr na liście 4";"Krzysztof MULAWA - nr na liście 5";"Roman Ryszard SKŁADANOWSKI - nr na liście 6";"Anna KRUPIŃSKA - nr na liście 7";"Ewa DŁUSKA-REDES - nr na liście 8";"Paweł Wojciech WIĘCKOWSKI - nr na liście 9";"Izabela REDUCH - nr na liście 10";"Rafał Piotr WIELĄDEK - nr na liście 11";"Mariusz WOŹNIAK - nr na liście 12";"Marek JASIŃSKI - nr na liście 13";"Hanna SOCHARSKA - nr na liście 14";"Ada KASJANIUK - nr na liście 15";"Paweł BALA - nr na liście 16";"Anna USIĄDEK - nr na liście 17";"Grzegorz IGNACIUK - nr na liście 18";"Maria TOBIASZ - nr na liście 19";"Marcin Daniel KRASSOWSKI - nr na liście 20";"Bartłomiej Beniamin BRYK - nr na liście 21";"Jakub Andrzej ŻMUDZIŃSKI - nr na liście 22";"Michał HARASIM - nr na liście 23";"Beata Edyta JOŃCZYK - nr na liście 24";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Marek Wacław SAWICKI - nr na liście 1";"Krzysztof Wawrzyniec BORKOWSKI - nr na liście 2";"Beata JÓŹWIAK - nr na liście 3";"Rafał Józef KOWALCZYK - nr na liście 4";"Dariusz Zbigniew STOPA - nr na liście 5";"Paweł Rafał NATKOWSKI - nr na liście 6";"Marian KRUPIŃSKI - nr na liście 7";"Stanisław JASTRZĘBSKI - nr na liście 8";"Marek CHCIAŁOWSKI - nr na liście 9";"Bartłomiej Jarosław BODIO - nr na liście 10";"Anna TARKOWSKA - nr na liście 11";"Dorota CZYŻ - nr na liście 12";"Mariusz KOZERA - nr na liście 13";"Justyna ZEMBROWSKA - nr na liście 14";"Lidia SOPEL-SEREJA - nr na liście 15";"Kamil NALEWKA - nr na liście 16";"Marcin ZAWISTOWSKI - nr na liście 17";"Ewa SZURNICKA - nr na liście 18";"Beata Marta KACZYŃSKA - nr na liście 19";"Krystian KANIA - nr na liście 20";"Magdalena Maria SAŁATA - nr na liście 21";"Cezary KOŁODZIEJSKI - nr na liście 22";"Hanna Bożenna KELLEHER - nr na liście 23";"Michał POSTEK - nr na liście 24";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Krzysztof Józef TCHÓRZEWSKI - nr na liście 1";"Henryk KOWALCZYK - nr na liście 2";"Arkadiusz CZARTORYSKI - nr na liście 3";"Marek Tadeusz ZAGÓRSKI - nr na liście 4";"Teresa Anna WARGOCKA - nr na liście 5";"Grzegorz Adam WOŹNIAK - nr na liście 6";"Anna Maria SIARKOWSKA - nr na liście 7";"Maciej GÓRSKI - nr na liście 8";"Dorota SKRZYPEK - nr na liście 9";"Jerzy ŻUKOWSKI - nr na liście 10";"Bartosz PAWELCZYK - nr na liście 11";"Marek Łukasz GROMADZKI - nr na liście 12";"Bartłomiej KURKUS - nr na liście 13";"Iwona Teresa KUROWSKA - nr na liście 14";"Bartłomiej Tomasz PIEŃKOWSKI - nr na liście 15";"Barbara ROGALSKA - nr na liście 16";"Grzegorz MAKOWIECKI - nr na liście 17";"Anna KASZUBA - nr na liście 18";"Anna Agnieszka ŚNIADACH - nr na liście 19";"Ewa Grażyna RUNO - nr na liście 20";"Zygmunt Czesław ŻYLUK - nr na liście 21";"Urszula Maria HAWRYLUK - nr na liście 22";"Agnieszka GAŚ - nr na liście 23";"Daniel George MILEWSKI - nr na liście 24";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Dorota Zofia OLKO - nr na liście 1";"Anna PIASECKA - nr na liście 2";"Maria Magdalena PARZYCHOWSKA-KURPIEWSKA - nr na liście 3";"Michał Aleksander SKRZYNIARZ - nr na liście 4";"Tomasz Robert KARDACZ - nr na liście 5";"Jacek Piotr KUŹNIARSKI - nr na liście 6";"Izabela Aldona TRZPIL - nr na liście 7";"Beata ZYGMUNT - nr na liście 8";"Radosław KOMOR - nr na liście 9";"Maciej KARWOWSKI - nr na liście 10";"Maria Aleksandra PAWLAK - nr na liście 11";"Maciej Tadeusz PRANDOTA - nr na liście 12";"Krzysztof GROCHOWSKI - nr na liście 13";"Tomasz Sebastian OLEKSY - nr na liście 14";"Grzegorz LIS - nr na liście 15";"Justyna Helena KASPAREK - nr na liście 16";"Małgorzata Joanna ADAMCZYK - nr na liście 17";"Rafał CHOJECKI - nr na liście 18";"Małgorzata Olga WOJTOWICZ - nr na liście 19";"Marta GASTOŁ - nr na liście 20";"Tomasz Andrzej PNIEWSKI - nr na liście 21";"Delfina Maria HASZCZYŃSKA - nr na liście 22";"Grzegorz GUZ - nr na liście 23";"Henryk Krzysztof KRASUCKI - nr na liście 24";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marek Aleksander CZARNECKI - nr na liście 1";"Urszula Elżbieta KOWALCZYK - nr na liście 2";"Krzysztof GAJOWNICZEK - nr na liście 3";"Rafał Radosław STARZYŃSKI - nr na liście 4";"Justyna Joanna KĘPA - nr na liście 5";"Mariusz LENDA - nr na liście 6";"Adam BODZAN - nr na liście 7";"Ewa SZYDŁOWSKA - nr na liście 8";"Alfred Franciszek ROBAK - nr na liście 9";"Dominik CZARNOCKI - nr na liście 10";"Urszula DEPTUŁA - nr na liście 11";"Kamil PIÓRKOWSKI - nr na liście 12";"Mirosław BUJALSKI - nr na liście 13";"Marianna GÓRSKA - nr na liście 14";"Grzegorz Stanisław MARCHEWKA - nr na liście 15";"Marzena PRZEŹDZIECKA - nr na liście 16";"Jarosław Krzysztof ZYŚK - nr na liście 17";"Dariusz Paweł KISIELIŃSKI - nr na liście 18";"Ewa WYSMUŁEK - nr na liście 19";"Andrzej Paweł RYŚ - nr na liście 20";"Paulina Beata ROBAK - nr na liście 21";"Szymon RYTEL - nr na liście 22";"Małgorzata Halina GOŁACKA - nr na liście 23";"Andrzej Zbigniew NASTAŁA - nr na liście 24";"Liczba obwodów"
"140300";"garwoliński";"mazowieckie";76756;84683;23559;53196;58;238;0;0;0;0;0;0;0;53191;0;0;53191;673;399;274;0;52518;5154;3644;468;57;48;64;78;158;32;35;126;12;15;110;47;18;16;10;8;27;34;19;41;42;45;159;46;9;4;8;9;14;10;2;10;5;2;1;3;2;0;1;8;6;8;11;2944;1208;138;101;117;170;31;153;29;83;50;36;162;81;18;24;37;20;31;208;20;17;27;41;142;5799;1434;522;139;100;34;35;31;18;2401;19;40;43;28;24;438;43;14;8;28;220;100;17;9;54;35286;3571;5441;350;251;364;17351;494;252;194;175;65;94;93;3984;54;109;66;95;31;33;25;49;190;1955;2351;1058;313;175;35;34;55;98;38;18;55;50;17;29;88;71;16;41;31;19;18;7;29;15;41;825;116;50;29;261;27;9;7;30;9;7;13;9;6;24;23;13;5;2;5;10;10;11;6;143;102
"141000";"łosicki";"mazowieckie";22912;25004;8488;14423;20;123;2;2;1;0;0;0;1;14425;1;0;14425;187;110;77;0;14238;924;679;44;12;4;7;17;18;7;8;2;0;13;6;3;5;4;1;1;3;4;2;7;4;73;41;12;0;0;2;6;0;1;1;3;3;0;1;0;0;1;1;0;2;5;3;1004;412;41;23;51;17;6;28;7;16;19;9;27;13;5;18;8;4;243;7;5;2;5;16;22;1859;900;564;55;22;43;6;12;8;4;4;110;16;12;0;1;19;4;6;12;5;21;6;6;23;9476;3980;885;102;109;80;54;241;87;64;31;19;2175;52;27;18;29;17;38;8;16;39;68;46;1291;735;238;60;34;12;257;6;4;15;4;12;8;2;3;21;7;5;8;8;3;4;2;3;6;13;199;33;11;7;0;3;2;1;110;2;2;2;4;1;4;1;3;2;0;0;4;1;1;2;3;33
"141100";"makowski";"mazowieckie";32901;36287;12558;20344;35;159;0;0;0;0;0;0;0;20343;0;0;20343;299;193;106;0;20044;1935;1019;53;14;171;6;26;36;10;7;4;319;14;19;4;8;4;177;5;2;13;6;5;6;7;61;25;2;1;1;6;0;2;2;3;4;0;1;0;1;0;1;2;2;5;3;1154;477;48;44;71;46;15;53;9;26;15;13;32;45;7;12;24;16;4;4;116;14;23;13;27;2992;803;92;145;130;50;15;75;26;6;5;19;17;8;12;7;21;5;4;22;9;10;1486;3;22;12530;1185;5386;1883;252;84;92;175;108;85;38;104;58;34;55;38;1873;68;62;19;15;7;9;58;842;1243;304;128;243;16;19;15;5;288;21;19;17;4;17;19;18;9;18;10;6;8;5;7;3;44;129;29;13;4;1;7;2;3;10;2;2;20;3;1;5;0;5;2;0;3;2;2;0;2;11;49
"141200";"miński";"mazowieckie";106892;118439;28498;78393;57;466;5;5;0;0;0;0;5;78389;5;2;78387;823;452;371;0;77564;19134;7319;8945;109;59;76;154;1159;79;119;113;33;49;182;70;82;52;25;41;50;80;55;92;101;90;306;68;10;12;4;20;19;27;10;9;22;1;6;6;2;4;3;18;15;20;30;5610;1874;863;142;294;328;51;228;55;129;349;156;257;109;51;45;124;52;46;56;47;46;39;93;176;6316;2466;783;282;131;233;61;73;71;39;30;141;170;637;65;36;608;50;47;47;52;94;34;33;133;38948;5412;1940;610;1875;8467;332;1097;440;266;127;88;76;165;177;120;175;116;197;59;70;51;419;270;16399;6295;2836;1013;448;240;64;127;106;109;49;160;119;77;69;114;115;36;133;103;61;69;56;49;32;110;955;229;107;97;23;39;8;20;50;19;20;35;25;24;41;34;8;6;11;15;25;27;15;33;44;105
"141500";"ostrołęcki";"mazowieckie";63458;69921;25713;37745;60;152;0;0;0;0;0;0;0;37744;0;0;37744;612;366;246;0;37132;3052;1553;119;31;809;15;64;69;13;14;5;15;5;43;108;34;53;8;14;10;16;12;11;17;14;92;26;7;8;5;4;3;10;2;2;3;3;1;0;1;1;1;3;1;5;6;2295;955;92;49;102;91;26;121;27;66;27;21;68;40;12;12;24;21;15;18;74;11;325;30;68;4643;1772;112;133;489;29;123;555;194;20;18;47;156;18;28;11;75;17;364;294;29;32;85;6;36;24737;2469;4800;9670;461;220;201;401;220;222;98;1165;99;102;122;96;177;181;90;1824;45;20;22;130;1902;1875;420;150;785;20;24;28;27;34;42;28;28;9;23;30;91;9;21;16;16;20;5;12;11;26;438;84;35;11;18;39;36;3;17;4;6;30;8;2;13;5;53;16;0;18;6;10;2;6;16;90
"141600";"ostrowski";"mazowieckie";53435;58031;19735;33702;83;172;0;0;0;0;0;0;0;33702;0;2;33700;387;240;147;0;33313;4138;1730;73;80;21;22;2003;37;11;10;10;7;5;23;8;16;15;2;5;3;17;12;8;11;9;83;24;2;5;2;7;6;5;1;6;2;1;2;2;0;2;2;1;3;7;3;1737;779;143;72;84;92;36;100;21;48;24;21;38;51;10;23;30;9;11;27;25;12;11;38;32;4390;830;85;58;2378;15;27;214;68;12;4;21;27;15;12;5;38;469;8;25;18;8;18;6;29;21073;2195;7239;1499;2863;158;149;234;219;142;161;98;79;77;64;3203;151;73;211;31;128;36;35;830;1198;1712;508;196;553;33;11;37;12;36;40;17;33;7;20;40;24;11;25;16;13;15;7;19;11;28;180;42;23;7;4;13;4;4;8;4;3;10;8;2;2;9;13;0;3;3;3;3;1;2;9;74
"142400";"pułtuski";"mazowieckie";37303;40997;13106;24197;48;126;2;1;0;0;0;0;1;24196;1;1;24195;343;217;126;0;23852;2199;1654;88;25;27;14;42;45;17;23;10;17;4;35;11;5;18;13;82;7;12;11;17;12;10;78;18;3;5;3;5;3;5;1;5;3;1;1;1;0;0;1;5;6;3;9;1268;544;71;42;51;32;11;39;9;25;15;19;41;66;107;7;38;4;10;11;7;19;6;12;82;5151;655;60;3886;141;16;17;23;40;9;23;26;43;12;6;7;30;4;7;21;9;10;69;5;32;13463;585;11549;215;101;51;65;139;47;77;89;21;12;24;36;16;44;18;41;6;21;3;15;47;241;1537;476;152;140;22;19;24;14;17;10;33;18;7;15;20;23;5;20;16;12;10;11;4;11;458;156;44;14;3;8;7;4;3;12;1;4;9;1;2;5;8;1;2;4;1;1;3;2;5;12;51
"142600";"siedlecki";"mazowieckie";58287;64369;18823;39464;30;211;2;2;0;0;0;0;2;39465;2;1;39464;525;299;226;0;38939;2496;1765;160;239;7;15;18;41;77;19;7;3;13;39;6;13;8;2;5;7;9;6;10;10;17;81;31;0;1;1;6;3;7;3;4;5;0;1;1;1;1;0;1;3;6;6;2618;1127;76;105;271;175;25;120;150;53;41;29;41;43;14;22;51;15;70;15;19;26;22;52;56;4751;1490;1512;87;66;1086;18;14;24;8;5;50;49;27;32;6;26;21;16;30;12;105;7;11;49;26985;17220;1453;379;538;321;192;1236;194;178;106;48;193;1172;119;72;93;56;105;30;38;375;86;174;2607;1692;750;228;34;18;36;253;23;23;9;72;22;6;16;43;13;6;12;41;16;16;7;6;7;35;316;49;26;82;8;6;1;4;9;3;9;6;19;8;5;4;6;3;14;0;24;6;4;11;9;68
"142900";"sokołowski";"mazowieckie";40476;43980;13187;27289;54;162;3;3;0;0;0;0;3;27289;3;0;27289;387;193;194;0;26902;2494;1613;87;62;4;35;28;29;14;12;11;10;442;34;5;7;6;4;6;4;37;8;6;8;22;81;28;2;3;1;3;3;4;2;4;3;2;0;3;2;1;1;2;4;3;10;1534;691;60;65;69;50;24;80;14;105;19;28;55;21;4;11;82;10;31;8;17;13;4;35;38;4093;3478;250;65;33;10;11;9;12;7;7;15;32;9;28;4;12;15;6;12;4;25;7;4;38;17004;6468;1486;263;564;125;161;603;260;537;102;39;56;86;64;43;39;104;274;19;25;2351;65;100;3170;1386;586;123;111;20;10;10;280;18;9;25;13;3;15;35;27;1;19;8;9;6;12;6;7;33;310;53;139;13;5;11;1;2;11;2;11;3;8;3;5;7;3;2;3;2;5;4;1;8;8;49
"143300";"węgrowski";"mazowieckie";47807;52869;16021;31766;44;203;1;1;0;0;0;0;1;31767;1;3;31764;526;280;246;0;31238;4234;2164;275;31;19;1264;45;53;19;15;20;10;21;69;13;12;14;7;8;14;24;20;82;22;13;99;28;4;3;4;8;8;5;3;5;3;1;0;1;3;1;0;3;7;6;6;1961;731;80;50;63;84;19;69;22;53;32;87;64;31;12;14;381;12;23;13;11;18;13;39;40;3376;1788;427;91;73;23;12;21;29;8;10;31;35;19;11;16;21;16;14;18;20;25;10;131;527;19658;4457;2722;541;818;295;141;271;3019;255;72;48;65;80;98;57;108;69;2451;21;70;27;115;137;3721;1609;737;233;118;22;19;32;38;44;13;34;33;11;21;44;32;6;26;30;12;33;7;12;15;37;301;75;37;22;3;18;3;13;18;10;4;9;10;4;9;5;2;14;1;2;5;8;6;3;20;57
"143500";"wyszkowski";"mazowieckie";52562;58033;17375;35185;60;227;0;0;0;0;0;0;0;35185;0;0;35185;544;339;205;0;34641;4325;3197;131;38;58;32;92;79;22;30;41;19;5;99;21;23;10;8;16;243;71;11;32;22;25;115;31;8;2;4;7;3;9;3;6;5;0;4;1;0;2;3;3;5;4;15;2514;750;81;51;83;57;222;79;12;37;38;33;64;55;15;107;68;25;21;17;15;347;18;37;282;4912;1053;79;230;139;11;12;77;2750;14;119;34;66;20;16;17;36;26;15;35;30;25;20;8;80;20298;2066;6149;883;870;329;185;205;177;175;3441;76;42;56;120;77;117;92;127;31;2109;19;36;126;2790;2108;781;262;184;54;29;32;19;43;317;25;47;7;27;35;35;12;44;20;18;27;10;22;14;44;369;65;23;12;7;18;9;110;13;5;5;15;9;5;3;9;2;15;2;3;8;7;9;3;12;64
