"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Maria Małgorzata JANYSKA - nr na liście 1";"Jakub Adam RUTNICKI - nr na liście 2";"Iwona Maria KAMIŃSKA-LECH - nr na liście 3";"Zbigniew Czesław AJCHLER - nr na liście 4";"Killion Munzele MUNYAMA - nr na liście 5";"Henryk Marian SZOPIŃSKI - nr na liście 6";"Dorota Ewa TUŁODZIECKA-ADAMS - nr na liście 7";"Janusz MROZKOWIAK - nr na liście 8";"Karolina URYZAJ - nr na liście 9";"Krzysztof POSZWA - nr na liście 10";"Artur Łukasz WRÓBLEWSKI - nr na liście 11";"Tomasz Marek WOJCIECHOWSKI - nr na liście 12";"Lidia NOWAKOWSKA - nr na liście 13";"Arkadiusz Jerzy DOLECKI - nr na liście 14";"Magdalena SROKA - nr na liście 15";"Agnieszka Małgorzata KOWALSKA - nr na liście 16";"Maria Małgorzata JEWSZEL-CHABERSKA - nr na liście 17";"Rafał Maciej LIPSKI - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Adam URBAŃSKI - nr na liście 1";"Jerzy Józef MOEGLICH - nr na liście 2";"Patrycja Martyna STEMPNIAK - nr na liście 3";"Małgorzata JĘDRYCH - nr na liście 4";"Agata Jadwiga OSTASZEWSKA - nr na liście 5";"Radosław MUSIAŁ - nr na liście 6";"Justyna Tamara WIATR - nr na liście 7";"Marcin Marian MAHSEL - nr na liście 8";"Radosław KOS - nr na liście 9";"Weronika DOMAGAŁA - nr na liście 10";"Daniel WŁUDARCZAK - nr na liście 11";"Adam FELDMANN - nr na liście 12";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Krzysztof Michał PASZYK - nr na liście 1";"Błażej Łukasz PARDA - nr na liście 2";"Tadeusz Krzysztof TETERUS - nr na liście 3";"Jarosław Zygmunt MACIEJEWSKI - nr na liście 4";"Tomasz Bronisław KRANC - nr na liście 5";"Marcin PISZCZEK - nr na liście 6";"Agnieszka LINKIEWICZ-MENDEL - nr na liście 7";"Józef Kazimierz KWAŚNIEWICZ - nr na liście 8";"Anna KORPIK - nr na liście 9";"Julian Marian HERMASZCZUK - nr na liście 10";"Jolanta Jadwiga LUBIŃSKA - nr na liście 11";"Małgorzata Anna BEJMA - nr na liście 12";"Lucyna Hanna NAWROT - nr na liście 13";"Sławomira Jadwiga KRÓL - nr na liście 14";"Daniel SZTYCH - nr na liście 15";"Maria Teresa GALAS - nr na liście 16";"Radosław Paweł ŁANOSZKA - nr na liście 17";"Bartłomiej Wojciech GÓRNY - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Krzysztof Władysław CZARNECKI - nr na liście 1";"Marta Ryszarda KUBIAK - nr na liście 2";"Grzegorz PIECHOWIAK - nr na liście 3";"Marcin Bartosz PORZUCEK - nr na liście 4";"Michał Witold ZIELIŃSKI - nr na liście 5";"Dorota BANAŚ - nr na liście 6";"Bogdan Włodzimierz FLEMING - nr na liście 7";"Danuta Maria NIJAKA - nr na liście 8";"Maja Małgorzata JANKOWSKA - nr na liście 9";"Józef FELCYN - nr na liście 10";"Maria Lidia MILER - nr na liście 11";"Robert Piotr KASPRZAK - nr na liście 12";"Andrzej Janusz OKPISZ - nr na liście 13";"Rafał PRĘTKOWSKI - nr na liście 14";"Wiesław PIETRUCZUK - nr na liście 15";"Emilia MUZYKA - nr na liście 16";"Maria Joanna KARDASZ - nr na liście 17";"Krzysztof Jakub BŁASZCZYK - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Dariusz Marian STANDERSKI - nr na liście 1";"Romuald Kazimierz AJCHLER - nr na liście 2";"Kamil Bartosz BOCIAN - nr na liście 3";"Agnieszka Magdalena GRZECHOWIAK - nr na liście 4";"Katarzyna JÓZEFOWSKA - nr na liście 5";"Anna Elżbieta WILK-BARAN - nr na liście 6";"Jacek Tadeusz FLIEGER - nr na liście 7";"Karolina SMYKOWSKA - nr na liście 8";"Stanisław Tomasz ŚLIWAK - nr na liście 9";"Paulina BIRULA - nr na liście 10";"Andrzej MELIŃSKI - nr na liście 11";"Natalia Ewa MINGE - nr na liście 12";"Maksym KAPLANSKYY - nr na liście 13";"Patrycja Monika BUŚKO - nr na liście 14";"Marta Grażyna BILON - nr na liście 15";"Jakub Paweł MIĘSIKOWSKI - nr na liście 16";"Hanna MAŃKOWSKA - nr na liście 17";"Adam Roman CUKIER - nr na liście 18";"Liczba obwodów"
"300100";"chodzieski";"wielkopolskie";33640;36574;11470;22170;27;102;0;0;0;0;0;0;0;22170;0;0;22170;354;237;117;0;21816;6620;3530;678;270;384;276;116;34;36;45;92;38;55;97;20;63;468;7;411;1523;633;85;238;78;63;90;51;15;35;161;14;60;3641;624;394;41;64;61;227;55;22;62;1776;40;74;42;57;21;24;7;50;6807;1574;582;948;2261;100;322;26;34;133;34;82;35;16;15;415;71;60;99;3225;946;833;227;230;89;67;23;264;33;52;130;70;16;37;27;19;83;79;36
"300200";"czarnkowsko-trzcianecki";"wielkopolskie";61912;67419;23418;38492;41;211;1;1;0;0;0;0;1;38490;1;2;38488;746;527;219;0;37742;10494;7490;1102;250;775;140;55;35;23;52;43;33;61;80;16;180;55;9;95;2352;1094;115;132;269;114;117;91;31;138;125;30;96;6241;1135;344;3624;103;34;119;70;51;127;26;58;38;325;57;18;37;8;67;14297;7845;841;535;3173;325;627;43;71;190;43;63;67;31;31;36;136;54;186;4358;1202;1670;242;235;76;116;34;74;40;258;23;84;25;106;23;10;43;97;61
"300500";"grodziski";"wielkopolskie";36126;39315;13065;23061;12;85;1;1;0;0;0;0;1;23059;1;0;23059;464;309;155;0;22595;6508;478;1491;61;79;3927;22;17;181;58;22;14;24;24;15;35;19;3;38;1651;786;88;132;89;89;124;60;41;53;115;24;50;2596;762;213;38;86;31;113;623;39;118;14;61;37;56;56;17;92;31;209;9310;2910;770;549;639;892;521;66;1555;185;18;68;95;29;38;20;109;601;245;2530;634;289;134;132;56;29;42;41;15;20;14;126;15;35;16;8;809;115;30
"301400";"międzychodzki";"wielkopolskie";26306;28648;9989;16317;21;111;0;0;0;0;0;0;0;16315;0;0;16315;316;230;86;0;15999;5010;290;3037;33;1358;53;9;5;6;9;8;11;16;119;2;21;11;1;21;949;418;68;44;52;56;113;41;15;21;65;7;49;1512;505;91;37;53;21;53;52;66;394;13;13;10;52;26;10;54;14;48;5198;1867;582;190;470;609;186;23;41;86;15;46;41;7;617;11;293;16;98;3330;244;2283;60;76;34;27;13;21;11;16;6;62;30;67;320;4;19;37;22
"301500";"nowotomyski";"wielkopolskie";52601;57680;17214;35387;30;144;2;2;0;0;0;0;2;35380;2;1;35379;599;423;176;0;34780;13770;713;11346;91;190;584;22;21;38;176;31;16;54;59;302;34;32;8;53;2311;1124;160;128;138;114;234;57;49;71;126;34;76;3709;858;398;46;127;41;122;141;76;174;29;54;37;97;55;21;1216;102;115;11760;4108;1526;1285;1847;368;689;64;663;178;36;102;110;24;110;37;137;165;311;3230;962;773;184;216;148;82;180;84;23;61;26;155;36;23;29;18;74;156;49
"301600";"obornicki";"wielkopolskie";40996;44951;14116;26880;26;101;2;2;0;0;0;0;2;26880;2;0;26880;425;319;106;0;26455;7232;1434;3896;108;602;215;50;25;27;58;69;444;43;50;2;60;43;11;95;1721;788;141;118;78;90;85;69;23;50;122;90;67;5323;4210;225;30;60;46;119;57;52;68;20;67;117;59;29;28;43;16;77;8726;2430;665;365;839;2378;611;44;64;99;23;59;81;732;18;17;106;30;165;3453;1423;1061;133;211;66;72;30;81;23;38;18;89;16;44;15;10;48;75;46
"301900";"pilski";"wielkopolskie";95374;103695;32402;62986;80;360;6;6;0;0;0;0;6;62977;6;4;62973;861;573;288;0;62112;18258;9969;1915;1786;935;978;1102;64;55;92;186;65;409;134;23;115;132;79;219;4139;2088;187;209;213;277;298;254;53;92;233;43;192;7728;1898;2898;197;320;61;548;104;54;137;76;253;101;118;688;86;69;22;98;22524;4724;2500;2443;9409;187;1183;88;95;222;717;241;95;25;28;28;198;99;242;9463;3190;2406;1328;531;218;163;85;205;386;143;52;199;39;113;44;57;104;200;82
"302400";"szamotulski";"wielkopolskie";65285;71547;21562;43722;65;205;2;2;0;0;0;0;2;43713;2;3;43710;817;582;235;0;42893;15099;1873;10610;190;1518;271;54;46;29;79;36;30;74;65;8;69;54;10;83;2591;1218;145;168;237;132;155;91;44;79;188;37;97;5112;1149;199;60;110;44;143;105;1691;272;29;75;45;88;70;33;105;785;109;14215;4842;1554;721;2108;2307;758;83;128;241;47;97;572;37;87;20;228;113;272;5876;1241;2914;221;320;98;216;66;115;34;71;17;173;46;65;96;11;53;119;55
"302800";"wągrowiecki";"wielkopolskie";49076;53762;18223;30853;21;140;0;0;0;0;0;0;0;30843;0;2;30841;536;406;130;0;30305;7494;2123;1995;220;321;235;61;34;33;53;2023;36;55;73;16;66;58;7;85;2178;759;391;325;118;85;146;81;25;44;103;22;79;5413;962;342;32;77;1970;93;53;31;64;30;31;1519;36;46;18;28;6;75;11109;3142;1422;759;2580;689;396;1020;90;230;50;117;98;38;23;35;151;62;207;4111;1064;831;218;1145;81;74;38;175;32;55;37;90;24;30;31;11;64;111;46
"302900";"wolsztyński";"wielkopolskie";40201;44000;13464;26743;15;194;1;1;0;0;0;0;1;26736;1;0;26736;564;413;151;0;26172;8345;774;3009;84;89;915;29;13;3159;29;18;35;42;33;6;41;22;3;44;1828;954;106;117;108;98;115;50;32;55;102;21;70;3318;778;209;52;146;68;168;204;36;174;20;70;32;101;46;34;65;17;1098;9766;2469;1905;639;854;772;470;43;283;140;27;103;88;27;58;26;107;188;1567;2915;670;307;139;132;72;52;46;36;20;35;7;83;20;89;18;10;36;1143;41
"303100";"złotowski";"wielkopolskie";49271;53557;20482;28771;29;172;3;3;0;0;0;0;3;28771;3;1;28770;588;418;170;0;28182;7980;2109;265;282;403;170;4187;41;23;41;33;43;73;91;17;60;61;13;68;1880;877;73;114;116;89;124;91;117;49;127;25;78;3778;704;362;52;400;37;193;62;37;82;24;72;32;66;94;1452;49;10;50;10680;2205;844;798;2897;147;2953;34;73;164;40;82;77;16;19;18;102;45;166;3864;984;1071;245;189;663;97;38;83;67;53;24;88;21;46;30;12;61;92;48
