"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Riad HAIDAR - nr na liście 1";"Stanisław ŻMIJAN - nr na liście 2";"Kornelia Konstancja WRÓBLEWSKA - nr na liście 3";"Krzysztof GRABCZUK - nr na liście 4";"Małgorzata GROMADZKA - nr na liście 5";"Rafał Mariusz ZWOLAK - nr na liście 6";"Mariusz GRAD - nr na liście 7";"Tomasz Wojciech ANTONIUK - nr na liście 8";"Tomasz Józef PAŃCZYK - nr na liście 9";"Kamil JÓŹWIK - nr na liście 10";"Magdalena ZAJĄC - nr na liście 11";"Grażyna Bogumiła LAMCZYK - nr na liście 12";"Mariusz Stanisław KOWALEWSKI - nr na liście 13";"Bożena Stanisława KIELISZEK-WASIOŁEK - nr na liście 14";"Katarzyna Ewa PIETRASZKIEWICZ - nr na liście 15";"Barbara Stefania ŻBIKOWSKA - nr na liście 16";"Karolina Anna HUKIEWICZ - nr na liście 17";"Kamila ĆWIKLIŃSKA - nr na liście 18";"Katarzyna Weronika PELC - nr na liście 19";"Anna Maria KOLASIŃSKA - nr na liście 20";"Wioleta ZARĘBSKA - nr na liście 21";"Antoni RUSINEK - nr na liście 22";"Jan Józef MUSOLF - nr na liście 23";"Piotr Jacek ZYGARSKI - nr na liście 24";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Witold Sławomir TUMANOWICZ - nr na liście 1";"Wiktor KASPRZAK - nr na liście 2";"Marcin Piotr IWANOWSKI - nr na liście 3";"Stanisław BĄK - nr na liście 4";"Agnieszka Maria GOCEL - nr na liście 5";"Beata Małgorzata BIELECKA - nr na liście 6";"Agnieszka Monika MARCINIUK - nr na liście 7";"Kamil KUBICA - nr na liście 8";"Ewelina Agata KUPISZ - nr na liście 9";"Michał MAZUREK - nr na liście 10";"Łukasz BANASZCZUK - nr na liście 11";"Kamil CZERWIENIEC - nr na liście 12";"Agnieszka Monika PAWLAK - nr na liście 13";"Agnieszka NAGRODZKA - nr na liście 14";"Dorota Anna WÓJCIK - nr na liście 15";"Zbigniew Marek SADOCHA - nr na liście 16";"Daniel REKUTA - nr na liście 17";"Anna MEKLER - nr na liście 18";"Justyna Elżbieta MULAWA - nr na liście 19";"Kamil KĘDZIERAWSKI - nr na liście 20";"Edyta TARNOWSKA - nr na liście 21";"Łukasz BATALIŃSKI - nr na liście 22";"Bartłomiej WITKOWSKI - nr na liście 23";"Artur Wojciech SOBICH - nr na liście 24";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jarosław SACHAJKO - nr na liście 1";"Arkadiusz Tomasz BRATKOWSKI - nr na liście 2";"Przemysław LITWINIUK - nr na liście 3";"Wiesław Marian RÓŻYŃSKI - nr na liście 4";"Kazimierz SMAL - nr na liście 5";"Andrzej ROMAŃCZUK - nr na liście 6";"Anna SZYMALA - nr na liście 7";"Jan Franciszek KOWALCZYK - nr na liście 8";"Anna WIŚNIEWSKA - nr na liście 9";"Sławomir Jan SUSZCZYŃSKI - nr na liście 10";"Marzena Jolanta MALESA - nr na liście 11";"Agnieszka Renata CZUBA - nr na liście 12";"Karolina PIWKO - nr na liście 13";"Teodora WYPYCH - nr na liście 14";"Ryszard Zbigniew STANIBUŁA - nr na liście 15";"Mirosława Teresa FORNAL - nr na liście 16";"Irena KAMIŃSKA - nr na liście 17";"Teresa NOWAK - nr na liście 18";"Bartosz KOCZKODAJ - nr na liście 19";"Anna Bożena DZIUBA - nr na liście 20";"Grzegorz SIEMAKOWICZ - nr na liście 21";"Marek WILBIK - nr na liście 22";"Sławomir Paweł NOSEK - nr na liście 23";"Janusz ZIELIŃSKI - nr na liście 24";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Jacek Robert SASIN - nr na liście 1";"Sławomir ZAWIŚLAK - nr na liście 2";"Marcin Kamil DUSZEK - nr na liście 3";"Teresa HAŁAS - nr na liście 4";"Tomasz Andrzej ZIELIŃSKI - nr na liście 5";"Dariusz Paweł STEFANIUK - nr na liście 6";"Marcin ROMANOWSKI - nr na liście 7";"Lucjan CICHOSZ - nr na liście 8";"Zdzisław SZWED - nr na liście 9";"Leszek Marcin SKIBA - nr na liście 10";"Maria GMYZ - nr na liście 11";"Robert GMITRUCZUK - nr na liście 12";"Beata Małgorzata STRZAŁKA - nr na liście 13";"Krzysztof Jan GAŁASZKIEWICZ - nr na liście 14";"Konrad Bernard SAWICKI - nr na liście 15";"Anna KUSIAK-JANIEC - nr na liście 16";"Jerzy Ryszard SZWAJ - nr na liście 17";"Barbara Aldona BARSZCZEWSKA - nr na liście 18";"Iwona CHMIELEWSKA - nr na liście 19";"Mariusz Artur ZAŃKO - nr na liście 20";"Halina CZARNECKA - nr na liście 21";"Stanisław MISZTAL - nr na liście 22";"Agnieszka PIEKARSKA - nr na liście 23";"Anna DĄBROWSKA-BANASZEK - nr na liście 24";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Jolanta PAWŁOWSKA - nr na liście 1";"Piotr Edward SZELĄG - nr na liście 2";"Bolesław Borys BORYSIUK - nr na liście 3";"Sławomir ROGALA - nr na liście 4";"Michał Reoland GOŁOŚ - nr na liście 5";"Anna Jadwiga CZOBODZIŃSKA-PRZYBYSŁAWSKA - nr na liście 6";"Gerard WASZKIEWICZ - nr na liście 7";"Łucja Jadwiga PAMULSKA - nr na liście 8";"Patrycja Anna DOBOSZ-FURMAN - nr na liście 9";"Magdalena Małgorzata KAMOLA - nr na liście 10";"Ewa Monika BARTOSZEWSKA-WIC - nr na liście 11";"Grażyna Zofia MACERONI - nr na liście 12";"Aldona Wioleta TROJNIEL-GOŹDZIOŁKO - nr na liście 13";"Zbigniew LITWINIEC - nr na liście 14";"Jacek Michał MALCZEWSKI - nr na liście 15";"Justyna JASEK-KOSOBUCKA - nr na liście 16";"Monika KAPŁON - nr na liście 17";"Jacek Tomasz CHĘĆ - nr na liście 18";"Magdalena Aleksandra TABOR - nr na liście 19";"Jan Bolesław KUROWSKI - nr na liście 20";"Stanisław ŻUKOWSKI - nr na liście 21";"Katarzyna Małgorzata KOZICKA - nr na liście 22";"Mateusz Maciej ROCZON - nr na liście 23";"Bogdan Antoni KIEŁBASA - nr na liście 24";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Jan KOKOT - nr na liście 1";"Ewa Małgorzata KOZIARA - nr na liście 2";"Rafał Mirosław ŁUKASIK - nr na liście 3";"Dariusz LANGA - nr na liście 4";"Arkadiusz CHIBOWSKI - nr na liście 5";"Beata RYPINA - nr na liście 6";"Damian Jarosław LEWCZUK - nr na liście 7";"Justyna Renata JÓŹWIK - nr na liście 8";"Dorota WYSOKIŃSKA - nr na liście 9";"Przemysław POPIELEC - nr na liście 10";"Marek CELIŃSKI - nr na liście 11";"Lidia Elżbieta WASĄG - nr na liście 12";"Kamil SOKOŁOWSKI - nr na liście 13";"Ewelina Ilona WOCH - nr na liście 14";"Anna Maria BODNAR - nr na liście 15";"Agnieszka ZALEWSKA - nr na liście 16";"Rafał KOWALIK - nr na liście 17";"Liczba obwodów"
"060100";"bialski";"lubelskie";81502;88744;31291;50210;79;542;3;3;1;0;0;0;2;50208;2;4;50204;821;560;261;0;49383;8860;6887;1105;515;61;26;11;16;10;3;52;28;2;12;11;54;8;2;8;4;10;14;2;4;15;2643;1152;179;368;82;36;109;78;181;34;76;89;14;37;10;19;4;12;18;7;13;20;11;28;66;5326;537;115;3243;36;41;269;110;27;69;73;44;23;101;9;9;4;22;23;19;10;83;353;5;101;30068;10286;257;8005;223;158;7050;410;53;80;61;52;493;99;57;100;57;58;775;132;738;66;64;118;676;1962;988;98;235;31;43;63;30;25;25;28;13;11;38;61;24;5;38;15;29;56;21;17;6;62;524;76;112;18;19;60;31;39;22;25;12;8;9;9;9;4;35;36;115
"060200";"biłgorajski";"lubelskie";75517;81667;29155;46362;98;286;1;1;0;0;0;0;1;46360;1;0;46360;512;343;169;0;45848;3583;514;1128;165;111;1233;118;73;9;11;14;78;5;9;13;8;14;2;9;5;12;9;8;1;34;3116;1249;182;78;843;42;56;36;223;28;79;28;47;31;18;20;4;9;11;30;13;16;13;27;33;6510;698;450;53;4542;15;64;60;53;58;26;15;14;90;16;18;5;18;206;10;12;10;7;12;58;29800;10263;2494;208;314;323;63;4081;344;61;2654;548;30;6939;119;360;122;21;26;49;20;39;305;132;285;2519;969;156;34;51;17;13;66;22;23;31;25;8;19;15;34;4;19;11;41;11;21;15;18;896;320;60;34;18;9;5;10;8;19;7;12;3;29;12;14;10;22;48;98
"060300";"chełmski";"lubelskie";57432;62907;26903;30527;32;162;1;1;0;0;0;0;1;30526;1;0;30526;597;407;190;0;29929;4730;252;119;98;3966;32;39;15;10;6;14;91;8;4;6;10;8;11;6;3;9;3;7;3;10;1806;796;230;21;57;21;48;18;133;32;110;60;11;27;13;15;7;27;13;8;72;23;20;13;31;3297;524;190;63;26;1934;99;52;33;45;15;9;34;68;13;13;34;26;16;14;16;7;4;5;57;18314;9092;638;110;466;146;65;261;401;1041;66;64;67;57;57;273;140;24;65;59;34;70;109;94;4915;1517;808;128;46;28;111;12;17;26;18;34;14;15;8;8;12;11;21;23;22;12;86;21;9;27;265;52;29;21;9;6;9;15;15;10;4;17;3;13;14;8;19;21;90
"060400";"hrubieszowski";"lubelskie";48833;52628;23086;25747;64;207;1;1;0;0;0;0;1;25745;1;0;25745;369;261;108;0;25376;1945;426;214;170;333;42;118;64;287;32;15;75;5;6;5;10;6;7;11;7;6;6;2;91;7;1161;468;74;35;53;24;41;45;156;25;47;19;20;17;8;20;5;8;6;11;14;15;5;20;25;3193;910;1100;38;36;55;37;58;92;557;13;23;31;50;10;28;19;47;13;7;16;1;1;13;38;15829;7468;2408;81;219;159;48;87;29;42;172;277;24;61;127;107;3373;15;23;33;28;35;558;43;412;3049;408;2370;17;24;23;4;18;11;12;18;13;2;4;10;5;8;9;5;19;7;14;15;4;29;199;30;17;12;8;5;9;8;13;11;6;1;5;15;12;4;21;22;69
"060600";"krasnostawski";"lubelskie";48982;53057;21451;27530;71;192;2;2;0;0;0;0;2;27532;2;0;27532;369;217;152;0;27163;3943;419;378;180;1966;48;203;20;20;13;14;167;9;10;10;9;7;421;12;8;7;5;1;2;14;1636;670;106;35;51;20;29;25;117;28;44;16;14;31;10;24;8;12;10;6;7;8;3;326;36;2656;899;534;59;31;58;59;60;39;71;9;14;398;99;23;21;24;19;23;12;12;10;6;125;51;16648;6043;916;109;4934;118;46;259;2571;63;87;59;21;64;108;471;58;10;20;70;21;35;100;48;417;1997;1182;194;39;41;61;18;46;39;33;36;34;12;19;23;24;3;25;13;27;1;25;22;12;68;283;54;22;14;9;3;12;14;11;16;8;15;10;12;10;2;27;44;90
"061300";"parczewski";"lubelskie";26157;28340;10744;15413;25;123;1;1;0;0;0;0;1;15412;1;0;15412;224;148;76;0;15188;1795;1003;345;97;54;28;7;5;7;9;11;21;159;2;3;1;1;4;9;2;7;2;6;3;9;1008;337;38;39;27;7;31;18;74;11;18;49;10;12;6;13;6;5;3;3;6;7;4;10;274;2152;274;63;350;11;10;63;70;7;43;8;20;10;37;6;7;1;6;11;26;6;4;16;3;1100;9023;3643;167;602;100;176;407;74;22;34;20;19;176;34;17;123;22;2606;83;28;28;33;11;299;299;972;411;37;141;25;18;12;25;16;94;66;9;4;4;15;9;2;11;3;8;2;13;10;5;32;238;20;11;88;30;4;4;10;9;9;2;4;2;8;1;1;13;22;38
"061500";"radzyński";"lubelskie";43761;47448;16926;26835;60;146;1;1;0;0;0;0;1;26835;1;4;26831;447;298;149;0;26384;2236;1284;507;158;82;31;5;11;8;5;27;44;4;8;4;4;5;4;6;6;12;3;6;1;11;1465;736;113;86;44;28;51;44;91;19;58;13;17;18;9;15;6;8;21;4;14;12;2;18;38;3681;340;45;638;19;13;31;1943;20;32;7;21;18;56;6;4;5;13;10;353;5;6;11;10;75;16962;7360;249;4602;287;137;892;189;58;61;52;38;1080;51;42;161;28;83;374;524;31;61;39;142;421;1426;532;47;99;337;16;11;11;11;35;23;11;11;14;141;6;4;22;7;28;11;4;9;2;34;614;32;19;8;380;15;9;8;23;14;5;17;13;19;10;6;15;21;55
"061800";"tomaszowski";"lubelskie";63437;68734;27624;35812;93;282;2;2;1;0;0;0;1;35814;1;0;35814;445;299;146;0;35369;3161;469;468;237;298;89;202;1138;19;23;14;55;13;7;27;10;4;7;15;11;10;13;5;8;19;1963;908;150;66;104;39;100;37;196;27;55;33;33;29;15;28;5;8;14;19;10;12;3;43;29;5565;1394;422;45;26;30;74;44;2923;59;24;12;24;82;8;85;5;20;31;12;44;4;4;7;186;22372;7584;3275;102;390;8088;85;420;103;34;270;175;32;103;166;80;256;16;36;52;20;257;426;77;325;1962;1028;286;42;62;29;19;88;37;32;23;17;8;10;14;18;16;42;12;27;12;66;9;16;49;346;94;28;8;13;4;9;11;12;16;11;3;11;14;12;11;22;67;100
"061900";"włodawski";"lubelskie";29239;31594;12454;16786;33;143;0;0;0;0;0;0;0;16787;0;2;16785;262;174;88;0;16523;2380;478;204;166;1170;29;9;21;63;6;24;66;7;49;12;9;2;2;8;7;14;7;11;1;15;894;438;77;39;37;13;19;14;67;23;21;26;13;14;7;10;7;3;6;2;24;6;6;2;20;2978;203;40;60;9;135;2309;31;21;35;10;4;7;28;3;5;6;9;2;5;4;3;6;1;42;8731;3796;229;222;150;108;99;169;88;143;33;25;25;33;29;226;31;37;30;40;2644;29;20;33;492;1397;511;46;71;16;41;27;18;342;24;10;11;4;0;9;7;0;7;182;14;4;16;7;4;26;143;29;10;9;6;8;5;4;2;15;11;2;3;8;2;3;15;11;46
"062000";"zamojski";"lubelskie";80615;87264;33832;46781;126;422;3;3;0;0;0;0;3;46775;3;1;46774;674;468;206;0;46100;3732;569;511;267;243;129;1153;170;21;317;20;78;5;11;12;9;9;10;37;53;8;16;21;5;58;2427;1138;198;72;103;60;48;39;195;34;60;27;166;43;20;27;7;12;13;36;20;27;8;37;37;5812;2324;2435;80;114;29;63;86;76;67;23;18;28;91;78;100;7;23;27;12;29;14;5;15;68;30871;9809;9925;175;1045;485;64;826;240;72;1745;784;46;234;3319;98;170;29;50;79;23;62;842;127;622;2426;1243;289;42;67;28;25;267;25;30;31;16;15;11;16;31;10;49;17;33;9;26;13;15;118;832;61;35;19;6;6;20;12;7;14;32;9;12;12;9;14;27;537;119
"066100";"Biała Podlaska";"lubelskie";41682;44418;14280;27402;38;231;2;2;0;0;0;0;2;27395;2;1;27394;176;96;80;0;27218;8794;7770;535;190;53;25;4;17;7;2;25;11;4;7;9;104;1;3;2;5;2;2;1;0;15;1821;815;92;425;34;26;58;91;80;17;29;39;9;18;4;4;2;5;2;6;10;7;5;16;27;1568;239;38;679;8;5;29;46;12;34;82;72;5;34;5;6;1;8;4;6;5;145;52;6;47;13100;3971;66;1632;56;34;6176;129;16;15;19;17;184;17;5;22;19;19;394;26;23;24;11;31;194;1667;1011;44;235;27;22;32;55;9;6;12;6;5;20;20;6;25;14;3;23;26;12;6;7;41;268;26;66;12;4;6;33;30;3;20;3;9;6;4;3;3;13;27;29
