"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zenon Henryk BIAŁOBRZESKI";"Marek Adam KOMOROWSKI";"Janusz WASILEWSKI";"Liczba obwodów"
"200100";"augustowski";"podlaskie";42140;45785;18182;23958;38;308;1;1;0;0;0;0;1;23955;1;0;23955;434;135;299;0;23521;7587;13070;2864;44
"200400";"grajewski";"podlaskie";34299;37267;15449;18850;26;101;1;1;0;0;1;0;0;18847;0;2;18845;471;100;371;0;18374;5355;11151;1868;43
"200600";"kolneński";"podlaskie";27825;30610;12404;15421;17;69;4;4;0;0;0;0;4;15424;4;0;15424;308;77;231;0;15116;3794;10166;1156;41
"200700";"łomżyński";"podlaskie";36875;40823;14788;22087;50;123;2;2;0;0;0;0;2;22087;2;0;22087;417;96;321;0;21670;5345;14772;1553;53
"200800";"moniecki";"podlaskie";30349;32854;14386;15963;32;80;2;2;0;0;0;0;2;15964;2;0;15964;317;98;219;0;15647;3948;9994;1705;33
"200900";"sejneński";"podlaskie";15064;16394;7203;7861;33;114;0;0;0;0;0;0;0;7861;0;0;7861;167;39;128;0;7694;3111;3538;1045;21
"201200";"suwalski";"podlaskie";26178;28574;11034;15144;33;125;1;1;0;0;0;0;1;15143;1;0;15143;294;78;216;0;14849;4364;8502;1983;38
"201400";"zambrowski";"podlaskie";32649;35335;13389;19260;26;97;1;1;0;0;0;0;1;19261;1;0;19261;344;84;260;0;18917;4572;12612;1733;45
"206200";"Łomża";"podlaskie";43876;46992;16396;27480;30;133;3;3;0;0;0;0;3;27476;3;0;27476;522;155;367;0;26954;9767;14342;2845;32
"206300";"Suwałki";"podlaskie";49377;52552;19461;29916;57;202;2;2;0;0;0;0;2;29917;2;2;29915;568;183;385;0;29347;11044;13590;4713;38
