"Numer okręgu";"Nazwa";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"1";"Okręg Wyborczy Nr 1";"57,80";"1,30";"64,42";"35,58";"0,00";"98,70";"25,02";"";"5,85";"7,17";"";"42,40";"";"16,43";"3,12";""
"2";"Okręg Wyborczy Nr 2";"55,83";"1,39";"67,61";"32,39";"0,00";"98,61";"32,09";"";"5,42";"7,25";"";"40,54";"";"12,35";"2,34";""
"3";"Okręg Wyborczy Nr 3";"65,89";"0,84";"57,97";"42,03";"0,00";"99,16";"32,80";"";"7,45";"6,46";"";"34,67";"";"15,41";"3,21";""
"4";"Okręg Wyborczy Nr 4";"59,90";"1,37";"68,45";"31,55";"0,00";"98,63";"31,05";"";"7,05";"9,02";"";"36,43";"";"15,17";"1,29";""
"5";"Okręg Wyborczy Nr 5";"56,37";"1,31";"65,07";"34,93";"0,00";"98,69";"26,42";"";"6,33";"10,88";"";"40,38";"";"14,83";"1,16";""
"6";"Okręg Wyborczy Nr 6";"60,88";"0,96";"57,67";"42,33";"0,00";"99,04";"19,30";"";"7,07";"9,10";"";"55,39";"";"7,81";"1,32";""
"7";"Okręg Wyborczy Nr 7";"54,40";"1,31";"66,08";"33,92";"0,00";"98,69";"14,80";"";"5,84";"11,86";"";"59,50";"";"6,83";"1,16";""
"8";"Okręg Wyborczy Nr 8";"57,20";"1,47";"67,10";"32,90";"0,00";"98,53";"31,27";"";"7,19";"11,63";"";"34,30";"";"15,61";"";""
"9";"Okręg Wyborczy Nr 9";"68,32";"0,74";"52,66";"47,34";"0,00";"99,26";"35,82";"";"6,65";"4,53";"";"32,90";"";"20,10";"";""
"10";"Okręg Wyborczy Nr 10";"61,81";"1,28";"65,98";"34,02";"0,00";"98,72";"15,64";"";"6,76";"10,44";"";"56,21";"";"10,95";"";""
"11";"Okręg Wyborczy Nr 11";"60,92";"1,27";"63,18";"36,82";"0,00";"98,73";"20,48";"";"5,88";"10,29";"";"49,81";"";"11,98";"1,56";""
"12";"Okręg Wyborczy Nr 12";"62,86";"1,15";"63,26";"36,74";"0,00";"98,85";"23,04";"";"7,06";"7,90";"";"53,48";"";"8,51";"";""
"13";"Okręg Wyborczy Nr 13";"68,57";"0,72";"50,71";"49,29";"0,00";"99,28";"30,48";"";"7,99";"7,27";"0,27";"39,56";"";"13,01";"1,42";""
"14";"Okręg Wyborczy Nr 14";"60,28";"1,20";"62,23";"37,77";"0,00";"98,80";"13,83";"";"6,95";"7,35";"";"65,80";"";"6,07";"";""
"15";"Okręg Wyborczy Nr 15";"60,47";"1,14";"62,23";"37,77";"0,00";"98,86";"14,00";"";"7,11";"13,35";"";"59,59";"";"5,94";"";""
"16";"Okręg Wyborczy Nr 16";"57,68";"1,45";"62,33";"37,67";"0,00";"98,55";"16,85";"";"5,24";"15,17";"";"52,45";"";"8,76";"1,53";""
"17";"Okręg Wyborczy Nr 17";"60,84";"1,11";"57,26";"42,74";"0,00";"98,89";"17,15";"";"5,89";"10,20";"";"57,82";"0,75";"7,43";"0,76";""
"18";"Okręg Wyborczy Nr 18";"60,98";"1,27";"57,25";"42,75";"0,00";"98,73";"13,94";"0,31";"6,49";"11,94";"";"59,76";"";"6,45";"1,11";""
"19";"Okręg Wyborczy Nr 19";"79,75";"0,55";"45,70";"54,30";"0,00";"99,45";"42,05";"";"7,51";"4,75";"";"27,49";"";"18,19";"";""
"20";"Okręg Wyborczy Nr 20";"70,56";"0,88";"55,58";"44,42";"0,00";"99,12";"28,61";"";"6,63";"8,60";"";"40,89";"";"13,09";"2,19";""
"21";"Okręg Wyborczy Nr 21";"52,91";"1,46";"68,25";"31,75";"0,00";"98,54";"26,71";"";"5,70";"10,31";"";"37,64";"";"11,74";"";"7,90"
"22";"Okręg Wyborczy Nr 22";"56,37";"1,26";"66,38";"33,62";"0,00";"98,74";"15,94";"";"6,81";"7,85";"";"63,36";"";"6,04";"";""
"23";"Okręg Wyborczy Nr 23";"60,13";"0,92";"57,97";"42,03";"0,00";"99,08";"14,39";"";"8,25";"7,79";"";"62,38";"0,60";"6,59";"";""
"24";"Okręg Wyborczy Nr 24";"56,97";"0,94";"55,79";"44,21";"0,00";"99,06";"21,04";"0,34";"6,96";"9,33";"";"52,04";"0,44";"9,09";"0,77";""
"25";"Okręg Wyborczy Nr 25";"64,21";"0,97";"61,93";"38,07";"0,00";"99,03";"41,31";"";"7,21";"5,90";"";"32,10";"";"13,47";"";""
"26";"Okręg Wyborczy Nr 26";"62,79";"1,10";"57,08";"42,92";"0,00";"98,90";"35,85";"";"7,30";"7,94";"";"36,43";"";"12,47";"";""
"27";"Okręg Wyborczy Nr 27";"64,91";"0,94";"56,49";"43,51";"0,00";"99,06";"27,20";"";"7,42";"7,13";"";"46,76";"";"11,48";"";""
