"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KANIK Jan Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"BUZEK Joanna Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"WALUK Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"WLACH Sergiusz Edward - KW BEZPARTYJNI SAMORZĄDOWCY";"KANIK Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"SOBKÓW Grzegorz Dariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"MUSIAŁ Paweł Marek - KW BEZPARTYJNI SAMORZĄDOWCY";"ŚMIEIŃSKI Filip Marian - KW BEZPARTYJNI SAMORZĄDOWCY";"ORDON Ewelina Teresa - KW BEZPARTYJNI SAMORZĄDOWCY";"ZBYLSKA Aneta Izabela - KW BEZPARTYJNI SAMORZĄDOWCY";"WĘGLIŃSKA Katarzyna - KW BEZPARTYJNI SAMORZĄDOWCY";"MATIJCZAK Patrycja Klaudia - KW BEZPARTYJNI SAMORZĄDOWCY";"SOSZYŃSKA Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"LISTOWSKA Katarzyna Elżbieta - KW BEZPARTYJNI SAMORZĄDOWCY";"KORBUT Mateusz Dawid - KW BEZPARTYJNI SAMORZĄDOWCY";"PANTOL Edyta Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"TREPIAK Joanna Alicja - KW BEZPARTYJNI SAMORZĄDOWCY";"BIELKA Piotr Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"SUCHOŃ Mirosław Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOŻUSZNIK Danuta Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JARCO Jacek Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PINDEL Mateusz Józef - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"FERUGA Joanna Mirosława - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZENDERA Waldemar Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ADAMIEC Katarzyna Aleksandra - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ARCZEWSKI Adam Sylwester - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PRZYSTAŁ Dariusz Czesław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARPETA Robert Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIEZABITOWSKA Zuzanna Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DZIUBIŃSKA Ewa Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GLUZA Paweł Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GOLIK Mariola Renata - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STANIEK Mirosław Władysław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KAJZER Bogusław Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KAMIŃSKA Malwina Daria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"LEGIERSKI Damian Józef - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOPERSKI Przemysław Adam - KW NOWA LEWICA";"MADZIA Magdalena - KW NOWA LEWICA";"TYRNA Leszek - KW NOWA LEWICA";"TWARDYSKO Marcin Paweł - KW NOWA LEWICA";"CZYLOK Leszek Zbigniew - KW NOWA LEWICA";"LAMEK-KOCHANOWSKA Agnieszka Zofia - KW NOWA LEWICA";"MERTA Mateusz Mikołaj - KW NOWA LEWICA";"BANOT Aleksandra Ewa - KW NOWA LEWICA";"PIETRZYK Katarzyna Maria - KW NOWA LEWICA";"SZTEFEK Paweł Marek - KW NOWA LEWICA";"CZAICKA Anna Maria - KW NOWA LEWICA";"PINDEL Władysław - KW NOWA LEWICA";"SZCZOTKA Stanisława - KW NOWA LEWICA";"PODŻORSKI Henryk - KW NOWA LEWICA";"GASPARSKA Katarzyna Olga - KW NOWA LEWICA";"SŁONKA-GIBAS Barbara Jolanta - KW NOWA LEWICA";"SOLIK Wojciech Michał - KW NOWA LEWICA";"JURASZEK Katarzyna Mirosława - KW NOWA LEWICA";"SZWED Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PUDA Grzegorz Paweł - KW PRAWO I SPRAWIEDLIWOŚĆ";"DRABEK Przemysław Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATUSZNY Kazimierz Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"MICHAŁEK-CHUDECKA Łucja Katarzyna - KW PRAWO I SPRAWIEDLIWOŚĆ";"KANAFEK-LEWANDOWSKA Marcela Joanna - KW PRAWO I SPRAWIEDLIWOŚĆ";"GAŻA Grzegorz Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"KAMIŃSKI Andrzej - KW PRAWO I SPRAWIEDLIWOŚĆ";"KRÓL Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIEGUN Agnieszka Magdalena - KW PRAWO I SPRAWIEDLIWOŚĆ";"SITARSKI Krzysztof Serafin - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZUPIL Łukasz Damian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MICHNIK Renata Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRASZEWSKA Marzena Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"RZEPECKA Justyna Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"PINDEL Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZCZERBA Magdalena - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIAŁOWĄS Beata Iwona - KW PRAWO I SPRAWIEDLIWOŚĆ";"FOLTYN Bronisław Edward - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRAJNY Robert Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KANIA Adam Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KRYWULT Paulina Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOWALEWSKI Rafał Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STRZAŁKOWSKA Grażyna Katarzyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WIEWIÓRA Mateusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUBICA Marek Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚLIWA Paweł Jan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZAREK Piotr Jan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŻELAZO Magdalena Matylda - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WENGLORZ Michał Adrian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOCOŃ Klaudia Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATYSZCZYK Mateusz Karol - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WINIARCZUK Anna Marta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCA Paulina Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GAŁUSZKA Barbara Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BIELEWICZ Wojciech Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"NYKIEL Mirosława - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PĘPEK Małgorzata Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"TAJNER Apoloniusz Leopold - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZAREK Marcin Edward - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"TOMCZYKIEWICZ Maciej Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ŁUKOWICZ Beata Anna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MAJOR Przemysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PIEGZIK-IZYDORCZYK Dorota Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"HUDZIEC Janusz Mateusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"RYPLEWICZ Rafał Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BOROWIK Elżbieta Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PAWŁOWSKI Janusz Zenon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KUPCZAK-WIŚNIOWSKA Bogusława Danuta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ŚLĘK Marcin Rafał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SMYRSKI Mateusz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JĘDRUSIK Joanna Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JAFERNIK Bronisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"TUCKA-MAREK Agata Katarzyna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GAJDA Piotr Paweł - KW POLSKA JEST JEDNA";"MAZIARCZYK Danuta Regina - KW POLSKA JEST JEDNA";"KÖHLER Tomasz Feliks - KW POLSKA JEST JEDNA";"MACHAŁOWSKA Magdalena Stefania - KW POLSKA JEST JEDNA";"BACZA Andrzej Józef - KW POLSKA JEST JEDNA";"PUDLISZEWSKA Anna Maria - KW POLSKA JEST JEDNA";"KUDRYS Sławomir Paweł - KW POLSKA JEST JEDNA";"MATUSZEWSKI Sławomir Józef - KW POLSKA JEST JEDNA";"KURCZAB Marianna Teresa - KW POLSKA JEST JEDNA";"GOWIN Bartłomiej Łukasz - KW NORMALNY KRAJ";"LEGIERSKI Konrad Władysław - KW NORMALNY KRAJ";"MICZOŁEK Magdalena Barbara - KW NORMALNY KRAJ";"CHROBAK Tadeusz Stefan - KW NORMALNY KRAJ";"MARCAK Ewa Halina - KW NORMALNY KRAJ";"ŚWIERCZEK Mariusz Dariusz - KW NORMALNY KRAJ";"ROSOWSKA Justyna - KW NORMALNY KRAJ";"WYRĘBEK Ewa - KW NORMALNY KRAJ";"SOKOŁOWSKI Dariusz Bartosz - KW NORMALNY KRAJ";"KRYSTOFIK Anna - KW NORMALNY KRAJ";"PYCH Artur Krystian - KW NORMALNY KRAJ";"KĘDZIERAWSKA Helena Agnieszka - KW NORMALNY KRAJ"
240201;"m. Szczyrk";"bielski";"śląskie";4;4;18;4;0;0;5;0;5;2;2;1;6;4;1;2;0;0;0;2;238;50;31;22;22;7;21;6;3;7;10;9;8;2;3;6;19;10;85;89;7;4;0;5;5;11;4;6;4;3;3;1;2;3;0;7;640;472;257;31;25;21;9;16;16;21;2;1;5;8;10;17;7;35;158;17;23;33;5;4;9;16;6;12;1;2;4;1;1;2;3;6;380;134;351;36;31;26;11;4;4;8;2;2;8;1;1;5;1;15;52;4;4;3;1;5;1;7;3;3;1;0;1;0;1;0;0;1;0;0;2
240202;"gm. Bestwina";"bielski";"śląskie";6;6;30;9;3;0;11;2;6;1;9;5;3;6;3;4;0;4;2;8;726;105;82;32;46;17;60;6;16;8;27;15;13;10;9;16;35;19;210;152;14;4;7;7;17;14;11;7;5;8;4;0;4;3;2;25;949;517;521;29;15;42;28;106;12;24;5;3;10;16;40;24;10;46;340;65;37;61;18;13;19;20;13;7;10;2;12;4;4;5;5;10;956;202;360;84;127;337;24;10;3;18;8;6;15;1;7;8;3;18;129;13;11;4;3;5;26;6;4;2;2;3;0;0;0;3;0;2;0;2;4
240203;"gm. Buczkowice";"bielski";"śląskie";6;6;35;11;2;2;3;0;5;1;3;3;6;5;3;3;1;2;3;3;507;98;83;24;29;3;37;9;4;8;21;13;27;7;4;9;20;19;183;139;8;5;7;11;16;26;3;1;5;6;5;2;23;4;2;18;1163;591;336;60;27;24;16;55;32;38;4;4;10;18;17;35;17;47;314;27;31;46;24;9;30;21;14;11;9;4;13;9;4;3;7;12;704;360;255;114;38;21;14;22;4;42;14;3;9;3;1;3;2;13;138;15;10;13;3;5;11;12;9;4;0;1;2;0;3;1;3;1;0;0;2
240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";23;23;135;51;10;10;26;10;31;13;11;15;19;8;12;9;4;7;9;19;1999;326;134;135;295;71;240;26;280;47;58;51;69;30;23;57;129;63;889;493;27;24;43;52;38;78;43;11;27;33;13;5;24;9;11;323;3297;2341;948;96;108;125;240;276;64;71;21;15;40;46;449;101;35;156;927;460;97;148;27;35;53;52;44;26;35;16;43;16;16;9;22;24;3817;991;1363;189;554;606;78;83;58;91;41;13;49;15;14;29;6;58;410;50;7;21;17;18;40;13;22;16;6;3;8;2;7;9;8;3;3;4;10
240205;"gm. Jasienica";"bielski";"śląskie";20;20;71;29;5;9;14;7;16;3;11;15;10;7;5;5;5;4;10;10;1616;231;144;41;112;24;75;14;11;12;34;33;33;24;10;12;100;54;423;337;65;5;12;23;46;33;15;4;17;7;14;4;8;8;7;18;3454;612;495;43;39;36;24;33;28;32;7;4;21;13;20;29;11;62;742;80;57;112;27;24;23;32;31;63;12;6;19;5;4;6;18;28;2039;379;559;515;125;88;47;38;13;83;24;16;38;4;10;19;3;31;259;22;10;17;12;16;19;10;12;16;4;3;1;3;2;4;4;3;0;0;12
240206;"gm. Jaworze";"bielski";"śląskie";4;4;18;9;0;2;4;2;6;1;4;0;5;1;0;2;0;1;1;6;446;57;64;24;27;2;31;6;6;4;13;13;7;35;6;3;25;13;194;101;26;1;2;6;21;23;9;1;2;7;15;3;6;5;1;10;550;151;205;17;13;9;4;17;7;8;0;2;10;8;6;7;8;22;206;20;24;39;4;5;3;7;4;24;6;5;5;4;1;3;7;6;857;155;191;329;61;31;16;19;6;57;14;25;7;4;6;5;1;18;81;4;2;1;2;4;5;0;1;1;1;0;0;2;3;2;0;0;0;0;1
240207;"gm. Kozy";"bielski";"śląskie";5;5;55;8;2;1;8;1;3;6;6;3;5;4;3;5;1;0;3;3;905;102;61;47;31;8;46;9;6;12;26;25;27;7;3;5;46;16;218;162;7;3;6;9;84;31;7;7;14;5;4;1;8;6;1;12;1026;550;877;24;17;37;30;36;15;16;8;1;6;5;22;15;8;18;364;41;45;48;11;13;10;18;15;11;7;7;8;4;4;5;11;14;1335;285;292;115;51;79;25;19;8;54;10;3;15;3;7;8;2;14;131;6;9;9;5;3;10;3;3;5;2;0;1;0;3;2;1;1;0;0;5
240208;"gm. Porąbka";"bielski";"śląskie";8;8;61;28;4;4;13;1;8;2;9;8;7;8;12;9;4;2;3;10;671;185;53;57;43;27;58;13;14;11;33;24;21;8;4;4;36;22;230;157;27;4;9;24;18;21;11;5;18;8;7;1;4;7;6;11;1504;957;746;54;55;23;17;77;47;24;7;8;16;13;17;64;17;51;362;56;63;41;21;43;18;26;18;13;13;7;9;6;2;4;13;23;1063;492;286;74;62;64;36;28;6;24;19;11;7;6;4;20;3;29;184;12;3;13;5;6;12;8;6;4;2;1;1;2;2;1;1;1;1;3;3
240209;"gm. Wilamowice";"bielski";"śląskie";8;8;73;26;1;6;8;4;7;5;5;4;6;8;6;7;2;2;4;8;896;214;78;76;46;28;62;9;24;16;31;19;26;15;8;6;39;30;257;180;15;6;5;22;58;28;18;6;34;9;5;2;10;4;1;15;1552;1496;368;46;33;77;24;530;35;31;6;6;14;14;34;58;17;60;433;71;55;91;18;13;21;26;24;16;17;10;20;10;3;7;13;21;1417;259;348;79;99;101;31;21;3;46;22;8;12;10;7;14;7;30;259;17;3;9;4;11;20;6;8;7;2;0;3;1;3;3;0;0;1;1;8
240210;"gm. Wilkowice";"bielski";"śląskie";11;11;43;11;3;5;9;0;7;1;5;1;3;2;4;4;0;3;1;1;613;116;89;39;23;7;44;4;4;9;20;11;36;7;4;164;34;16;466;169;12;11;6;9;29;26;4;5;8;4;3;3;4;3;3;16;1084;570;634;48;42;33;11;43;21;24;5;2;13;15;21;25;7;46;327;35;27;33;18;12;22;27;11;12;4;4;14;18;7;5;10;6;1358;409;323;103;111;48;22;56;5;73;16;11;43;6;3;10;1;17;136;9;5;3;2;7;22;1;13;9;2;1;0;0;2;0;1;1;0;1;2
240301;"m. Cieszyn";"cieszyński";"śląskie";26;26;105;204;6;19;12;4;25;6;13;17;14;5;19;8;12;5;7;21;1205;957;106;32;51;19;67;23;20;19;31;26;55;18;24;9;63;408;767;504;348;19;14;39;44;146;20;54;26;22;19;35;22;18;5;36;2128;521;122;293;278;106;185;97;739;93;27;63;53;25;72;56;39;97;595;53;112;43;30;32;26;44;19;23;20;196;21;11;6;5;30;26;2233;609;1843;388;336;88;339;21;72;27;25;16;24;83;5;156;5;87;202;30;12;112;33;16;6;9;11;12;22;2;4;6;4;1;6;2;2;4;6
240302;"m. Ustroń";"cieszyński";"śląskie";13;13;37;34;4;1;7;3;16;4;8;4;6;7;8;2;3;2;3;7;661;280;44;33;29;20;39;21;8;8;29;15;51;21;21;9;35;250;314;213;75;7;9;17;15;39;17;412;11;4;12;30;10;6;1;17;1241;420;113;128;169;107;57;105;427;40;106;15;36;34;29;21;39;79;357;34;44;27;11;29;11;16;23;39;8;35;13;12;6;6;5;6;1275;419;1485;524;172;53;42;13;22;16;24;10;15;10;1;25;2;36;127;17;8;10;14;10;8;9;7;6;4;3;1;2;2;0;1;0;1;3;5
240303;"m. Wisła";"cieszyński";"śląskie";8;8;21;24;1;0;6;2;5;2;1;2;5;4;2;5;1;1;5;10;397;149;24;19;19;7;27;6;4;3;12;15;59;5;7;2;21;366;170;138;25;8;2;9;7;21;5;34;9;4;5;205;4;0;5;13;332;178;42;53;88;18;17;35;60;9;14;1;14;11;6;10;6;42;286;24;41;16;10;10;17;22;14;50;4;13;11;2;4;2;10;10;566;124;1172;673;76;25;9;7;7;3;6;6;12;6;6;11;2;25;96;11;6;28;6;4;7;3;3;8;15;0;1;0;1;1;0;0;0;0;1
240304;"gm. Brenna";"cieszyński";"śląskie";8;8;50;53;6;2;7;0;9;1;8;9;3;2;5;5;5;2;1;4;456;141;35;27;19;10;38;8;5;13;18;13;31;24;8;5;18;188;125;143;33;6;4;4;6;26;8;17;11;4;11;13;2;6;2;14;1374;594;74;48;45;50;60;29;116;36;14;8;24;11;17;23;20;38;315;26;31;34;15;14;14;19;17;25;12;26;13;7;5;12;4;5;583;119;630;96;75;25;10;3;17;11;10;3;9;0;0;5;1;12;113;3;3;18;26;10;5;4;3;3;6;1;1;1;1;1;1;2;2;0;1
240305;"gm. Chybie";"cieszyński";"śląskie";6;6;46;20;2;3;6;2;2;2;4;3;5;0;5;2;3;3;3;7;321;67;13;12;15;4;16;4;2;3;9;6;7;6;472;1;12;44;143;102;9;2;12;5;6;18;8;4;5;3;7;8;2;5;1;8;1318;425;64;25;29;153;47;20;62;20;4;11;8;4;17;6;10;28;221;42;16;33;8;9;17;16;7;9;7;12;10;7;2;3;5;6;504;93;187;29;39;17;151;4;20;4;8;4;4;21;1;5;2;10;89;7;2;13;7;1;0;1;2;4;0;1;4;2;1;0;1;0;0;1;0
240306;"gm. Dębowiec";"cieszyński";"śląskie";5;5;26;20;1;1;1;1;11;0;4;1;4;4;5;1;1;0;2;3;225;129;31;18;15;6;14;9;4;8;10;6;8;8;7;3;14;94;95;69;37;3;4;5;7;23;7;8;9;2;4;7;1;3;1;8;450;142;28;31;13;15;43;13;75;25;5;10;134;5;3;14;2;16;155;13;21;19;8;6;4;8;4;13;2;14;5;5;1;4;3;7;285;79;265;86;40;13;21;6;8;7;10;0;6;11;1;0;3;4;38;4;2;10;12;2;2;1;3;2;2;0;0;1;2;0;0;2;0;0;1
240307;"gm. Goleszów";"cieszyński";"śląskie";12;12;27;47;3;2;8;4;13;2;3;4;3;5;9;7;4;1;1;2;518;445;32;13;21;17;23;8;2;2;8;15;43;9;8;2;25;287;196;165;369;6;6;12;11;33;10;44;5;6;5;24;3;3;3;11;647;296;49;68;97;28;51;32;141;15;15;13;18;11;9;16;23;31;305;23;41;27;12;8;11;15;15;31;7;45;14;3;5;5;5;8;693;240;934;327;93;30;36;4;37;11;19;5;9;16;3;17;0;34;92;6;4;30;12;4;11;4;3;3;4;1;1;1;4;2;2;3;0;1;2
240308;"gm. Hażlach";"cieszyński";"śląskie";7;7;41;42;7;7;5;5;12;5;7;11;7;8;8;7;2;3;3;3;305;254;37;20;34;7;35;13;17;24;13;12;23;15;14;11;24;174;176;130;69;2;4;12;8;43;19;13;10;5;6;8;5;5;3;19;833;176;34;56;62;52;39;34;348;31;7;268;44;21;15;29;19;23;253;22;26;19;16;14;15;18;14;6;5;70;7;2;6;3;12;11;489;221;391;81;33;27;44;2;38;19;13;10;2;64;3;32;5;15;71;5;4;31;4;2;5;4;5;1;7;0;2;0;1;0;1;0;1;0;1
240309;"gm. Istebna";"cieszyński";"śląskie";6;6;21;27;1;5;3;2;13;5;2;3;1;3;1;2;1;1;1;3;117;64;6;4;1;2;7;2;3;4;0;1;6;17;0;4;13;863;48;64;12;1;1;3;3;6;7;6;0;0;3;28;0;1;1;7;833;631;29;212;1587;24;62;100;82;17;3;7;15;12;2;17;9;96;225;18;65;21;21;14;11;33;30;10;4;4;8;2;7;3;5;19;242;61;295;50;21;8;8;5;1;12;2;1;2;2;0;4;0;26;141;8;2;8;4;4;1;6;3;1;11;0;1;1;2;0;3;0;0;0;1
