"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JEGER Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"KUCHTA Iwona Monika - KW BEZPARTYJNI SAMORZĄDOWCY";"KLONOWSKA Aurelia Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"KŁODNICKI Dariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"DOBUCKI Robert - KW BEZPARTYJNI SAMORZĄDOWCY";"ŁUGOWICZ Radosław - KW BEZPARTYJNI SAMORZĄDOWCY";"STEC Marta Agnieszka - KW BEZPARTYJNI SAMORZĄDOWCY";"WNUK Mateusz Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"WESOŁOWSKA Aleksandra Róża - KW BEZPARTYJNI SAMORZĄDOWCY";"ZIÓŁKOWSKI Radosław - KW BEZPARTYJNI SAMORZĄDOWCY";"LEŚNIAK Daniel Łukasz - KW BEZPARTYJNI SAMORZĄDOWCY";"WAŁĘSA Radosław Lech - KW BEZPARTYJNI SAMORZĄDOWCY";"PRZYJAZNY Przemysław - KW BEZPARTYJNI SAMORZĄDOWCY";"DZIUBA Magdalena - KW BEZPARTYJNI SAMORZĄDOWCY";"GRACZYK Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"MAJCHRZAK Karolina Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"PRZYBYLSKA Paulina Serafina - KW BEZPARTYJNI SAMORZĄDOWCY";"KĄCKI Marek Leszek - KW BEZPARTYJNI SAMORZĄDOWCY";"MUSIAŁ Justyna Agata - KW BEZPARTYJNI SAMORZĄDOWCY";"OLCZYK Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"SCHÄDLER Ewa Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TOMCZAK Jacek Jerzy - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ROLA Dobrosław Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BAUMGART Marek Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KRAKOWIAK Julia Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GNIATKOWSKI Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RACZKIEWICZ Mikołaj - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PATALAS Ewa Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JAZIC Jolanta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOBCZYK Agata - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SIEMIŃSKI Paweł Czesław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAŁYSZKA-ŁUKOMSKA Natalia - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BŁOCHOWIAK Arkadiusz Stanisław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KLONOWSKI Robert Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAWŁOWSKA Miranda Beata - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZABELSKI Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WOŚKOWIAK Wojciech Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KONOPA Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARCINIAK Jakub Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WIŚNIEWSKA Agnieszka Jadwiga - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"UEBERHAN Katarzyna - KW NOWA LEWICA";"KRETKOWSKA Katarzyna Maria - KW NOWA LEWICA";"MAJEWSKI Dawid - KW NOWA LEWICA";"MURAWA Dawid Paweł - KW NOWA LEWICA";"URBAŃSKA Beata Kinga - KW NOWA LEWICA";"TRZECIAK Katarzyna - KW NOWA LEWICA";"GARCZEWSKI Łukasz - KW NOWA LEWICA";"MAJERYK Emilia - KW NOWA LEWICA";"KANIA Henryk - KW NOWA LEWICA";"OWSIANNA Halina Maria - KW NOWA LEWICA";"SHOSTAK Jana - KW NOWA LEWICA";"DYLEWICZ Łukasz Mateusz - KW NOWA LEWICA";"ŁUBIŃSKI Daniel - KW NOWA LEWICA";"ANTKOWIAK Agnieszka Marzena - KW NOWA LEWICA";"GÓRALSKI Maciej Miłosz - KW NOWA LEWICA";"GRODZKA Elżbieta - KW NOWA LEWICA";"JERZYŃSKI Sławomir - KW NOWA LEWICA";"MARCINIAK Patryk Piotr - KW NOWA LEWICA";"LEWANDOWSKA-PIETRUSZKA Zuzanna Sara - KW NOWA LEWICA";"KUCHARSKI Michał Piotr - KW NOWA LEWICA";"SZYNKOWSKI VEL SĘK Szymon Andrzej - KW PRAWO I SPRAWIEDLIWOŚĆ";"WRÓBLEWSKI Bartłomiej Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"EMILEWICZ Jadwiga Katarzyna - KW PRAWO I SPRAWIEDLIWOŚĆ";"STRYJSKA Małgorzata Irena Aleksandra - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZYSK Tadeusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZERWIŃSKI Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"STRZELECKA Klaudia - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOMMERFELD Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUDZIAK Lidia Danuta - KW PRAWO I SPRAWIEDLIWOŚĆ";"NOWAK Barbara - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKIEWICZ Marian Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAGIEŁKA Janusz Aleksander - KW PRAWO I SPRAWIEDLIWOŚĆ";"KUŹ Aleksandra Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"WARGIN-TORCHAŁA Joanna Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"LESZCZYŃSKA Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRELA Maria Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"KMIEĆ Andrzej - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATYSIAK Mateusz Aleksander - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZYMKOWIAK Arleta Waleria - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŻELAZNY Filip - KW PRAWO I SPRAWIEDLIWOŚĆ";"TUCZYŃSKI Piotr Edward - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WAWRZYNIAK Piotr Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZYNDLER Dariusz Leszek - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZEGOREK Przemysław Marek - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"CHUDERSKI Sebastian Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MALICKI Paweł Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWIDERSKI Marcin Jan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRANKE Juliusz Robert - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MICHALIK Daniel Marcin - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GŁOWACKA Izabela - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DODA-WYSZYŃSKA Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STACHOWIAK Maria Teresa - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZCZESIAK Sylwia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JURKOWSKA Sara Beata - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MĘDLEWSKI Robert Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SŁOWIEŃSKA-WAWRZYNKIEWICZ Sandra Maria - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SPIESZALSKI Jędrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JATCZAK Monika Wioleta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PAECH Jan Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZŁAPKA Adam Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KIERZEK-KOPERSKA Katarzyna Renata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BOSACKI Marcin Rafał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ROTNICKA Jadwiga Kazimiera - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ZAWIEJA Bartosz Józef - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SOKOŁOWSKA Tatiana Marta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"NAWROCKA Elżbieta Antonina - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WIELOCH Mirosław Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYBYLSKA Patrycja Natalia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STERCZEWSKI Franciszek Wojciech - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MAZUREK Marta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ZENKA-PODLASZEWSKA Dominika - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BRYLEWSKI Maciej Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KARCZEWSKA-KRZEMIŃSKA Beata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LISIECKA-PAWEŁCZAK Maria Magdalena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STASIAK Michał Dominik - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZYMCZAK Zuzanna Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GARSZTKA Przemysław Zenon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GANOWICZ Grzegorz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
302101;"m. Luboń";"poznański";"wielkopolskie";14;14;102;27;12;10;15;4;17;11;22;20;7;24;24;15;11;23;10;8;19;17;1275;834;169;49;182;70;52;100;21;190;11;70;26;38;19;38;24;41;39;113;710;380;157;302;87;154;24;65;38;38;38;24;21;39;6;27;8;12;71;23;1624;987;931;38;70;44;65;29;70;58;22;9;11;7;12;12;5;11;20;43;515;182;83;46;22;45;37;10;18;50;32;18;33;17;25;4;11;16;22;5168;546;717;334;243;130;150;225;141;214;244;44;45;37;40;40;65;19;147
302102;"m. Puszczykowo";"poznański";"wielkopolskie";7;7;22;7;5;0;0;0;4;6;4;6;1;2;3;1;3;5;1;0;7;3;401;189;42;34;41;26;16;28;6;58;4;13;5;5;8;12;6;9;9;27;169;111;42;41;22;24;7;21;5;8;22;8;2;9;2;8;1;3;14;11;417;516;260;17;26;14;31;4;12;15;2;8;1;0;7;4;7;1;4;9;181;59;35;9;7;6;8;1;4;9;8;3;8;5;2;0;4;2;0;2093;239;251;86;81;33;21;17;20;104;57;9;9;2;11;18;12;5;78
302103;"gm. Buk";"poznański";"wielkopolskie";6;6;36;22;10;4;7;5;5;4;6;8;2;9;7;3;4;1;5;3;7;8;342;312;90;50;63;26;71;30;7;83;9;8;11;7;4;20;5;13;13;52;190;127;34;34;24;21;10;15;7;10;5;7;26;11;0;6;2;5;13;5;583;1023;369;25;22;13;30;5;17;25;8;6;3;0;11;1;4;13;9;27;221;72;20;13;5;11;10;11;17;25;16;10;9;5;7;1;1;3;9;2287;90;140;23;27;34;22;18;30;32;44;9;1;6;5;14;11;6;15
302104;"gm. Czerwonak";"poznański";"wielkopolskie";15;15;75;24;19;4;17;8;12;6;19;8;8;19;22;15;7;11;17;1;14;7;978;875;141;78;103;67;24;71;22;166;19;58;26;21;15;36;10;25;30;103;529;546;137;160;80;59;21;53;15;47;34;28;13;32;9;26;10;10;61;28;1145;755;689;42;35;28;42;882;32;18;7;8;9;9;12;5;10;5;14;23;460;123;68;64;15;28;28;9;12;45;29;17;12;14;17;5;3;12;7;4201;596;943;301;205;145;136;56;127;218;181;53;38;38;32;44;46;25;141
302105;"gm. Dopiewo";"poznański";"wielkopolskie";16;16;77;23;16;8;9;20;13;14;23;12;9;16;20;17;4;14;9;3;20;24;1390;838;201;63;133;72;73;134;15;501;28;70;37;29;12;46;14;31;33;119;771;353;116;265;67;85;26;72;20;41;32;23;21;26;8;25;5;5;67;21;1163;1195;648;48;53;42;62;12;44;40;15;14;4;5;15;9;6;8;16;33;544;244;96;39;7;34;28;11;15;62;40;16;30;17;24;7;8;10;17;5248;784;771;220;426;203;134;188;308;378;215;87;37;26;79;54;66;25;184
302106;"gm. Kleszczewo";"poznański";"wielkopolskie";4;4;29;4;3;5;4;1;23;0;9;4;2;5;15;8;4;21;3;0;5;8;423;283;54;72;49;112;25;30;7;91;8;38;11;8;8;23;8;15;13;84;212;100;39;109;28;18;10;18;7;20;5;4;4;10;1;5;3;3;21;8;408;548;271;27;19;7;9;3;20;12;9;0;7;0;7;2;3;3;8;25;217;74;24;10;7;17;12;5;2;20;18;9;7;2;4;2;3;6;10;1423;244;231;43;41;71;83;15;56;88;75;9;14;7;18;23;50;27;51
302107;"gm. Komorniki";"poznański";"wielkopolskie";14;14;85;21;10;10;7;11;13;14;17;13;6;13;18;12;5;12;6;4;11;20;1429;738;198;79;170;71;65;91;19;249;23;60;19;19;22;39;16;36;34;106;645;288;95;217;52;687;26;42;16;30;35;20;10;29;5;38;10;9;52;19;1071;896;702;45;54;40;49;20;47;26;6;2;15;6;20;13;5;3;21;34;521;189;82;18;14;29;23;12;13;68;39;16;14;14;17;8;9;14;11;4483;665;644;258;444;128;109;1816;145;233;190;55;29;30;41;34;54;26;104
302108;"gm. Kostrzyn";"poznański";"wielkopolskie";11;11;59;16;14;8;9;5;9;18;25;10;4;9;18;9;4;12;6;1;14;7;600;373;61;122;83;330;29;52;16;103;14;38;26;14;17;34;5;21;23;84;350;179;65;116;54;59;15;31;19;25;14;14;12;16;4;22;6;9;37;20;952;769;976;30;29;29;52;15;26;31;174;6;10;2;14;7;5;18;13;29;435;97;48;16;14;34;25;12;9;50;33;16;16;16;21;4;11;8;12;1802;327;555;73;295;98;137;34;115;75;123;13;30;12;12;41;39;27;53
302109;"gm. Kórnik";"poznański";"wielkopolskie";25;25;108;35;16;7;19;3;22;15;28;14;9;15;25;14;13;22;12;1;12;20;1341;802;159;89;140;84;34;107;24;191;32;46;28;28;33;48;20;46;44;776;682;391;117;266;64;88;22;51;38;31;30;10;10;21;11;48;5;12;55;25;1538;978;680;45;63;28;55;20;57;61;13;8;11;7;13;19;12;5;21;410;709;229;81;41;18;35;34;13;10;96;53;27;21;11;27;8;6;30;27;4595;722;767;146;182;152;122;93;166;236;250;36;822;21;53;39;67;24;147
302110;"gm. Mosina";"poznański";"wielkopolskie";28;28;104;38;13;9;14;14;14;18;24;33;6;21;57;10;10;26;12;1;7;19;1185;767;145;120;197;58;61;109;12;191;14;69;31;41;32;106;32;42;58;141;667;339;109;185;80;84;27;72;63;43;26;23;18;53;7;32;14;17;87;28;2041;1321;1062;65;69;60;82;22;61;46;16;7;19;2;19;14;17;13;27;97;615;242;106;50;30;51;41;18;25;60;33;19;19;23;22;15;6;22;20;5410;457;785;185;289;148;105;97;124;178;175;29;51;21;41;61;64;19;109
302111;"gm. Murowana Goślina";"poznański";"wielkopolskie";13;13;42;16;18;5;8;5;11;5;10;12;4;14;9;8;7;8;12;3;9;5;601;426;64;49;75;46;20;50;14;102;8;29;32;14;14;16;4;22;22;67;356;320;55;147;36;52;10;42;8;10;15;6;11;12;7;31;10;8;35;25;754;807;473;26;30;26;35;71;27;24;7;5;5;0;15;9;5;4;9;11;267;90;31;23;11;12;26;8;6;33;22;17;7;6;11;5;6;5;6;2428;279;389;94;128;99;114;24;63;83;100;31;10;13;22;18;47;8;66
302112;"gm. Pobiedziska";"poznański";"wielkopolskie";17;17;69;19;16;6;11;6;12;7;17;15;5;9;17;4;4;13;8;2;7;11;653;408;78;140;83;95;21;102;10;93;11;56;16;19;17;26;17;26;17;75;346;286;56;63;35;41;20;35;18;35;21;3;7;20;6;15;126;8;50;20;920;1051;692;27;34;34;53;12;30;32;8;4;6;4;17;7;6;13;18;28;350;143;59;24;11;32;14;6;13;46;32;14;19;12;14;6;5;4;11;3126;368;424;102;117;72;144;61;95;142;199;25;20;13;30;27;55;15;69
302113;"gm. Rokietnica";"poznański";"wielkopolskie";10;10;56;24;9;3;11;2;12;3;15;11;3;13;17;10;3;9;9;2;16;13;884;443;131;67;98;63;37;93;17;163;18;54;16;22;20;34;8;27;25;92;470;242;73;135;53;50;18;38;15;26;17;17;10;24;4;20;6;9;64;12;758;759;517;38;31;25;32;10;28;18;11;7;7;1;13;6;6;8;3;14;348;129;50;22;11;17;20;13;7;54;34;11;15;13;10;17;3;13;15;3094;623;615;174;609;237;93;56;123;172;160;106;26;20;28;42;51;16;167
302114;"gm. Stęszew";"poznański";"wielkopolskie";8;8;33;12;6;5;2;2;7;4;7;10;3;7;14;4;5;5;6;1;6;14;350;229;42;51;57;17;1023;53;9;66;12;14;16;15;10;13;9;12;13;48;246;128;60;52;38;70;9;28;8;13;14;14;4;27;2;15;4;10;30;19;782;657;517;33;28;20;23;22;20;21;7;6;9;4;10;104;5;3;12;26;258;85;24;18;8;39;25;4;15;33;12;13;14;6;14;1;4;4;5;1725;166;419;72;61;81;44;76;76;58;75;22;12;7;19;13;37;5;40
302115;"gm. Suchy Las";"poznański";"wielkopolskie";8;8;53;10;7;5;10;2;11;3;12;4;5;8;8;4;1;5;9;0;4;10;791;483;114;53;85;48;26;31;15;111;13;52;29;23;2;27;9;26;20;52;431;279;78;130;33;42;17;30;11;21;26;8;16;21;1;12;4;6;49;15;736;623;546;29;38;32;26;15;16;15;8;4;3;1;9;4;8;5;5;16;302;125;47;23;10;20;20;7;7;42;18;11;16;11;11;3;4;6;15;3502;674;515;144;195;128;69;51;78;205;136;128;24;21;37;24;49;21;165
302116;"gm. Swarzędz";"poznański";"wielkopolskie";28;28;157;51;33;17;23;13;30;17;45;30;13;27;33;25;13;37;15;3;25;24;1672;1123;199;822;170;631;59;108;35;262;30;135;43;41;61;54;17;68;50;180;1121;632;189;283;107;136;52;102;45;58;62;17;31;52;12;41;9;9;121;50;2390;1650;1935;67;152;65;109;28;68;69;34;6;18;16;33;31;21;17;24;61;952;328;106;57;32;66;53;17;28;103;66;31;32;28;33;10;12;19;41;7542;937;1144;292;298;250;1867;76;220;326;289;58;56;42;60;95;126;360;199
302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";20;20;91;24;20;6;7;13;16;6;18;7;2;22;18;14;7;22;6;2;11;18;1211;697;201;101;122;51;76;126;16;324;40;62;26;21;20;47;11;39;25;107;641;338;102;192;59;74;15;53;19;36;30;39;18;17;8;42;9;9;68;31;1194;1201;662;41;52;33;50;11;44;86;9;94;8;3;12;9;12;7;10;33;474;210;72;16;17;29;20;12;12;55;45;21;29;24;14;9;3;15;26;5358;860;932;246;340;568;115;51;170;308;184;91;40;13;57;130;103;24;218
306401;"Poznań";"Poznań";"wielkopolskie";260;260;1339;350;228;117;230;118;193;150;215;169;65;249;297;150;85;110;131;37;162;211;18289;15098;3497;1074;1648;1225;557;1631;332;3173;245;1093;343;429;275;756;375;578;671;1602;15949;9413;4409;4502;1369;1475;709;1488;680;1242;1360;537;429;425;138;640;92;252;1636;719;26691;13124;14946;906;1233;781;1054;362;1149;467;152;106;140;71;300;181;132;130;178;546;8845;3418;1381;489;223;662;362;214;186;832;610;217;350;302;250;116;114;163;292;85579;11514;13955;3526;5122;2781;1642;829;2001;7058;4117;2450;588;602;1063;999;1029;436;4363
