"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FENDRYCH Ewa Edyta - KW BEZPARTYJNI SAMORZĄDOWCY";"BAGIŃSKI Mikołaj Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"BIENIECKI Maciej Bogumił - KW BEZPARTYJNI SAMORZĄDOWCY";"KULA Damian Łukasz - KW BEZPARTYJNI SAMORZĄDOWCY";"NABRDALIK Marzena Józefa - KW BEZPARTYJNI SAMORZĄDOWCY";"GRABOWSKA Aleksandra Katarzyna - KW BEZPARTYJNI SAMORZĄDOWCY";"SZWANKOWSKI Sylwester Waldemar - KW BEZPARTYJNI SAMORZĄDOWCY";"SKOWRON Maksym Mirosław - KW BEZPARTYJNI SAMORZĄDOWCY";"KŁÓSEK Aleksandra Sonia - KW BEZPARTYJNI SAMORZĄDOWCY";"FRYC Mirosława Zofia - KW BEZPARTYJNI SAMORZĄDOWCY";"WŁODARCZYK Magda Ala - KW BEZPARTYJNI SAMORZĄDOWCY";"TUREK Aneta Magdalena - KW BEZPARTYJNI SAMORZĄDOWCY";"BILNIK Katarzyna Agnieszka - KW BEZPARTYJNI SAMORZĄDOWCY";"BIAŁKOWSKI Marcin Tadeusz - KW BEZPARTYJNI SAMORZĄDOWCY";"SIEMASZKO Michał Szymon - KW BEZPARTYJNI SAMORZĄDOWCY";"ZIMA Damian Edward - KW BEZPARTYJNI SAMORZĄDOWCY";"WNUK Kamil Wiesław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MOTYKA Miłosz Maksymilian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ŻELICHOWSKI Czesław Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JANOSIK Justyna Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PODSIADŁO Piotr Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MROZOWSKI Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PILAREK-JAGODZIŃSKA Agnieszka Krystyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BARCLAY Emil Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ZENTKOWSKA Marta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KAŁUŻA Anna Grażyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUDNICKI Grzegorz Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MASŁOWSKA Magdalena - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BROŻEK Martyna Aniela - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BORDA Krzysztof Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUSEK Agnieszka Krzysztofa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PEZDA Marek Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARCIŃSKI Krzysztof Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PANEK Jacek Bogusław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CZARZASTY Włodzimierz - KW NOWA LEWICA";"ADAMCZYK Rafał Jan - KW NOWA LEWICA";"BOROWIEC Bożena Ewa - KW NOWA LEWICA";"GRELEWICZ Wiktoria - KW NOWA LEWICA";"WŁOCH Monika Barbara - KW NOWA LEWICA";"KWIECIEŃ Sylwia Edyta - KW NOWA LEWICA";"NITWINKO Wojciech Marcin - KW NOWA LEWICA";"DZIUBKA Marta - KW NOWA LEWICA";"BARSKA Gabriela Monika - KW NOWA LEWICA";"DEBABOWA Wiktoria - KW NOWA LEWICA";"CHUDZIKIEWICZ Wacław Michał - KW NOWA LEWICA";"HABERA Marcin Władysław - KW NOWA LEWICA";"ŻOŁĘDZKA Anna Jolanta - KW NOWA LEWICA";"WALCZYK-MADEJ Dorota Agnieszka - KW NOWA LEWICA";"WRONA Mateusz Roman - KW NOWA LEWICA";"KIECKA Mateusz Grzegorz - KW NOWA LEWICA";"CZUBILIŃSKA Anna Ewa - KW NOWA LEWICA";"LITEWKA Łukasz Karol - KW NOWA LEWICA";"MALIK Ewa Danuta - KW PRAWO I SPRAWIEDLIWOŚĆ";"ANDZEL Waldemar Franciszek - KW PRAWO I SPRAWIEDLIWOŚĆ";"WARWAS Robert Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"STARZYCKI Dariusz Karol - KW PRAWO I SPRAWIEDLIWOŚĆ";"NOWICKA Danuta Czesława - KW PRAWO I SPRAWIEDLIWOŚĆ";"BACZYŃSKA Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"DORS Gabriel - KW PRAWO I SPRAWIEDLIWOŚĆ";"WELON Grażyna Danuta - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIĄTEK Zbigniew Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"GACEK Renata Helena - KW PRAWO I SPRAWIEDLIWOŚĆ";"TRAWCZYŃSKA Ewa Irena - KW PRAWO I SPRAWIEDLIWOŚĆ";"OCIEPKA Piotr Radosław - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASKOWSKA Barbara - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOZIOŁ Barbara Danuta - KW PRAWO I SPRAWIEDLIWOŚĆ";"RESZKE Jerzy Paweł - KW PRAWO I SPRAWIEDLIWOŚĆ";"CHŁOPEK Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOKOŁOWSKI Tadeusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PANEK Zbigniew Bolesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"JANOSKA Jerzy Jan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOLCZYK Marcin Czesław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JAKÓBIK Artur Karol - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PAŁKA Krzysztof Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"POGAN Maciej Tomasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAJKA Arkadiusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOZA Małgorzata Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZIÓŁKOWSKA Patrycja Natalia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOKOSZKA Andrzej Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KACIK Sylwia Agnieszka - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"TREPKA Przemysław Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STOLORZ Olga Zofia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SIKORA Waldemar - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JAGIELSKA Ewelina - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"OLEJNIK Adrian Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BAŃKA Paulina Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAZUR Paweł Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SAŁUGA Wojciech Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DOLNIAK Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BOCHENEK Mateusz Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STACHOWICZ Katarzyna Karolina - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MAZUR Mirosław Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DUDZIŃSKI Krzysztof - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZOTA Ewa Marzena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BANAŚ Zdzisław Czesław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JELONEK Iwona Aneta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WĘGRZYNOWICZ Marek Romuald - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WĄSOWICZ Teresa - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PIŁKA Grzegorz Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ZAKRZEWSKA-ZAMORA Anna Krystyna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KULIK Grażyna Danuta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SMÓŁKA Bartosz Tomasz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"LIEGMANN Elżbieta Joanna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MAJ Edyta Małgorzata - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KLESZCZEWSKI Jarosław Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"FLASZA Janusz Edward - KW POLSKA JEST JEDNA";"KAŃTOCH Piotr Zygmunt - KW POLSKA JEST JEDNA";"KRZYNÓWEK Anna Elżbieta - KW POLSKA JEST JEDNA";"GRĘŹLIKOWSKA Marzena Katarzyna - KW POLSKA JEST JEDNA";"KOZIOŁ Ksymena Joanna - KW POLSKA JEST JEDNA";"SZOPA Paweł Ludwik - KW POLSKA JEST JEDNA";"SZUMA Dobiesław Kazimierz - KW POLSKA JEST JEDNA";"MICHALIK Bernarda Henryka - KW POLSKA JEST JEDNA";"WÓJCIK Monika Anna - KW POLSKA JEST JEDNA";"JACHYM Ewa Teresa - KW POLSKA JEST JEDNA";"KNAPCZYK Paweł Borys - KW POLSKA JEST JEDNA";"BARAN Piotr Andrzej - KW POLSKA JEST JEDNA";"JANUSZEK Józef Edward - KW POLSKA JEST JEDNA";"PIETRAGA Jan - KW POLSKA JEST JEDNA"
1;"Szkoła Podstawowa nr 11, ul. Władysława Broniewskiego 12, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;3;1;2;4;0;1;0;0;0;1;1;0;2;0;0;3;24;5;2;4;17;2;2;0;0;0;0;3;0;0;0;1;0;0;38;70;3;2;1;2;0;5;0;0;1;0;3;0;1;1;0;96;56;88;14;2;1;13;0;2;1;1;1;0;0;3;0;1;3;0;7;5;0;1;0;1;0;1;0;0;0;0;1;1;0;0;2;41;144;11;16;1;16;2;3;2;1;0;2;0;0;2;0;3;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0
2;"Przedszkole Miejskie nr 5, ul. Zwycięstwa 21, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;11;1;1;4;1;3;0;0;0;1;2;1;1;0;0;1;31;6;7;3;22;1;1;1;1;1;0;3;0;0;1;0;0;1;54;115;12;4;3;5;1;2;0;3;0;0;0;1;0;1;2;99;103;145;35;6;5;17;3;1;3;1;0;2;0;3;1;2;1;5;35;6;7;1;0;0;2;6;1;4;0;1;1;0;0;1;3;40;202;24;19;5;17;1;2;1;2;2;6;0;3;6;0;4;1;3;1;1;0;0;1;1;0;3;0;0;1;0;0
3;"Powiatowy Młodzieżowy Dom Kultury, ul. Powstańców Śląskich 1, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;13;2;2;1;1;3;0;0;3;1;2;1;0;2;0;0;47;4;1;11;14;3;1;0;1;0;0;2;1;0;1;0;0;2;63;117;4;4;1;2;1;2;0;1;0;2;1;1;1;0;1;75;104;130;26;1;5;25;1;6;0;3;3;3;3;2;2;1;0;3;21;6;3;0;1;3;2;2;1;1;1;0;1;0;1;2;1;39;200;9;8;1;17;3;2;0;5;0;0;5;0;16;1;2;4;7;0;0;1;1;0;0;0;0;0;0;0;0;0
4;"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;6;0;2;2;0;1;0;0;1;0;0;1;0;0;0;1;32;14;4;11;12;0;6;1;0;0;0;4;2;1;1;0;0;1;43;95;8;1;1;1;1;0;1;2;1;0;0;0;0;0;0;89;93;143;40;4;5;12;2;3;3;4;2;2;2;3;0;1;1;4;21;4;4;3;0;1;1;2;1;1;1;0;0;0;0;0;1;50;239;14;19;1;22;3;1;2;5;0;1;1;0;5;1;4;1;7;1;2;1;1;2;0;0;1;0;0;0;0;1
5;"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;5;1;0;1;5;2;0;1;0;0;0;1;3;0;0;2;42;8;2;5;12;0;3;2;1;1;2;3;5;1;0;0;2;3;75;122;5;4;0;1;0;4;1;1;0;1;1;0;0;0;0;98;92;136;26;4;7;18;1;7;3;3;0;1;1;4;0;2;3;4;22;4;4;2;1;0;3;3;1;0;3;0;1;0;0;1;3;50;255;16;28;1;24;6;6;1;3;0;1;3;0;8;0;0;0;6;0;2;0;1;0;0;0;1;1;0;0;0;0
6;"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;9;0;3;0;0;1;1;0;1;0;0;0;1;0;4;0;39;3;0;11;16;1;2;2;5;3;2;4;1;0;1;0;1;1;73;98;9;6;1;1;0;2;4;0;0;0;5;0;0;1;0;110;80;124;32;1;5;26;5;1;5;1;3;0;1;3;1;0;3;3;23;5;2;1;4;0;3;6;0;0;0;0;0;3;2;4;0;42;200;17;16;1;23;2;3;1;10;0;1;2;0;5;0;0;0;4;1;3;1;1;0;0;1;0;0;0;0;3;1
7;"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;3;2;2;0;0;1;1;1;1;1;0;0;1;1;0;2;41;4;3;7;12;3;1;0;2;2;1;2;0;0;2;3;0;0;41;92;5;3;2;2;1;1;0;2;0;0;2;0;0;0;0;94;76;154;27;6;5;27;0;1;4;1;1;3;4;2;2;2;4;6;14;3;1;1;1;0;2;0;2;0;1;0;0;3;4;0;4;44;158;21;14;0;28;3;2;1;7;2;1;2;1;1;1;1;2;7;1;4;0;0;1;0;1;0;2;1;0;0;0
8;"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;8;2;2;1;1;2;1;0;1;0;0;1;0;2;0;3;73;11;3;14;37;1;6;0;1;6;3;3;3;0;6;1;1;2;71;73;7;5;2;2;3;7;0;1;0;0;0;1;0;1;1;201;76;86;29;3;5;19;1;4;3;1;3;3;0;2;0;3;2;6;42;13;6;0;1;2;5;3;2;0;0;2;3;2;1;0;2;87;274;58;55;6;60;13;4;4;4;1;0;5;1;6;1;1;2;7;0;2;2;0;3;0;0;2;1;0;1;0;1
9;"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;3;2;1;1;0;1;1;0;1;1;2;0;2;0;0;0;68;5;4;5;16;2;8;0;1;1;0;3;3;0;0;0;0;5;52;65;8;4;0;4;2;2;0;4;0;0;0;2;1;0;0;84;78;125;31;2;1;9;1;3;2;1;1;1;3;4;1;2;1;0;28;7;3;2;0;1;2;2;4;1;0;1;1;4;1;1;4;77;224;20;33;3;16;9;3;1;0;0;0;4;0;3;1;4;4;4;0;1;1;0;4;0;0;0;0;0;0;2;0
10;"Centrum Usług Społecznych w Będzinie, ul. 1 Maja 2/41, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;5;0;3;5;2;3;0;2;0;0;1;3;1;0;3;5;53;11;2;2;19;0;1;1;4;1;2;4;1;1;0;1;1;1;69;94;4;3;1;2;0;3;3;1;0;0;0;0;0;0;2;120;74;143;33;4;7;11;0;0;5;0;3;1;0;3;0;1;4;4;35;2;3;2;0;1;1;5;3;1;1;0;1;0;0;2;6;35;166;10;20;0;17;8;2;4;2;0;0;1;0;4;0;2;0;5;0;0;2;0;0;0;0;0;0;1;1;0;0
11;"Ośrodek Kultury, ul. Stanisława Małachowskiego 43, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;8;2;1;0;2;1;1;0;0;0;1;0;0;1;0;3;30;4;2;6;6;3;4;0;6;3;1;1;3;2;2;0;0;2;35;57;5;1;0;0;0;2;2;1;0;0;0;1;0;0;1;81;58;109;33;4;1;6;2;0;2;1;1;5;5;1;0;1;2;3;29;3;0;1;2;0;4;3;2;0;1;0;1;0;0;1;6;56;154;3;10;2;15;2;3;0;1;0;0;4;1;5;0;2;1;6;2;0;1;0;0;0;0;0;0;0;1;0;0
12;"Centrum Kształcenia Zawodowego i Ustawicznego w Będzinie, ul. 11 Listopada 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;4;1;0;3;0;1;0;0;0;0;2;1;1;0;1;1;31;4;1;4;13;1;1;1;0;4;0;2;0;0;2;2;1;1;57;90;4;9;2;1;2;5;3;0;0;0;1;0;0;0;0;70;75;102;17;2;1;7;1;1;4;0;0;0;0;3;1;1;2;1;14;3;2;2;1;0;3;1;0;0;1;1;0;0;0;0;3;32;121;10;19;0;13;6;1;3;0;1;1;1;0;3;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0
13;"Szkoła Podstawowa nr 10, ul. Sportowa 2, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;3;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;19;3;1;3;8;1;1;0;0;0;0;2;0;0;0;0;0;0;29;48;4;2;2;0;0;2;1;0;0;2;0;0;0;0;0;66;55;95;26;1;6;7;0;1;0;2;0;0;3;0;0;2;0;2;16;1;1;1;2;1;3;1;3;0;2;1;1;0;0;0;0;14;103;14;15;0;8;2;2;1;0;1;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0
14;"II Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, ul. Teatralna 5, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;2;0;0;1;0;2;0;0;1;0;2;3;1;0;0;1;15;4;3;7;5;1;0;0;0;0;1;2;0;0;1;0;0;2;31;23;6;0;0;0;1;1;0;1;0;0;0;0;0;0;0;24;33;47;11;2;1;8;0;1;1;0;0;0;1;1;0;0;1;0;11;4;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;26;76;3;11;0;7;0;3;3;0;0;0;4;0;6;0;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
15;"Szkoła Podstawowa nr 8, ul. Orla 4, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;2;0;0;1;2;1;2;0;0;1;0;0;0;0;0;0;34;5;0;6;12;0;2;1;1;0;0;1;1;1;0;0;1;0;25;42;1;3;0;0;0;0;1;1;0;1;0;0;1;1;0;62;47;52;33;2;3;5;5;1;3;0;1;1;0;3;0;2;0;2;14;2;3;0;0;0;3;3;0;1;0;1;0;1;0;1;1;34;123;10;17;2;9;1;4;3;2;0;0;0;0;2;0;1;0;3;0;0;0;1;0;2;0;0;0;0;1;0;0
16;"Przedszkole Miejskie nr 10, ul. Kielecka 11, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;8;4;1;1;0;2;0;1;0;1;2;3;1;0;0;3;60;13;2;10;18;7;3;1;3;4;5;3;3;0;0;2;1;8;80;116;7;3;2;3;0;4;4;1;0;0;2;0;0;0;0;163;126;201;94;3;11;17;0;3;2;3;0;4;2;4;0;2;0;12;40;7;4;3;3;2;3;2;2;2;2;2;1;0;0;0;6;65;256;10;25;4;49;4;1;4;0;0;2;1;4;6;0;0;1;15;1;3;1;2;2;1;0;1;0;1;0;1;4
17;"Szkoła Podstawowa nr 6, ul. Marii Konopnickiej 13, 42-506 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;9;0;1;0;0;3;1;0;2;0;1;0;0;1;2;1;53;4;2;12;12;0;6;2;4;3;2;5;1;0;0;0;0;1;64;133;11;0;2;1;2;1;3;5;0;0;0;0;1;2;0;182;90;162;58;10;10;13;2;1;2;1;1;2;3;3;3;5;6;9;41;8;6;5;3;0;3;2;2;1;0;1;5;1;1;0;1;47;218;30;24;4;35;4;4;1;2;0;1;8;1;7;0;3;1;7;0;0;0;0;3;1;0;0;2;2;2;1;0
18;"Szkoła Podstawowa nr 3, ul. Hugona Kołłątaja 63, 42-506 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;7;1;2;1;1;3;0;2;1;0;0;0;1;0;0;0;46;19;2;5;26;5;3;1;1;1;2;3;0;1;3;0;1;0;71;122;9;2;0;4;0;3;0;1;0;1;2;2;0;1;0;122;92;133;32;7;6;17;1;2;3;1;3;1;5;3;0;6;0;2;36;5;3;4;1;1;2;3;0;0;2;0;2;0;2;1;2;58;280;7;32;2;40;4;4;2;0;1;0;2;0;5;0;2;1;6;1;2;0;0;0;0;0;0;0;0;3;0;0
