"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALISZEWSKA Iwona Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"JAKUBOWSKI Andrzej Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SYCHOWSKI Marcin Przemysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GAWŁOWSKI Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ŁAGOCKI Marek Adam - KWW PAKT SENAT DLA OBYWATELI";"KURIATA Jan - KWW TAK DLA SENATU RP JAN KURIATA"
1;"Dom Ludowy w Mścicach, ul. Południowa 11/sala nr 1, 76-031 Mścice";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;126;261;112;601;93;134
2;"Dom Ludowy w Mścicach, ul. Południowa 11/sala nr 2, 76-031 Mścice";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;26;72;11;89;12;17
3;"Gminny Ośrodek Kultury w Będzinie, Będzino 21, 76-037 Będzino";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;67;181;63;246;53;35
4;"Świetlica w Borkowicach, Borkowice 3, 76-038 Dobrzyca";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;33;201;72;177;36;39
5;"Szkoła Podstawowa w Dobrzycy, Dobrzyca 53, 76-038 Dobrzyca";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;73;264;64;247;49;68
6;"Dom Ludowy w Tymieniu, Tymień 45A, 76-035 Tymień";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;50;135;34;188;44;28
7;"Świetlica Wiejska w Dobrem, Dobre 32, 76-037 Dobre";320901;"gm. Będzino";"koszaliński";"zachodniopomorskie";1;1;23;83;24;114;23;25
1;"Centrum Zdrowia i Opieki Społecznej w Biesiekierzu, Biesiekierz 13, 76-039 Biesiekierz";320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";1;1;104;292;95;392;79;95
2;"Szkoła Podstawowa w Starych Bielicach, Stare Bielice ul. Kościelna 5, 76-039 Biesiekierz";320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";1;1;110;229;78;516;61;108
3;"Świetlica Wiejska w Kraśniku Koszalińskim, Kraśnik Koszaliński 5, 76-039 Biesiekierz";320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";1;1;60;103;44;169;27;31
4;"Świetlica Wiejska w Nowych Bielicach, ul. Parkowa 33, 76-039 Nowe Bielice";320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";1;1;68;117;50;444;55;90
5;"Domu Pomocy Społecznej w Parsowie, Parsowo 25, 76-039 Biesiekierz";320902;"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";1;1;2;4;1;2;3;2
1;"Szkoła Podstawowa im. Henryka Sienkiewicza, ul. Głowackiego 7d, 76-020 Bobolice";320903;"gm. Bobolice";"koszaliński";"zachodniopomorskie";1;1;156;368;67;423;95;74
2;"Przedszkole w Bobolicach, ul. Szkolna 1, 76-020 Bobolice";320903;"gm. Bobolice";"koszaliński";"zachodniopomorskie";1;1;78;212;53;239;68;58
3;"Urząd Miejski, ul. Ratuszowa 1, 76-020 Bobolice";320903;"gm. Bobolice";"koszaliński";"zachodniopomorskie";1;1;57;130;47;164;43;31
4;"Świetlica wiejska, Chmielno 36, 76-020 Bobolice";320903;"gm. Bobolice";"koszaliński";"zachodniopomorskie";1;1;14;67;24;44;15;13
