"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZELIGA Sławomir Kazimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"BOGDANOWICZ Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LATAWIEC Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BREJZA Ryszard Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WEGNER Łukasz Mikołaj - KWW EUROPEJSKA LEWICA"
1;"Filia Nr 4 Biblioteki Miejskiej im. Jana Kasprowicza, ul. Poprzeczna 29, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;77;212;50;483;64
2;"Szkoła Podstawowa Nr 1 im. Św. Wojciecha, ul. Toruńska 46 - 48, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;53;245;41;503;34
3;"Szkoła Podstawowa Nr 1 im. Św. Wojciecha, ul. Toruńska 46 - 48, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;30;173;39;277;40
4;"Przedszkole Nr 14 ""Muzyczna Kraina"", ul. Marii Curie-Skłodowskiej 41, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;80;296;76;464;57
5;"Biuro Administracji Kujawskiej Spółdzielni Mieszkaniowej, ul. Toruńska 60, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;56;179;30;388;56
6;"Środowiskowy Dom Samopomocy, ul. Świętego Ducha 90, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;53;176;39;474;50
7;"I Liceum Ogólnokształcące im. Jana Kasprowicza z Oddziałami Dwujęzycznymi, ul. 3 Maja 11, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;46;180;31;303;56
8;"Kujawskie Centrum Kultury, ul. Kasztelańska 22, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;57;190;49;380;64
9;"Biblioteka Miejska im. Jana Kasprowicza, ul. Jana Kilińskiego 16, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;64;210;39;324;63
10;"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej sp. z o. o., ul. ks. Piotra Wawrzyniaka 33, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;49;205;48;385;51
11;"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej sp. z o. o., ul. ks. Piotra Wawrzyniaka 33, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;35;173;25;255;37
12;"Przedszkole Nr 14 ""Muzyczna Kraina"", ul. Świętego Ducha 86, 88-100 Inowrocław";40701;"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";1;1;70;218;42;424;41
