"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZYWACZEWSKA Kamila - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUDA Jolanta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAJĄC Józef - KWW JÓZEFA ZAJĄCA"
1;"Budynek PKP, ul. Kolejowa 12, 22-170 Rejowiec Fabryczny";60301;"m. Rejowiec Fabryczny";"chełmski";"lubelskie";1;1;269;95;204
2;"Szkoła Podstawowa im. Mikołaja Reja, ul. Lubelska 18, 22-170 Rejowiec Fabryczny";60301;"m. Rejowiec Fabryczny";"chełmski";"lubelskie";1;1;249;93;273
3;"Centrum Aktywności Społeczno-Gospodarczej ""Stara Kotłownia"", ul. Wschodnia 32, 22-170 Rejowiec Fabryczny";60301;"m. Rejowiec Fabryczny";"chełmski";"lubelskie";1;1;323;122;409
1;"Urząd Gminy, ul. Chełmska 1, 22-135 Białopole";60302;"gm. Białopole";"chełmski";"lubelskie";1;1;280;113;275
2;"Świetlica wiejska, Raciborowice 31, 22-135 Białopole";60302;"gm. Białopole";"chełmski";"lubelskie";1;1;113;43;95
3;"Publiczna Szkoła Podstawowa, Strzelce 43 B, 22-135 Białopole";60302;"gm. Białopole";"chełmski";"lubelskie";1;1;146;54;104
1;"Świetlica, ul. Sportowa 18, 22-100 Srebrzyszcze";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;143;72;225
2;"Oddział Przedszkolny Szkoły Podstawowej w Okszowie, ul. Chełmska 14A, 22-105 Okszów-Kolonia";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;94;40;204
3;"Dom Pomocy Społecznej w Nowinach, Nowiny 101, 22-105 Nowiny";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;33;36;39
4;"Remiza OSP, Zarzecze 9A, 22-106 Zarzecze";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;46;19;72
5;"Świetlica, Horodyszcze 43b, 22-151 Horodyszcze";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;160;77;260
6;"Szkoła Podstawowa, Staw 72, 22-151 Staw";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;121;50;155
7;"Szkoła Podstawowa, Stołpie 11, 22-151 Stołpie";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;121;59;132
8;"Świetlica, ul. Balladyny 5, 22-151 Janów";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;111;63;247
9;"Urząd Gminy Chełm, ul. Gminna 18, 22-100 Pokrówka";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;176;88;439
10;"Siedziba Krajowego Ośrodka Wsparcia Rolnictwa w Pokrówce, ul. Wiosenna 4, 22-100 Pokrówka";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;103;31;220
11;"Świetlica, Żółtańce 44b, 22-100 Żółtańce";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;51;27;96
12;"Szkoła Podstawowa, ul. Metalowa 89, 22-100 Żółtańce-Kolonia";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;115;34;277
13;"Szkoła Podstawowa, Strupin Duży 122, 22-100 Strupin Duży";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;114;57;209
14;"Świetlica, Rożdżałów 118a, 22-100 Rożdżałów";60303;"gm. Chełm";"chełmski";"lubelskie";1;1;118;49;120
