"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZAK Rafał Zdzisław - KW BEZPARTYJNI SAMORZĄDOWCY";"RÓŻAŃSKI Mirosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAĆKOWIAK Grzegorz Przemysław - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"Zespół Szkół Ogólnokształcących, ul. Piastowska 26, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;145;735;300
2;"Przedszkole Miejskie nr 3, ul. Wojska Polskiego 16, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;183;840;266
3;"Przedsiębiorstwo Oczyszczania Ścieków, ul. Spokojna 1, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;99;385;109
4;"Szkoła Podstawowa nr 2, ul. Szkolna 1, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;124;459;188
5;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Kresowa 48, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;213;974;328
6;"Gubiński Dom Kultury, ul. Westerplatte 14, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;161;565;206
7;"Miejski Ośrodek Sportu (kryta pływalnia), ul. Generała Władysława Andersa 5, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;93;363;121
8;"Szkoła Podstawowa nr 1, ul. Racławicka 2, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;91;401;130
9;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Kresowa 48, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;90;486;120
10;"Zakład Opiekuńczo-Leczniczy w Gubinie, ul. Śląska 35, 66-620 Gubin";80201;"m. Gubin";"krośnieński";"lubuskie";1;1;5;12;8
