"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KARPIŃSKI Marcin - KW NOWA LEWICA";"ŁUCZAK Maciej Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOMAGAŁA Klaudia Ewa - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa, ul. Szkolna 3, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;390;417;142
2;"Budynek OSP, Brodnia Górna 45, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;77;42;131
3;"Szkoła Podstawowa, Czestków B 10c, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;166;211;85
4;"Budynek OSP, Malenia 16, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;78;165;46
5;"Budynek OSP, Luciejów 50a, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;110;153;63
6;"Świetlica Wiejska, Bachorzyn 45, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;89;150;63
7;"Budynek OSP w Woli Buczkowskiej, Wola Buczkowska 17C, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;93;101;32
8;"Budynek OSP w Gucinie, Gucin 40B, 98-113 Buczek";100301;"gm. Buczek";"łaski";"łódzkie";1;1;52;48;22
1;"Szkoła Podstawowa Nr 1, ul. Gabriela Narutowicza 28, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;612;334;162
2;"Łaski Dom Kultury, ul. Gabriela Narutowicza 11, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;479;415;164
3;"Szkoła Podstawowa Nr 1, ul. 9 Maja 12, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;395;367;145
4;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Adama Mickiewicza 6, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;534;377;122
5;"Miejsko-Gminny Ośrodek Pomocy Społecznej w Łasku, ul. Stefana Batorego 31, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;453;302;88
6;"Szkoła Podstawowa Nr 5, ul. Inki - Danuty Siedzikówny 1, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;401;305;104
7;"Szkoła Podstawowa Nr 5, ul. Szkolna 1, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;675;437;222
8;"Zespół Szkół Ogólnokształcących, ul. Toruńska 1, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;591;371;188
9;"Przedszkole Publiczne Nr 4, ul. Łączna 1, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;699;422;212
10;"Dom Ludowy w Łopatkach, Łopatki 22a, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;144;139;52
11;"Szkoła Podstawowa w Okupie, Okup Mały ul. Akacjowa 4, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;271;233;88
12;"Niepubliczna Szkoła Podstawowa w Teodorach, Teodory 62, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;258;204;82
13;"Szkoła Podstawowa Nr 1, ul. 9 Maja 12, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;353;257;110
14;"Szkoła Podstawowa w Bałuczu, Kolonia Bałucz 32, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;224;391;134
15;"Niepubliczna Szkoła Podstawowa we Wrzeszczewicach, Wrzeszczewice 14, 98-100 Łask";100302;"gm. Łask";"łaski";"łódzkie";1;1;118;253;72
