"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SEWERYŃSKI Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZYMCZAK Robert - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RYL Dorota Helena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa im. św. Jana Pawła II w Działoszynie, ul. Ogrodowa 3a, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;647;193;503
2;"Szkoła Podstawowa w Szczytach z oddziałami przedszkolnymi, Szczyty ul. Szkolna 2, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;252;56;159
3;"Szkoła Podstawowa im. Marii Konopnickiej w Raciszynie, Raciszyn ul. Działoszyńska 65, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;414;122;202
4;"Zespół Szkolno-Przedszkolny w Trębaczewie, Trębaczew ul. Szkolna 5, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;682;210;567
5;"Szkoła Filialna w Kolonii Lisowice, Kolonia Lisowice 85, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;311;99;123
6;"Szkoła Podstawowa im. św. Jana Pawła II w Działoszynie, ul. Ogrodowa 3a, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;390;134;554
7;"Szkoła Podstawowa im. św. Jana Pawła II w Działoszynie, ul. Ogrodowa 3a, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;429;139;479
8;"Dom Pomocy Społecznej w Bobrownikach, Bobrowniki 50, 98-355 Działoszyn";100901;"gm. Działoszyn";"pajęczański";"łódzkie";1;1;15;2;8
1;"Szkoła Podstawowa im. Adama Mickiewicza w Kiełczygłowie, ul. Tysiąclecia 8, 98-358 Kiełczygłów";100902;"gm. Kiełczygłów";"pajęczański";"łódzkie";1;1;793;216;352
2;"Budynek Ochotniczej Straży Pożarnej w Hucie, Huta 1a, 98-358 Kiełczygłów";100902;"gm. Kiełczygłów";"pajęczański";"łódzkie";1;1;237;69;94
3;"Szkoła Podstawowa w Chorzewie, Chorzew 4, 98-358 Kiełczygłów";100902;"gm. Kiełczygłów";"pajęczański";"łódzkie";1;1;303;86;153
1;"Zespół Szkolno-Przedszkolny w Nowej Brzeźnicy, ul. Kościuszki 100, 98-331 Nowa Brzeźnica";100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";1;1;559;127;330
2;"Szkoła Podstawowa w Dworszowicach Kościelnych, Dworszowice Kościelne-Kolonia 74, 98-331 Nowa Brzeźnica";100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";1;1;201;59;173
3;"Szkoła Podstawowa w Prusicku, Prusicko 73, 98-331 Nowa Brzeźnica";100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";1;1;308;89;186
4;"Szkoła Podstawowa w Dubidzach, Dubidze ul. Szkolna 16, 98-331 Nowa Brzeźnica";100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";1;1;246;99;138
1;"Szkoła Podstawowa Nr 1 w Pajęcznie, ul. Wiśniowa 7, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;378;76;313
2;"Urząd Miejski w Pajęcznie, ul. Parkowa 8/12, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;400;134;461
3;"Szkoła Podstawowa w Makowiskach, Makowiska ul. Szkolna 1, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;542;145;282
4;"Szkoła Podstawowa nr 2 w Pajęcznie, ul. Sienkiewicza 7/11, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;504;170;587
5;"Szkoła Podstawowa Nr 1 w Pajęcznie, ul. Wiśniowa 7, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;633;192;537
6;"Ochotnicza Straż Pożarna w Siedlcu, Siedlec ul. Pajęczańska 86, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;151;44;83
7;"Ochotnicza Straż Pożarna w Nowych Gajęcicach, Nowe Gajęcice ul. Pajęczańska 54, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;196;58;109
8;"Ochotnicza Straż Pożarna w Niwiskach Górnych, Niwiska Górne ul. Strażacka 1, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;153;27;44
9;"Szpital Rejonowy w Pajęcznie, ul. 1 Maja 13/15, 98-330 Pajęczno";100904;"gm. Pajęczno";"pajęczański";"łódzkie";1;1;19;2;3
1;"Urząd Gminy w Rząśni, ul. 1 Maja 37, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;325;104;215
2;"Szkoła Podstawowa w Białej, Biała 63, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;294;93;160
3;"Remiza Strażacka w Broszęcinie, Broszęcin 22A, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;161;30;56
4;"Remiza Strażacka w Stróży, Stróża 49, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;168;40;56
5;"Remiza Strażacka w Suchowoli, Suchowola 32, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;356;80;141
6;"Świetlica Wiejska w Będkowie, Będków 33A, 98-332 Rząśnia";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;120;45;48
7;"Szkoła Podstawowa w Zielęcinie, Zielęcin 28, 98-332 Zielęcin";100905;"gm. Rząśnia";"pajęczański";"łódzkie";1;1;188;33;40
1;"Szkoła Podstawowa w Siemkowicach, ul. Nowa 1, 98-354 Siemkowice";100906;"gm. Siemkowice";"pajęczański";"łódzkie";1;1;306;120;231
2;"Szkoła Podstawowa w Radoszewicach, Radoszewice ul. L. A. Niemojewskich 1a, 98-354 Siemkowice";100906;"gm. Siemkowice";"pajęczański";"łódzkie";1;1;414;133;198
3;"Szkoła Podstawowa w Lipniku, Kolonia Lipnik 11, 98-354 Siemkowice";100906;"gm. Siemkowice";"pajęczański";"łódzkie";1;1;431;94;139
4;"Ożegów, Ożegów ul. Szkolna 19, 98-354 Siemkowice";100906;"gm. Siemkowice";"pajęczański";"łódzkie";1;1;290;69;133
1;"Sala Posiedzeń Urzędu Gminy, ul. Częstochowska 14, 98-337 Strzelce Wielkie";100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";1;1;328;89;215
2;"Szkoła Podstawowa, Wiewiec 26, 98-337 Strzelce Wielkie";100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";1;1;444;115;197
3;"Budynek Ochotniczej Straży Pożarnej, Wistka 126, 98-337 Strzelce Wielkie";100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";1;1;320;78;116
4;"Sala Gimnastyczna przy Zespole Szkolno-Przedszkolnym, ul. Częstochowska 8a, 98-337 Strzelce Wielkie";100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";1;1;320;94;118
1;"Zespół Szkolno-Przedszkolny w Bogumiłowicach, Bogumiłowice 85, 98-338 Sulmierzyce";100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";1;1;276;68;182
2;"Szkoła Podstawowa w Dworszowicach Pakoszowych, Dworszowice Pakoszowe ul. Szkolna 4, 98-338 Sulmierzyce";100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";1;1;187;50;55
3;"Urząd Gminy w Sulmierzycach, ul. Urzędowa 1, 98-338 Sulmierzyce";100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";1;1;351;90;133
4;"Gminna Biblioteka Publiczna im. Filipa Sulimierskiego w Sulmierzycach, ul. Słoneczna 5, 98-338 Sulmierzyce";100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";1;1;402;122;237
5;"Świetlica Wiejska w Chorzenicach, Chorzenice 107, 98-338 Sulmierzyce";100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";1;1;214;54;83
1;"Przedszkole Nr 5 im. Misia Uszatka, ul. Jana Pawła II 41, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;305;107;579
2;"Akademia Humanistyczno-Ekonomiczna, ul. Adama Mickiewicza 6, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;253;80;285
3;"I Liceum Ogólnokształcące im. Kazimierza Jagiellończyka, ul. Żwirki i Wigury 3, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;304;110;550
4;"Szkoła Podstawowa Integracyjna Nr 8, ul. Szlachecka 11, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;389;126;459
5;"Państwowa Szkoła Muzyczna I stopnia, ul. Jana Pawła II 48, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;429;129;731
6;"Przedszkole Nr 3 im. Jana Brzechwy, ul. Władysława Łokietka 27A, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;427;122;690
7;"Szkoła Podstawowa Nr 9 im. Władysława Łokietka, ul. Władysława Łokietka 55, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;465;183;822
8;"Szkoła Podstawowa Nr 9 im. Władysława Łokietka, ul. Władysława Łokietka 55, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;501;160;673
9;"Szkoła Podstawowa Nr 10 im. Bolesława Zwolińskiego, ul. Aleja Grunwaldzka 10, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;398;122;578
10;"Wojewódzki Ośrodek Ruchu Drogowego, ul. 3 Maja 7, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;307;124;704
11;"Przedszkole Nr 15, ul. Marcina Stacheckiego-Koliba 3, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;433;118;606
12;"Przedszkole Nr 15, ul. Marcina Stacheckiego-Koliba 3, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;391;130;620
13;"Komenda Powiatowa Państwowej Straży Pożarnej, ul. T. Grzesika i R. Piwnika 1, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;284;105;532
14;"Zespół Szkół Katolickich przy parafii Św. Urszuli Ledóchowskiej w Sieradzu, ul. Krakowskie Przedmieście 123a, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;239;80;183
15;"Szkoła Podstawowa Nr 4 im. Marii Konopnickiej, ul. Władysława Broniewskiego 30, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;236;70;348
16;"II Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Stefana Żeromskiego 8, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;293;101;813
17;"Specjalny Ośrodek Szkolno-Wychowawczy im. Janusza Korczaka, ul. Krakowskie Przedmieście 58, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;510;156;735
18;"Szkoła Podstawowa Nr 4 im. Marii Konopnickiej, ul. Ks. Apolinarego Leśniewskiego 18, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;338;127;403
19;"Powiatowy Zespół Szkół Nr 1 w Sieradzu, ul. Marszałka Józefa Piłsudskiego 5, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;385;145;491
20;"Szkoła Podstawowa Nr 1 im. Władysława Reymonta, ul. Rycerska 4, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;227;65;305
21;"Dom Ludowo Strażacki, ul. Nadwarciańska 2, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;321;76;207
22;"Młodzieżowy Dom Kultury przy Centrum Edukacji Zawodowej, ul. Tysiąclecia 3, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;311;76;342
23;"Szkoła Podstawowa Nr 6 im. Janiny Majkowskiej, ul. Uniejowska 199, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;476;147;458
24;"Szpital Wojewódzki im. Prymasa Kardynała Stefana Wyszyńskiego w Sieradzu, ul. Armii Krajowej 7, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;55;12;40
25;"Szpital Wojewódzki im. Prymasa Kardynała Stefana Wyszyńskiego w Sieradzu, ul. Marcelego Nenckiego 2, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;20;2;12
26;"Zakład Karny Sieradz, ul. Orzechowa 5, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;68;76;345
27;"Zakład Karny Sieradz, ul. Torowa 2, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;25;19;31
28;"Dom Pomocy Społecznej, ul. Armii Krajowej 34, 98-200 Sieradz";101401;"m. Sieradz";"sieradzki";"łódzkie";1;1;32;4;14
1;"Szkoła Podstawowa w Błaszkach Hala Sportowa, ul. Szkolna 1, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;514;117;433
2;"Strażnica OSP w Łubnej-Jakusy, Łubna-Jakusy 23A, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;317;73;109
3;"Szkoła Podstawowa w Błaszkach, ul. Pomorska 6, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;570;133;296
4;"Budynek Plebanii w Wojkowie, Wojków 41, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;439;104;182
5;"Wiejska Świetlica w Brończynie, Brończyn 49, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;236;92;136
6;"Szkoła Podstawowa w Kwaskowie, Kwasków 5, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;273;69;125
7;"Wiejska Świetlica Środowiskowo Rekreacyjna w Sędzimirowicach, Sędzimirowice 10, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;290;87;114
8;"Szkoła Podstawowa w Kalinowej, Kalinowa 86, 98-235 Błaszki";101402;"gm. Błaszki";"sieradzki";"łódzkie";1;1;305;79;153
