"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUCHARSKI Sylwester Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"MATYSIAK Józef Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"AMBROZIK Rafał Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"FĄK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SKIBA Rafał - KWW POROZUMIENIE OBYWATELSKIE"
1;"Świetlica Wiejska w Białaczowie, ul. Piotrkowska 6, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;35;143;328;55;56
2;"Szkoła Podstawowa w Białaczowie, ul. Szkolna 36, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;19;71;261;33;21
3;"Świetlica Wiejska w Żelazowicach, Żelazowice 127, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;4;49;127;25;6
4;"Szkoła Podstawowa w Miedznej Drewnianej, Miedzna Drewniana 259, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;33;118;284;50;26
5;"Szkoła Podstawowa w Petrykozach, Petrykozy 1, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;48;159;306;53;37
6;"Szkoła Podstawowa w Skroninie, Skronina 156, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;30;48;300;21;17
7;"Świetlica wiejska w Radwanie, Radwan 2/1, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;5;25;79;5;2
8;"Świetlica wiejska w Sędowie, Sędów 50A, 26-307 Białaczów";100701;"gm. Białaczów";"opoczyński";"łódzkie";1;1;13;30;118;15;5
1;"Regionalne Centrum Kultury w Drzewicy, ul. Stawowa 27A, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;37;234;332;52;54
2;"Przedszkole Samorządowe w Drzewicy, ul. Stawowa 58, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;24;168;217;35;56
3;"Remiza OSP w Drzewicy, pl. Gabriela Narutowicza 17, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;58;208;443;79;61
4;"Szkoła Podstawowa w Domasznie, Domaszno 31, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;10;27;241;23;4
5;"Świetlica Wiejska w Zakościelu, Zakościele 86A, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;6;47;168;19;9
6;"Szkoła Podstawowa w Brzustowcu, Brzustowiec 152, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;14;70;248;38;25
7;"Szkoła Podstawowa w Idzikowicach, Idzikowice 30B, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;21;37;264;27;10
8;"Świetlica Wiejska w Strzyżowie, Strzyżów 61, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;7;44;119;8;12
9;"Szkoła Podstawowa w Radzicach Dużych, Radzice Duże 169, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;24;86;339;33;17
10;"Świetlica Wiejska w Dąbrówce, Dąbrówka 68, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;13;33;135;14;17
11;"Świetlica Wiejska w Jelni, Jelnia 98, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;15;68;211;34;12
12;"Remiza OSP w Krzczonowie, Krzczonów 13A, 26-340 Drzewica";100702;"gm. Drzewica";"opoczyński";"łódzkie";1;1;20;39;228;24;12
