"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OBRĘBALSKI Marek Adam - KW BEZPARTYJNI SAMORZĄDOWCY";"MRÓZ Krzysztof Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAWIŁA Marcin Edward - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STRAUS Patryk Piotr - KW NOWA DEMOKRACJA - TAK";"PAWELCZYK Robert Sebastian - KW POLSKA 2050";"MISZTELA Damian - KWW NASZA LEWICA"
1;"Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;74;383;302;7;56;129
2;"Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;140;482;648;28;137;170
3;"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;50;288;258;14;56;66
4;"Szkoła Podstawowa Nr 2, pl. Bankowy 1, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;64;354;298;11;52;108
5;"Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;63;243;245;12;40;79
6;"Miejska Biblioteka Publiczna, pl. Seniora 4, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;57;308;266;12;54;88
7;"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;58;347;289;18;59;87
8;"Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;71;356;287;12;54;102
9;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;92;392;411;21;91;111
10;"Hufiec ZHP w Jaworze, ul. Jurija Gagarina 9A, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;66;432;306;20;70;123
