"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAJĄK Andrzej Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŁUKAJCZYK Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRACZYK Piotr Paweł - KWW RDIP";"BURZYŃSKI Zbigniew Józef - KW WIS"
1;"Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Alwerni, ul. Marii Skłodowskiej-Curie 4, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;427;327;97;38;56
2;"Urząd Miejski w Alwerni, ul. Zbigniewa Gęsikowskiego 7, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;463;348;96;7;53
3;"Szkoła Podstawowa im. Henryka Sienkiewicza w Brodłach, Brodła ul. Edukacyjna 1, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;174;246;61;12;31
4;"Dom Ludowy w Grojcu, Grojec ul. Bartosza Głowackiego 13, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;268;329;70;24;35
5;"Szkoła Podstawowa im. Józefa Patelskiego w Kwaczale, Kwaczała ul. Jana Pawła II 2, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;374;405;107;26;68
6;"Dom Ludowy w Okleśnej, Okleśna ul. Nowowiejska 5, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;217;252;59;17;38
7;"Szkoła Podstawowa im. Stanisława Wyspiańskiego w Porębie-Żegoty, Poręba Żegoty ul. Szembeków 24, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;284;236;75;16;52
8;"Szkoła Podstawowa im. Tadeusza Kościuszki w Regulicach, Regulice ul. Aleja Jana Pawła II 10, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;493;433;89;36;74
9;"Świetlica Wiejska w Nieporazie, Nieporaz ul. Tenczyńska 51, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;149;90;26;4;17
10;"Dom Ludowy w Mirowie, Mirów ul. Karola Wojtyły 12, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;47;100;21;5;13
11;"Dom Ludowy w Podłężu, Podłęże ul. Radosna 2, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;28;70;9;3;13
1;"Dom parafialny w Babicach, ul. dr. Jana Gołąba 2, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;385;374;91;10;47
2;"Dom Kultury w Jankowicach, Jankowice ul. Wadowicka 46, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;164;202;44;11;27
3;"Zespół Szkół w Mętkowie, Mętków ul. ks. Karola Wojtyły 21, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;241;478;64;17;37
4;"Przedszkole Samorządowe w Olszynach, Olszyny ul. Przedszkolna 4, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;182;237;57;18;25
5;"Budynek Ochotniczej Straży Pożarnej w Rozkochowie, Rozkochów ul. Chemików 2, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;166;183;56;24;25
6;"Dom Ludowy w Wygiełzowie, Wygiełzów ul. Lipowiecka 3, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;236;123;40;13;20
7;"Przedszkole Samorządowe w Zagórzu, ul. Żelatowa 8, 32-555 Zagórze";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;151;116;30;9;12
8;"Szkoła Podstawowa w Zagórzu, ul. Marszałka Józefa Piłsudskiego 139, 32-555 Zagórze";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;306;238;79;22;45
