"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZTORC Józef - KW BEZPARTYJNI SAMORZĄDOWCY";"SORYS Stanisław Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WIATR Kazimierz Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"POŚWIATOWSKI Mirosław Sergiusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLICH Dariusz Zbigniew - KW POLSKA JEST JEDNA"
1;"Urząd Gminy w Bolesławiu, Bolesław 68, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;70;184;347;46;21
2;"Dom Ludowy w Samocicach, Samocice 70, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;25;37;169;16;3
3;"Dom Ludowy w Świebodzinie, Świebodzin 48, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;10;15;74;5;15
1;"Szkoła Podstawowa Nr 3 w Dąbrowie Tarnowskiej, ul. Zazamcze 3, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;69;276;346;69;50
2;"Dąbrowski Dom Kultury, ul. Kościuszki 11, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;71;235;429;69;49
3;"Szkoła Podstawowa Nr 2, ul. Zaręby 22, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;69;357;609;96;60
4;"Szkoła Podstawowa Nr 2 budynek przy ul. Matejki 8, ul. Matejki 8, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;33;165;201;34;24
5;"Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;99;388;636;124;63
6;"Żłobek Samorządowy, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;92;280;335;63;43
7;"Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;44;144;284;65;23
8;"Dom Ludowy, Brnik 36a, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;24;39;199;25;3
9;"Dom Ludowy, Lipiny 46A, 33-206 Luszowice";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;12;58;234;29;12
10;"Dom Ludowy, Nieczajna Dolna 35b, 33-205 Nieczajna Górna";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;25;28;178;13;14
11;"Szkoła Podstawowa, Nieczajna Górna 337, 33-205 Nieczajna Górna";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;37;91;379;37;24
12;"Szkoła Podstawowa, Smęgorzów 330, 33-202 Smęgorzów";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;33;107;407;35;27
