"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OSIŃSKI Sylwester Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"PAWLAK Waldemar - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARTYNOWSKI Marek Eryk - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATYSZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa Nr 3, ul. Generała Józefa Bema 23, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;45;340;209;50
2;"Szkoła Podstawowa Nr 3, ul. Generała Józefa Bema 23, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;56;326;321;46
3;"Dom Nauczyciela, ul. Wojska Polskiego 10, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;50;281;204;37
4;"Przedszkole Nr 4, ul. Armii Krajowej 7, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;63;341;262;75
5;"Budynek, ul. Wojska Polskiego 23, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;50;279;274;50
6;"Szkoła Podstawowa Nr 1, ul. Józefa Ozdowskiego 2, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;67;388;259;64
7;"Zespół Szkół, ul. Kowalska 5, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;55;237;238;52
8;"Urząd Miasta Gostynina, ul. Parkowa 22, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;35;251;203;52
9;"Liceum Ogólnokształcące, ul. 3 Maja 15, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;42;254;212;39
10;"Przedszkole Nr 2, ul. Wojska Polskiego 54, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;59;364;284;47
11;"Hala Sportowa MOSiR, ul. Kutnowska 7a, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;45;239;287;47
12;"Hala Sportowa MOSiR, ul. Kutnowska 7a, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;105;574;361;118
13;"Zespół Szkolno-Przedszkolny, ul. Polna 36, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;88;491;422;129
14;"Wojewódzki Samodzielny Zespół Publicznych Zakładów Opieki Zdrowotnej im. prof. Eugeniusza Wilczkowskiego, ul. Zalesie 1, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;5;30;64;7
15;"Powiatowy Dom Pomocy Społecznej w Czarnowie Filia w Gostyninie, ul. 3 Maja 47, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;2;11;33;4
16;"Krajowy Ośrodek Zapobiegania Zachowaniom Dyssocjalnym, ul. Zalesie 1A, 09-500 Gostynin";140401;"m. Gostynin";"gostyniński";"mazowieckie";1;1;7;10;12;5
1;"Szkoła Podstawowa w Sierakówku, Sierakówek 1, 09-500 Gostynin";140402;"gm. Gostynin";"gostyniński";"mazowieckie";1;1;44;234;228;42
2;"Szkoła Podstawowa w Zwoleniu, Zwoleń 35, 09-500 Gostynin";140402;"gm. Gostynin";"gostyniński";"mazowieckie";1;1;31;35;215;107
3;"Szkoła Podstawowa w Lucieniu, Lucień 50, 09-500 Gostynin";140402;"gm. Gostynin";"gostyniński";"mazowieckie";1;1;38;145;201;39
