"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ZABŁOCKI Wojciech Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"BOROWSKI Marek Stefan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
401;"LXXII Liceum Ogólnokształcące im. Jakuba Jasińskiego, ul. Grochowska 346/348, 03-838 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;707;1622
402;"Poradnia Psychologiczno-Pedagogiczna nr 4, ul. Mińska 1/5, 03-805 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;350;1043
403;"Szkoła Podstawowa nr 255, ul. Kamionkowska 36/44, 03-806 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;377;1246
404;"Szkoła Podstawowa Specjalna nr 240, ul. Weterynaryjna 3, 03-805 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;411;1307
405;"XIX Liceum Ogólnokształcące im. Powstańców Warszawy, ul. Zbaraska 1, 03-836 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;350;800
406;"Poradnia Psychologiczno-Pedagogiczna nr 16, ul. Siennicka 40, 04-414 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;423;1147
407;"Zespół Szkół Nr 12, ul. Siennicka 15, 04-393 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;489;1109
408;"Szkoła Podstawowa nr 72, ul. Ludwika Michała Paca 44, 04-395 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;529;1883
409;"Szkoła Podstawowa nr 72, ul. Ludwika Michała Paca 44, 04-395 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;558;1238
410;"Ośrodek Pomocy Społecznej, ul. Ludwika Michała Paca 42, 04-381 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;386;827
411;"Przedszkole 230 (wejście od ul. Romea i Julii), ul. Szaserów 118A, 04-386 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;386;816
412;"Przedszkole Nr 249, ul. Kobielska 5, 04-386 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;399;818
413;"Straż Miejska m. st. Warszawy VII Oddział Terenowy, ul. Kobielska 5, 04-386 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;377;739
414;"Przedszkole nr 48, ul. Szaserów 119, 04-349 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;395;782
415;"Młodzieżowy Ośrodek Socjoterapii nr 7, ul. Osowska 81, 04-359 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;401;783
416;"Szkoła Podstawowa nr 141, ul. Szaserów 117, 04-359 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;471;1099
417;"Szkoła Podstawowa nr 141, ul. Szaserów 117, 04-249 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;316;773
418;"Zespół Szkół nr 90, ul. Augustyna Kordeckiego 54, 04-351 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;433;1122
419;"Szkoła Podstawowa 374, ul. Boremlowska 6/12, 04-349 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;447;892
420;"Pływalnia Szuwarek, ul. Biłgorajska 2, 04-303 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;343;785
421;"Szkoła Podstawowa nr 215, ul. Kwatery Głównej 13, 04-330 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;307;899
422;"Szkoła Podstawowa nr 215, ul. Kwatery Głównej 13, 04-309 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;353;1085
423;"XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Naddnieprzańska 2/4, 04-305 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;514;1286
424;"Przedszkole nr 179, ul. Jarocińska 12/14, 04-294 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;484;1204
425;"Szkoła Podstawowa nr 401, ul. Tarnowiecka 4, 04-294 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;508;1018
426;"Przedszkole nr 177, ul. Tarnowiecka 4, 04-205 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;432;915
427;"Szkoła Podstawowa nr 163, ul. Osiecka 28/32, 04-171 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;372;818
428;"Zespół Szkół Spożywczo-Gastronomicznych, ul. Komorska 17/23, 04-174 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;600;1229
429;"Szkoła Podstawowa nr 163, ul. Osiecka 28/32, 04-174 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;432;1415
430;"Zespół Szkół Spożywczo-Gastronomicznych, ul. Komorska 17/23, 04-173 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;323;903
431;"Szkoła Podstawowa nr 401, ul. Tarnowiecka 4, 04-161 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;407;1889
432;"Zespół Szkół Gastronomiczno-Hotelarskich, ul. Majdańska 30/36, 04-161 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;431;1032
433;"Zespół Szkół Gastronomiczno-Hotelarskich, ul. Majdańska 30/36, 04-173 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;422;963
434;"Zespół Szkół nr 5, ul. Szczawnicka 1, 04-161 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;360;1048
435;"Zespół Szkół nr 5, ul. Szczawnicka 1, 04-174 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;323;688
436;"Szkoła Podstawowa nr 246, ul. Białowieska 22, 04-110 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;377;885
437;"XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, ul. Międzyborska 64/70, 04-110 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;410;990
438;"Szkoła Podstawowa nr 60, ul. Zbaraska 3, 04-089 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;415;857
439;"Medyczna Szkoła Policealna Nr 4, ul. Grenadierów 30A, 04-089 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;356;925
440;"XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta, ul. Fundamentowa 38/42, 04-063 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;655;1431
441;"Przedszkole nr 220, ul. Walewska 7, 04-068 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;305;670
442;"Szkoła Podstawowa nr 120, ul. Międzyborska 64/70, 04-014 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;289;553
443;"XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, ul. Międzyborska 64/70, 04-062 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;320;563
444;"Szkoła Podstawowa nr 279, ul. Cyrklowa 1, 04-036 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;464;1430
445;"Szkoła Podstawowa nr 279, ul. Cyrklowa 1, 04-036 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;414;958
446;"Przedszkole nr 54, ul. Bracławska 8A, 04-022 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;408;922
447;"XXXV Liceum Ogólnokształcące im. Bolesława Prusa, ul. Zwycięzców 7/9, 03-936 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;169;625
448;"Szkoła Podstawowa 373, ul. Angorska 2, 04-010 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;292;895
449;"Zespół Szkół nr 21, ul. Saska 78, 04-044 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;343;818
450;"Zespół Szkół nr 21, ul. Saska 78, 04-044 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;285;973
451;"XXXV Liceum Ogólnokształcące im. Bolesława Prusa, ul. Zwycięzców 7/9, 04-044 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;391;1172
452;"Szkoła Podstawowa nr 168, ul. Zwycięzców 44, 03-902 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;256;885
453;"Szkoła Podstawowa nr 168, ul. Zwycięzców 44, 03-913 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;368;918
454;"Przedszkole nr 162 (wejście od ul. Francuskiej 34), ul. Dąbrówki 3, 03-914 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;225;602
455;"IV Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Saska 59, 03-914 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;339;1102
456;"IV Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Saska 59, 03-936 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;278;788
457;"Szkoła Podstawowa nr 143, al. Aleja Stanów Zjednoczonych 27, 03-936 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;251;521
458;"Prom Kultury Saska Kępa, ul. Brukselska 23, 03-938 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;424;1306
459;"Szkoła Podstawowa nr 397, ul. Afrykańska 11, 03-938 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;375;869
460;"Zespół Szkół nr 37, al. Aleja Stanów Zjednoczonych 24, 03-909 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;425;1096
461;"Szkoła Podstawowa nr 397, ul. Afrykańska 11, 03-914 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;273;1447
462;"Przedszkole nr 295, ul. Afrykańska 9, 03-914 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;351;836
463;"Prom Kultury Saska Kępa, ul. Brukselska 23, 03-938 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;285;942
464;"Żłobek nr 45, ul. Mieczysława Pawlikowskiego 2, 03-973 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;477;1300
465;"Przedszkole nr 384, ul. Janusza Meissnera 8B, 03-966 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;396;944
466;"Szkoła Podstawowa nr 185, ul. gen. Tadeusza Bora-Komorowskiego 31, 03-964 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;453;1184
467;"Szkoła Podstawowa nr 135, ul. Grzegorza Przemyka 5, 03-966 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;201;764
468;"Przedszkole nr 198, ul. Grzegorza Przemyka 5, 03-966 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;381;930
469;"Szkoła Podstawowa nr 375 (dawny Klub Kultury Gocław), ul. gen. Romana Abrahama 10, 03-977 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;276;714
470;"oddział zamiejscowy Przedszkola nr 198, ul. gen. Romana Abrahama 10, 03-983 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;356;966
471;"Szkoła Podstawowa nr 375, ul. gen. Romana Abrahama 10, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;327;758
472;"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 12, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;428;1111
473;"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 12, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;420;1213
474;"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 12, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;388;1140
475;"Przedszkole nr 425, ul. Tadeusza Rechniewskiego 11A, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;333;1282
476;"Przedszkole nr 218, ul. Tadeusza Rechniewskiego 5B, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;345;839
477;"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 11, 03-982 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;444;745
478;"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 11, 03-984 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;266;908
479;"Żłobek nr 33, ul. Władysława Umińskiego 9, 03-984 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;292;1486
480;"Przedszkole Nr 380, ul. gen. Tadeusza Bora-Komorowskiego 10A, 03-984 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;347;1026
481;"Biblioteka Publiczna im. Zygmunta Jana Rumla, ul. Janusza Meissnera 5, 03-984 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;590;1626
1130;"Areszt Śledczy Warszawa Grochów, ul. Józefa Chłopickiego 71A, 04-275 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;97;365
1131;"Wojskowy Instytut Medyczny, ul. Szaserów 128, 04-349 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;150;179
1132;"Szpital Grochowski im. dr med. Rafała Masztaka Sp. z o. o., ul. Grenadierów 51/59, 04-073 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;51;44
1133;"Dom Pomocy Społecznej im. Matysiaków, ul. Arabska 3, 03-977 Warszawa";146507;"Praga-Południe";"Warszawa";"mazowieckie";1;1;25;15
361;"ZGN, ul. Jagiellońska 61, 03-301 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;428;1072
362;"Zespół Szkół nr 73, ul. Wenantego Burdzińskiego 4, 03-480 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;573;1150
363;"Zespół Szkół nr 14, ul. Józefa Szanajcy 5, 03-481 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;461;996
364;"Zespół Szkół nr 14, ul. Józefa Szanajcy 17/19, 03-481 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;476;1033
365;"OPS, ul. Bertolta Brechta 15, 03-473 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;282;748
366;"filia Szkoły Podstawowej nr 258, ul. Namysłowska 1, 03-454 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;259;573
367;"Szkoła Podstawowa nr 127, ul. Kowieńska 12/20, 03-438 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;316;643
368;"Szkoła Podstawowa nr 127, ul. Kowieńska 12/20, 03-438 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;380;953
369;"Dom Kultury ""Praga"", ul. Strzelecka 11/13, 03-433 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;385;606
370;"fila Szkoły Podstawowej nr 258, ul. Namysłowska 1, 03-454 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;364;834
371;"Biblioteka Publiczna, ul. Władysława Skoczylasa 9, 03-470 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;331;627
372;"Zespół Szkół nr 11, ul. Ratuszowa 13, 03-450 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;366;681
373;"Dom Kultury „Praga”, ul. Dąbrowszczaków 2, 03-474 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;206;434
374;"Budynek PKP PLK S. A., ul. Targowa 74, 03-734 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;379;629
375;"Szkoła Podstawowa nr 127, ul. Kowieńska 12/20, 03-438 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;313;620
376;"Przedszkole nr 171, ul. Równa 2, 03-418 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;372;873
377;"A. O. M. nr 3 ZGN, ul. Tarchomińska 14, 03-746 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;606;1002
378;"Przedszkole nr 183, ul. Wrzesińska 10, 03-713 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;409;972
379;"Przedszkole nr 163, ul. Jagiellońska 28, 03-719 Warszawa";146508;"Praga-Północ";"Warszawa";"mazowieckie";1;1;267;687
