"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻEBROWSKA Alicja - KW PRAWO I SPRAWIEDLIWOŚĆ";"BODNAR Adam Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
844;"Szkoła Podstawowa nr 118, ul. Myśliborska 25, 03-185 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;378;1360
845;"Szkoła Podstawowa Nr 118, ul. Leszczynowa 5, 03-197 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;520;1132
846;"Szkoła Podstawowa Nr 257, ul. Podróżnicza 11, 03-111 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;444;1148
847;"Szkoła Podstawowa Nr 154, ul. Leśnej Polanki 63/65, 03-142 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;353;1054
848;"Szkoła Podstawowa Nr 231, ul. Juranda ze Spychowa 10, 03-257 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;541;1610
849;"Szkoła Podstawowa Nr 112, ul. Zaułek 34, 03-289 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;405;1146
850;"Szkoła Podstawowa nr 356, ul. Głębocka 66, 03-287 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;468;1453
851;"Szkoła Podstawowa Nr 118, ul. Myśliborska 25, 03-185 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;361;1278
852;"CV Liceum Ogólnokształcące, ul. Vincenta van Gogha 1, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;240;441
853;"Szkoła Podstawowa Nr 314, ul. Porajów 3, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;440;1315
854;"CV Liceum Ogólnokształcące, ul. Vincenta van Gogha 1, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;343;1325
855;"CV Liceum Ogólnokształcące, ul. Vincenta van Gogha 1, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;270;490
856;"Szkoła Podstawowa Nr 314, ul. Porajów 3, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;252;431
857;"Szkoła Podstawowa Nr 314, ul. Porajów 3, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;278;397
858;"Szkoła Podstawowa Nr 314, ul. Porajów 3, 03-188 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;277;543
