"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIDELSKI Zbigniew Antoni - KW BEZPARTYJNI SAMORZĄDOWCY";"GÓRSKI Maciej - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"Publiczna Szkoła Podstawowa Nr 1, ul. Aleja Żwirki i Wigury 16, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;382;293
2;"Publiczna Szkoła Podstawowa Nr 1, ul. Aleja Żwirki i Wigury 16, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;261;244
3;"Centrum Sportu i Kultury, ul. Nadwodna 1, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;240;194
4;"Centrum Sportu i Kultury, ul. Nadwodna 1, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;443;226
5;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;448;382
6;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;512;320
7;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;406;306
8;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;552;410
9;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;331;292
10;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;342;303
11;"Zespół Szkół Nr 2, ul. Żołnierzy II Armii Wojska Polskiego 20, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;289;187
12;"Zespół Szkół Nr 2, ul. Żołnierzy II Armii Wojska Polskiego 20, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;308;286
13;"Publiczna Szkoła Podstawowa Nr 5, ul. Janusza Korczaka 10, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;283;257
14;"Publiczna Szkoła Podstawowa Nr 5, ul. Janusza Korczaka 10, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;433;340
