"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PRZYBYTNIAK Leszek Janusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARCZEWSKI Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"LECHOWSKI Krzysztof Grzegorz - KWW KRZYSZTOFA LECHOWSKIEGO"
1;"Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;488;501;64
2;"Publiczne Przedszkole Nr 2 im. Kubusia Puchatka w Białobrzegach, ul. Marii Konopnickiej 1, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;617;642;83
3;"Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;422;561;72
4;"Białobrzeskie Centrum Kultury „Białe Brzegi” w Białobrzegach, ul. Kościelna 31, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;629;664;84
5;"Publiczna Szkoła Podstawowa im. Janusza Korczaka w Suchej, Sucha ul. Szlachecka 88A, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;438;629;103
6;"Oddział Zewnętrzny w Stawiszynie, Stawiszyn 31C, 26-800 Białobrzegi";140101;"gm. Białobrzegi";"białobrzeski";"mazowieckie";1;1;101;14;13
1;"Urząd Gminy w Promnie, Promna-Kolonia 5, 26-803 Promna";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;176;296;45
2;"Remiza OSP w Olszamach, Olszamy 23, 05-610 Goszczyn";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;263;320;47
3;"Świetlica wiejska, Lisów 4A, 05-610 Goszczyn";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;138;319;28
4;"Szkoła Podstawowa w Przybyszewie, Przybyszew ul. Władysława Rosłońca 5, 26-803 Promna";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;136;386;30
5;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Falęcicach, Falęcice 41, 26-803 Promna";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;206;250;22
6;"Ochotnicza Straż Pożarna w Pniach, Pnie 48, 26-803 Promna";140102;"gm. Promna";"białobrzeski";"mazowieckie";1;1;207;234;26
1;"Świetlica Wiejska w Radzanowie, Radzanów 78B, 26-807 Radzanów";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;209;451;40
2;"Świetlica Wiejska w Bukównie, Bukówno 31B, 26-807 Radzanów";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;159;528;53
3;"Publiczna Szkoła Podstawowa im. Janusza Korczaka w Czarnocinie, Czarnocin 58, 26-807 Radzanów";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;77;219;21
4;"Publiczna Szkoła Podstawowa im. Henryka Sienkiewicza w Rogolinie, Rogolin 4A, 26-807 Radzanów";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;50;129;10
5;"Strażnica OSP w Branicy, Branica 37B, 26-800 Białobrzegi";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;45;103;6
6;"Strażnica OSP w Kadłubskiej Woli, Kadłubska Wola 32A, 26-806 Stara Błotnica";140103;"gm. Radzanów";"białobrzeski";"mazowieckie";1;1;33;114;3
1;"Publiczna Szkoła Podstawowa w Starej Błotnicy, Stara Błotnica 49, 26-806 Stara Błotnica";140104;"gm. Stara Błotnica";"białobrzeski";"mazowieckie";1;1;232;376;39
