"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZERWIŃSKI Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FABIJANIAK Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JARMUZIEWICZ Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Miejski Ośrodek Sportu i Rekreacji (Hala Sportowa), ul. Oławska 2A, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;231;98;396
2;"Miejski Ośrodek Pomocy Społecznej w Brzegu, ul. Bolesława Chrobrego 32a, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;231;101;339
3;"Przedszkole Publiczne nr 6, ul. Wysoka 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;272;94;354
4;"Urząd Stanu Cywilnego-Ratusz (hol USC-wejście od strony dziedzińca Ratusza), rynek Rynek 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;217;57;355
5;"Publiczna Szkoła Podstawowa nr 8, ul. Lompy 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;329;177;797
6;"Publiczna Szkoła Podstawowa Nr 3 (sala gimnastyczna), ul. Kamienna 2, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;382;118;478
7;"Zespół Szkól Budowalnych, ul. Kamienna 3, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;308;81;412
8;"Publiczna Szkoła Podstawowa Nr 3 (świetlica), ul. Kamienna 2, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;154;49;270
9;"Publiczne Przedszkole Nr 5, ul. Bohaterów Monte Cassino 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;192;67;393
10;"Publiczna Szkoła Podstawowa Nr 1, ul. Bohaterów Monte Cassino 14, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;379;168;706
11;"Publiczne Przedszkole Nr 10, ul. Księdza Makarskiego 5, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;412;121;529
12;"Publiczne Przedszkole Nr 7, ul. Gaj 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;330;117;413
13;"Brzeskie Przedsiębiorstwo Energetyki Cieplnej, ul. Ciepłownicza 11, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;188;77;276
14;"Publiczna Szkoła Podstawowa Nr 6 w Brzegu (wejście od strony sali sportowej), ul. Poprzeczna 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;433;127;556
15;"Stowarzyszenie Chorych na SM, ul. 1 Maja 2, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;345;132;570
16;"Miejski Ośrodek Sportu i Rekreacji (Stadion Miejski), ul. Sportowa 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;267;98;497
17;"Zespół Szkół Zawodowych Nr 1, ul. Słowiańska 18, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;281;88;459
18;"Miejska Biblioteka Publiczna, ul. Jana Pawła II 5, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;190;79;295
19;"Publiczna Szkoła Podstawowa nr 5, ul. Robotnicza 22, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;295;163;585
20;"Publiczna Szkoła Podstawowa Nr 6 w Brzegu (hol na parterze budynku A), ul. Poprzeczna 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;319;94;431
21;"I Liceum Ogólnokształcące, ul. Armii Krajowej 7, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;362;127;494
22;"Zakład Karny w Brzegu, ul. Bolesława Chrobrego 29, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;33;41;179
23;"Brzeskie Centrum Medyczne w Brzegu, ul. Sergiusza Mossora 1, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;9;3;9
24;"Brzeskie Centrum Medyczne w Brzegu-Oddział Rehabilitacji Neurologicznej, ul. Nysańska 4-6, 49-300 Brzeg";160101;"m. Brzeg";"brzeski";"opolskie";1;1;8;0;4
1;"Dom Ludowy, Zwanowice 44, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;153;43;73
2;"Dom Ludowy, Kruszyna 84, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;135;37;89
3;"Dom Ludowy, Pawłów ul. Wesoła 11, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;111;23;106
4;"Gminna Biblioteka Publiczna, Żłobizna ul. Jaśminowa 1, 49-305 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;176;92;294
5;"Dom Ludowy, Zielęcice ul. Klonowa 7, 49-318 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;81;35;186
6;"Dom Ludowy, Skarbimierz 25, 49-318 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;42;25;57
7;"Gminne Gimnazjum w Skarbimierzu-Osiedle, Skarbimierz-Osiedle ul. Akacjowa 27, 49-318 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;408;256;732
8;"Dom Ludowy, Małujowice 29, 49-318 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;90;33;87
9;"Dom Ludowy, Łukowice Brzeskie 88A, 49-318 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;166;59;124
10;"Dom Ludowy, Pępice 63, 49-317 Skarbimierz";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;136;32;61
11;"Przedszkole, Brzezina 64, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;131;43;132
12;"Dom Ludowy, Lipki 32, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;159;63;188
13;"Dom Seniora ""Słoneczna Jesień Życia"", Zwanowice 58A, 49-300 Brzeg";160102;"gm. Skarbimierz";"brzeski";"opolskie";1;1;8;0;6
1;"Publiczna Szkoła Podstawowa nr 1, ul. Powstańców Śląskich 24, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;244;85;343
2;"Ośrodek Pomocy Społecznej, ul. Szpitalna 13, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;184;71;284
3;"Hala Sportowa im. Zdzisława Zielonki przy Liceum Ogólnokształcącym, ul. Sienkiewicza 29 A, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;203;49;363
4;"Zespół Szkół Ponadpodstawowych, ul. Krakowska 20, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;161;86;354
5;"Publiczna Szkoła Podstawowa nr 3, ul. Morcinka 2, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;182;64;309
6;"Budynek zaplecza sportowego na Stadionie Miejskim w Grodkowie, ul. Sportowa 3, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;331;92;400
7;"Kino Klaps, ul. Powstańców Śląskich 16, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;114;39;192
8;"Publiczna Szkoła Podstawowa, Kopice 32B, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;162;73;193
9;"Świetlica Wiejska, Żelazna 15, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;77;18;35
10;"Świetlica Wiejska, Tarnów Grodkowski 90B, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;113;51;168
11;"Publiczna Szkoła Podstawowa, Lipowa 19, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;114;26;56
12;"Świetlica Wiejska, Wierzbnik 35A, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;101;44;86
13;"Publiczna Szkoła Podstawowa, Kolnica 105, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;109;45;108
14;"Publiczna Szkoła Podstawowa, Gnojna 119, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;181;49;143
15;"Szkoła Podstawowa, Gałązczyce 78, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;222;46;119
16;"Publiczna Szkoła Podstawowa, Jędrzejów 63, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;138;36;86
17;"Świetlica Wiejska, Kobiela 21, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;177;55;123
18;"Świetlica Wiejska w Nowej Wsi Małej, Nowa Wieś Mała 31a, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;83;33;73
19;"Świetlica Wiejska w Więcmierzycach, Więcmierzyce 88, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;110;23;51
20;"Świetlica Wiejska w Głębocku, Głębocko 33, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;71;22;32
21;"Świetlica Wiejska w Osieku Grodkowskim, Osiek Grodkowski 4a, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;77;19;67
22;"Świetlica Wiejska w Goli Grodkowskiej, Gola Grodkowska 50a, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;54;22;46
23;"Świetlica Wiejska w Przylesiu Dolnym, Przylesie Dolne 33, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;75;21;77
24;"Budynek oddziału przedszkolnego, Bąków 36, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;74;50;79
25;"Świetlica Wiejska w Młodoszowicach, Młodoszowice 4, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;105;27;74
26;"Świetlica Wiejska w Wojsławiu, Wojsław 18, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;66;24;77
27;"Świetlica Wiejska w Lubczy, Lubcz 33, 49-200 Grodków";160103;"gm. Grodków";"brzeski";"opolskie";1;1;51;16;59
