"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WOŹNIAK Piotr Jan - KW NOWA LEWICA";"LORENC Marcin Remigiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"LAKWA Henryk Ryszard - KWW MNIEJSZOŚĆ NIEMIECKA"
1;"Klub Samorządowy, ul. Dworcowa 1, 46-053 Chrząstowice";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;276;128;313
2;"Publiczna Szkoła Podstawowa, Dębska Kuźnia ul. Wiejska 53, 46-053 Chrząstowice";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;291;128;376
3;"Publiczna Szkoła Podstawowa, Dębie ul. Wiejska 18, 46-053 Chrząstowice";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;147;101;220
4;"Klub Wiejski, Daniec ul. Dąbrowicka 4, 46-053 Chrząstowice";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;105;117;281
5;"Świetlica Wiejska, Suchy Bór ul. Szkolna 2, 46-053 Chrząstowice";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;355;113;142
6;"Świetlica Wiejska w Lędzinach, ul. Szkolna 2, 46-053 Lędziny";160901;"gm. Chrząstowice";"opolski";"opolskie";1;1;189;93;126
1;"Świetlica wiejska, ul. Księdza Profesora Józefa Sztonyka 19a, 49-120 Dąbrowa";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;426;251;95
2;"Publiczna Szkoła Podstawowa w Chróścinie, ul. Niemodlińska 8d, 46-073 Chróścina";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;290;169;279
3;"Publiczna Szkoła Podstawowa w Naroku, ul. Szkolna 19, 49-120 Narok";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;126;96;126
4;"Świetlica wiejska, ul. Długa 18a, 49-120 Ciepielowice";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;182;103;35
5;"Świetlica wiejska, ul. Kwiatowa 25a, 49-120 Nowa Jamka";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;55;72;19
6;"Budynek socjalno-administracyjny, ul. Sportowa 18, 49-120 Prądy";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;115;74;37
7;"Pawilon sportowy, ul. Strażacka 6a, 46-073 Mechnice";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;262;129;189
8;"Świetlica wiejska, ul. Szkolna 2, 49-120 Karczów";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;221;118;78
9;"Świetlica wiejska, ul. Opolska 52, 49-120 Skarbiszów";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;57;117;23
10;"Świetlica wiejska, ul. Opolska 58, 49-120 Żelazna";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;83;60;168
11;"Świetlica Wiejska w Niewodnikach, ul. Opolska 31, 49-120 Niewodniki";160902;"gm. Dąbrowa";"opolski";"opolskie";1;1;59;55;66
1;"Publiczna Szkoła Podstawowa, ul. Powstańców Śląskich 1, 46-080 Chróścice";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;394;138;616
2;"Zespół Szkół, Dobrzeń Mały ul. Opolska 87, 46-081 Dobrzeń Wielki";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;117;75;186
3;"Zespół Szkół, ul. Namysłowska 94, 46-081 Dobrzeń Wielki";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;384;178;429
4;"Publiczna Szkoła Podstawowa z Oddziałami Sportowymi, ul. Kościelna 3, 46-081 Dobrzeń Wielki";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;652;298;478
5;"Zespół Szkolno-Przedszkolny, ul. 1 Maja 6a, 46-082 Kup";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;246;101;201
6;"Stobrawskie Centrum Medyczne Sp. z o. o. z siedzibą w Kup-Szpital w Kup, ul. Miarki 14, 46-082 Kup";160903;"gm. Dobrzeń Wielki";"opolski";"opolskie";1;1;26;21;7
1;"Urząd Gminy w Komprachcicach, ul. Kolejowa 3, 46-070 Komprachcice";160904;"gm. Komprachcice";"opolski";"opolskie";1;1;532;257;644
