"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JODŁOWSKI Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAZUR Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KAŹMIERCZAK Jolanta Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GUTKOWSKI Krzysztof - KWW PROFESORA KRZYSZTOFA GUTKOWSKIEGO"
1;"Szkoła Podstawowa Nr 2, ul. Tadeusza Kościuszki 17, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;546;200;439;232
2;"Miejska Biblioteka Publiczna w Łańcucie, ul. Stanisława Moniuszki 2, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;246;71;282;101
3;"Miejski Dom Kultury, ul. Tadeusza Kościuszki 15, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;270;49;230;111
4;"Miejski Dom Kultury, ul. Tadeusza Kościuszki 15, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;343;104;281;91
5;"Szkoła Podstawowa Nr 1, ul. Józefa Piłsudskiego 7, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;272;48;253;80
6;"Powiatowe Centrum Kształcenia Praktycznego i Edukacji Zawodowej, ul. Armii Krajowej 51a, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;351;108;248;115
7;"Powiatowe Centrum Kształcenia Praktycznego i Edukacji Zawodowej, ul. Armii Krajowej 51a, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;334;122;279;150
8;"Szkoła Podstawowa Nr 1, ul. Józefa Piłsudskiego 7, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;395;111;373;134
9;"Szkoła Podstawowa Nr 3, ul. 29 Listopada 21, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;278;81;199;127
10;"Szkoła Podstawowa Nr 3, ul. 29 Listopada 21, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;292;110;229;138
11;"Szkoła Podstawowa Nr 4, ul. Jana Kochanowskiego 6, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;318;106;233;91
12;"Miejski Dom Kultury, Filia Podzwierzyniec, ul. Podzwierzyniec 74, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;459;113;247;133
13;"Dom Pomocy Społecznej dla Osób w Podeszłym Wieku oraz dla Osób Niepełnosprawnych Fizycznie w Łańcucie, ul. Józefa Piłsudskiego 72, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;23;3;11;11
14;"Centrum Medyczne w Łańcucie Sp. z o. o., ul. Ignacego Paderewskiego 5, 37-100 Łańcut";181001;"m. Łańcut";"łańcucki";"podkarpackie";1;1;44;2;10;5
1;"Gminny Ośrodek Kultury i Czytelnictwa w Białobrzegach, Białobrzegi 1, 37-114 Białobrzegi";181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";1;1;683;234;276;184
2;"Dom Kultury w Woli Dalszej, Wola Dalsza 149, 37-100 Łańcut";181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";1;1;464;156;255;152
3;"Dom Kultury w Korniaktowie Północnym, Korniaktów Północny 33a, 37-114 Białobrzegi";181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";1;1;552;146;137;85
4;"Dom Kultury w Korniaktowie Południowym, Korniaktów Południowy 2, 37-114 Białobrzegi";181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";1;1;418;124;113;67
5;"Dom Kultury w Dębinie, Dębina 122b, 37-100 Łańcut";181002;"gm. Białobrzegi";"łańcucki";"podkarpackie";1;1;274;85;120;50
1;"Gminny Ośrodek Kultury i Rekreacji w Czarnej, Czarna 795, 37-125 Czarna";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;498;152;209;109
2;"Zespół Szkół w Woli Małej, Wola Mała 160, 37-100 Łańcut";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;238;79;135;63
3;"Zespół Szkół w Dąbrówkach, Dąbrówki 211, 37-100 Łańcut";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;505;144;191;97
4;"Zespół Szkół w Krzemienicy, Krzemienica 631, 37-127 Krzemienica";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;444;102;133;160
5;"Zespół Szkół w Medyni Głogowskiej, Medynia Głogowska 426, 37-126 Medynia Głogowska";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;790;139;136;87
6;"Zespół Szkół w Medyni Łańcuckiej, Medynia Łańcucka 105, 37-126 Medynia Głogowska";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;527;145;150;81
7;"Ośrodek Kultury w Zalesiu, Zalesie 125, 37-126 Medynia Głogowska";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;252;59;61;40
8;"Zespół Szkół w Krzemienicy, Krzemienica 631, 37-127 Krzemienica";181003;"gm. Czarna";"łańcucki";"podkarpackie";1;1;446;120;209;127
1;"Dom Kultury w Albigowej, Albigowa 478, 37-122 Albigowa";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;384;95;171;137
2;"Dom Kultury w Albigowej, Albigowa 478, 37-122 Łańcut";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;434;116;156;124
3;"Zespół Szkół w Cierpiszu, Cierpisz 110A, 37-124 Kraczkowa";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;285;66;84;49
4;"Zespół Szkół w Głuchowie, Głuchów 452, 37-100 Łańcut";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;506;169;221;127
5;"Szkoła Podstawowa w Handzlówce, Handzlówka 264, 37-123 Handzlówka";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;366;112;163;111
6;"Dom Kultury w Kosinie, Kosina 966, 37-112 Kosina";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;599;120;162;99
7;"Dom Kultury w Kosinie, Kosina 966, 37-112 Kosina";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;628;131;126;95
8;"Dom Ludowy w Kraczkowej, Kraczkowa 882, 37-124 Kraczkowa";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;600;158;248;165
9;"Dom Ludowy w Kraczkowej, Kraczkowa 882, 37-124 Kraczkowa";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;542;143;227;126
10;"Zespół Szkół w Rogóżnie, Rogóżno 374, 37-112 Kosina";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;391;84;118;79
11;"Szkoła Podstawowa w Soninie, Sonina 168, 37-100 Łańcut";181004;"gm. Łańcut";"łańcucki";"podkarpackie";1;1;430;86;217;115
