"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LEGENY Tomasz Grzegorz - KW BEZPARTYJNI SAMORZĄDOWCY";"SZAŁAJKO Stanisław Michał - KW NOWA LEWICA";"ZAJĄC Alicja Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"SERWIŃSKI Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Urząd Miejski w Brzozowie (sala konferencyjna), ul. Armii Krajowej 1, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;213;364;621;180
2;"Ratusz Miejski w Brzozowie (I piętro), ul. Rynek 10, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;112;244;663;139
3;"Budynek administracyjny Szpitala Specjalistycznego w Brzozowie (świetlica), ul. KS. Józefa Bielawskiego 18, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;120;315;581;114
4;"Szkoła Podstawowa Nr 2 w Humniskach, Humniska 877, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;84;169;406;103
5;"Zespół Szkolno-Przedszkolny w Humniskach, Humniska 264, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;67;155;402;70
6;"Zespół Szkolno-Przedszkolny w Humniskach, Humniska 264, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;63;147;432;79
7;"Szkoła Podstawowa w Grabownicy Starzeńskiej, Grabownica Starzeńska 584, 36-207 Grabownica Starzeńska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;77;220;415;69
8;"Szkoła Podstawowa w Grabownicy Starzeńskiej, Grabownica Starzeńska 584, 36-207 Grabownica Starzeńska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;81;144;474;82
9;"Szkoła Podstawowa w Górkach, Górki 78a, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;40;80;541;51
10;"Szkoła Podstawowa w Turzym Polu, Turze Pole 152, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;55;120;301;46
11;"Szkoła Podstawowa w Zmiennicy, Zmiennica 29, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;42;87;418;53
12;"Szkoła Podstawowa w Starej Wsi, Stara Wieś 790, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;67;104;605;81
13;"Szkoła Podstawowa w Starej Wsi, Stara Wieś 790, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;80;126;630;70
14;"Zespół Szkół Nr 1 w Przysietnicy, Przysietnica 198, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;72;111;840;110
15;"Szkoła Podstawowa Nr 2 w Przysietnicy, Przysietnica 514, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;59;79;604;103
16;"Szpital Specjalistyczny w Brzozowie, ul. KS. Józefa Bielawskiego 18, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;8;20;66;7
17;"Dom Pomocy Społecznej w Brzozowie, ul. Wincentego Witosa 13, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;0;1;32;1
1;"Szkoła Podstawowa w Baryczy, Barycz 238, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;32;39;375;57
2;"Zespół Szkolno-Przedszkolny w Domaradzu, Domaradz 651, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;35;38;331;52
3;"Zespół Szkolno-Przedszkolny w Domaradzu, Domaradz 349, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;79;172;633;137
