"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GANCARZ Paweł Jarosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZWED Aleksander Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"POKRYWKA Jan Tadeusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZYB Sebastian Mariusz - KW POLSKA 2050";"DYSZEWSKI Andrzej - KWW POROZUMIENIE OBYWATELSKIE"
1;"Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;193;213;71;18;128
2;"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;247;252;83;18;159
3;"Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;210;254;50;14;143
4;"Klub ""Włókniarz"" Spółdzielni Mieszkaniowej, os. Osiedle Włókniarzy 1, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;240;279;45;11;187
5;"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, os. Osiedle Włókniarzy 10, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;178;201;44;24;137
6;"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;240;188;58;28;151
7;"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;248;263;43;24;179
8;"Żłobek Publiczny, ul. gen. Grota Roweckiego 7, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;253;252;54;25;179
9;"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Parkowa 12, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;191;256;56;15;161
10;"Klub ""Sowa"" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;301;241;77;36;190
11;"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. gen. Grota Roweckiego 6, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;177;225;42;13;160
12;"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. gen. Grota Roweckiego 6, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;159;249;30;16;127
13;"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;146;202;44;22;133
14;"Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Chrobrego, ul. Szkolna 5, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;310;193;52;21;179
15;"Miejski Zarząd Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;217;232;56;19;142
16;"Zespół Ośrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;157;192;40;17;152
17;"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;158;163;49;18;102
18;"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;180;219;61;19;133
19;"Zespół Szkół Cechu Rzemiosł Różnych, ul. Polna 2, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;179;213;50;18;144
20;"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;240;230;78;26;187
21;"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;159;171;41;15;88
22;"Dom Pomocy Społecznej, ul. Stefana Żeromskiego 2, 58-260 Bielawa";20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";1;1;0;8;1;0;2
1;"Pracownicze Ogródki Działkowe ""Jar"", ul. Złota 10, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;401;218;58;18;216
2;"Przedszkole Publiczne nr 7, os. Osiedle Tęczowe 3, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;447;321;94;39;232
3;"Przedszkole Publiczne nr 2 z Oddziałami Integracyjnymi i Oddziałem Specjalnym, ul. Złota 8, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;186;260;59;15;113
