"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOGUCKA Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"MALEWSKI Bartosz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SNARSKI Sławomir Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Liceum Ogólnokształcące im. Tadeusza Kościuszki, ul. 11 Listopada 6, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;163;73;328
2;"Szkoła Podstawowa nr 5 im. Szarych Szeregów, ul. Tadeusza Kościuszki 21, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;232;99;374
3;"Bielski Dom Kultury w Bielsku Podlaskim im. Marszałka Józefa Piłsudskiego, ul. 3 Maja 2, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;232;83;549
4;"Zespół Szkół Nr 1 im. Józefa Klemensa Piłsudskiego, ul. Szkolna 12, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;370;110;603
5;"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza (wejście od ul. Widowskiej), ul. Adama Mickiewicza 126, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;348;124;747
6;"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza (wejście od ul. Adama Mickiewicza), ul. Adama Mickiewicza 126, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;162;98;530
7;"Miejska Biblioteka Publiczna, ul. Kazimierzowska 14, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;284;124;705
8;"Szkoła Podstawowa Nr 3 z DNJB, ul. Józefa Poniatowskiego 9, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;291;103;755
9;"Przedszkole Nr 3 z Odziałami Integracyjnymi, ul. Stefana Żeromskiego 3, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;229;69;425
10;"Zespół Szkół Nr 4 im. Ziemi Podlaskiej, ul. Hołowieska 18, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;286;166;990
11;"Zespół Szkół Specjalnych im. Jana Pawła II, ul. Wojska Polskiego 17, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;348;160;706
12;"Szkoła Podstawowa Nr 2 im. kpt. Władysława Wysockiego, ul. Władysława Wysockiego 6, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;518;166;599
13;"Internat Zespołu Szkól nr 4 im. Ziemi Podlaskiej w Bielsku Podlaskim, ul. Hołowieska 18, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;261;72;295
14;"Samodzielny Publiczny ZOZ, ul. Kleszczelowska 1, 17-100 Bielsk Podlaski";200301;"m. Bielsk Podlaski";"bielski";"podlaskie";1;1;29;6;36
1;"Miejski Ośrodek Kultury w Brańku, ul. Rynek 19, 17-120 Brańsk";200302;"m. Brańsk";"bielski";"podlaskie";1;1;498;80;251
2;"Urząd Miasta w Brańsku, ul. Rynek 8, 17-120 Brańsk";200302;"m. Brańsk";"bielski";"podlaskie";1;1;598;130;296
3;"Dom Pomocy Społecznej im. Jana Pawła II, ul. Jana Pawła II 12, 17-120 Brańsk";200302;"m. Brańsk";"bielski";"podlaskie";1;1;24;5;34
1;"Szkoła Podstawowa w Augustowie, Augustowo 30, 17-100 Bielsk Podlaski";200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";1;1;186;81;238
2;"Szkoła Podstawowa im. Jana Pawła II w Łubinie Kościelnym, Łubin Kościelny 40, 17-100 Bielsk Podlaski";200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";1;1;299;62;120
3;"Centrum Kultury Wiejskiej w Dubiażynie, Dubiażyn 100, 17-106 Orla";200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";1;1;46;28;129
4;"Ośrodek Kultury Lokalnej w Pilikach, Piliki 53, 17-100 Bielsk Podlaski";200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";1;1;116;51;121
5;"Sala Konferencyjna Urzędu Gminy w Bielsku Podlaskim, ul. Adama Mickiewicza 46, 17-100 Bielsk Podlaski";200303;"gm. Bielsk Podlaski";"bielski";"podlaskie";1;1;77;66;128
