"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
1;"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;741;306;153
2;"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;663;344;180
3;"Szkoła Podstawowa Nr 33, ul. Matki Ewy 9, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;553;203;117
4;"Szkoła Podstawowa Nr 54, ul. Reptowska 86, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;863;318;157
5;"Szkoła Podstawowa Nr 54, ul. Reptowska 86, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;839;350;147
6;"Szkoła Podstawowa nr 26, ul. Józefa Nickla 19, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;813;289;135
7;"Szkoła Podstawowa nr 26, ul. Józefa Nickla 19, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;740;307;143
8;"Szkoła Podstawowa nr 26, ul. Józefa Nickla 19, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;825;327;169
9;"Szkoła Podstawowa nr 26, ul. Józefa Nickla 19, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;700;221;149
10;"Szkoła Podstawowa Nr 21, ul. Worpie 14-16, 41-906 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;213;126;73
11;"Szkoła Podstawowa Nr 21, ul. Worpie 16, 41-906 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;498;355;179
12;"Młodzieżowy Dom Kultury Nr 2, ul. Księdza Jerzego Popiełuszki 9, 41-906 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;470;301;126
13;"Szkoła Podstawowa Nr 16, ul. Macieja Rataja 3, 41-905 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;346;145;89
14;"Zespół Szkół Specjalnych Nr 3, ul. Konstytucji 20, 41-905 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;211;142;75
15;"Szkoła Podstawowa Nr 44, ul. Generała Grota-Roweckiego 6, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;573;239;131
16;"Szkoła Podstawowa Nr 44, ul. Generała Grota-Roweckiego 6, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;766;309;142
17;"Szkoła Podstawowa Nr 44, ul. Generała Grota-Roweckiego 6, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;750;275;163
18;"Zespół Szkół Technicznych, ul. Andrzeja Frycza Modrzewskiego 5, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;540;251;124
19;"Szkoła Podstawowa Nr 45, ul. Zakątek 20, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;745;361;133
20;"Szkoła Podstawowa Nr 45, ul. Zakątek 20, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;620;270;113
21;"Szkoła Podstawowa Nr 45, ul. Karpacka 27, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;689;293;128
22;"Szkoła Podstawowa Nr 45, ul. Karpacka 27, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;797;378;159
23;"Społeczna Szkoła Podstawowa Społecznego Towarzystwa Oświatowego, ul. Skrajna 14a, 41-907 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;897;332;135
24;"Szkoła Podstawowa Nr 27, ul. Świętochłowicka 12, 41-909 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;725;282;133
25;"Szkoła Podstawowa Nr 28, ul. Armii Krajowej 40, 41-909 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;594;299;149
26;"Szkoła Podstawowa Nr 28, ul. Armii Krajowej 40, 41-909 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;837;326;155
27;"Ochotnicza Straż Pożarna w Górnikach, ul. Żołnierska 41, 41-936 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;334;126;63
28;"Szkoła Podstawowa Nr 43, ul. Suchogórska 98, 41-936 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;537;180;102
