"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MASŁOWSKI Piotr Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PIECHA Wojciech Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"FOJCIK Andrzej Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁEK Mirosław Jan - KW POLSKA 2050"
1;"Szkoła Podstawowa nr 2 im. Piastów Śląskich, ul. Cieszyńska 12, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;263;208;87;59
2;"Przedszkole nr 2 Integracyjne, ul. Miodowa 11, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;236;217;67;39
3;"Zespół Szkół Energetycznych i Usługowych, ul. Chopina 11b, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;289;225;67;50
4;"Miejski Dom Kultury, ul. Świętego Jana Pawła II 2, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;456;284;120;67
5;"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;292;271;79;43
6;"Przedszkole nr 5 im. Przyjaciół Bohaterów Bajek, ul. Chopina 1, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;213;165;62;40
7;"Szkoła Podstawowa nr 3 im. Mikołaja Kopernika, ul. Ogrodowa 48, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;437;334;141;73
8;"Szkoła Podstawowa nr 1 im. Ks. Prałata Konrada Szwedy, ul. Dworcowa 4, 43-170 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;507;315;146;64
9;"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;391;381;131;88
10;"Szkoła Podstawowa nr 6 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Wyrska 4, 43-173 Łaziska Górne";240801;"m. Łaziska Górne";"mikołowski";"śląskie";1;1;480;340;135;115
