"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZOTOWSKI Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"GRABOWSKI Arkadiusz Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŻELAZNY Krystian Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁECKA-LIBERA Beata Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa nr 11, ul. Władysława Broniewskiego 12, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;70;202;33;447
2;"Przedszkole Miejskie nr 5, ul. Zwycięstwa 21, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;101;327;107;609
3;"Powiatowy Młodzieżowy Dom Kultury, ul. Powstańców Śląskich 1, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;87;320;72;605
4;"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;67;325;69;635
5;"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;109;334;64;691
6;"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;103;304;73;623
7;"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;85;336;56;536
8;"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;137;250;126;988
9;"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;97;275;79;656
10;"Centrum Usług Społecznych w Będzinie, ul. 1 Maja 2/41, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;90;308;102;576
11;"Ośrodek Kultury, ul. Stanisława Małachowskiego 43, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;64;238;83;433
12;"Centrum Kształcenia Zawodowego i Ustawicznego w Będzinie, ul. 11 Listopada 3, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;70;227;51;440
13;"Szkoła Podstawowa nr 10, ul. Sportowa 2, 42-500 Będzin";240101;"m. Będzin";"będziński";"śląskie";1;1;43;207;54;301
