"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOSIŃ Jakub - KW BEZPARTYJNI SAMORZĄDOWCY";"KACZMAREK Edmund Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZAREK Sławomir Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUŁAGA Jerzy Mieczysław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
1;"Powiatowy Międzyszkolny Ośrodek Sportowy w Busku-Zdroju (Hala Sportowa), ul. Janusza Kusocińskiego 3, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;79;469;328;70;15
2;"Miejsko-Gminny Ośrodek Pomocy Społecznej w Busku-Zdroju, ul. Tadeusza Kościuszki 2a, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;40;337;264;52;14
3;"Publiczna Szkoła Podstawowa Nr 1 w Busku-Zdroju, ul. Tadeusza Kościuszki 1, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;60;281;235;43;13
4;"Publiczna Szkoła Podstawowa Nr 2 w Busku-Zdroju, ul. Janusza Korczaka 13, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;76;471;445;69;18
5;"Zakład Doskonalenia Zawodowego w Busku-Zdroju, ul. Wojska Polskiego 31, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;66;436;309;84;9
6;"Buskie Samorządowe Centrum Kultury w Busku-Zdroju, al. Adama Mickiewicza 22, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;55;705;537;89;17
7;"Przychodnia Rejonowa Nr 2 w Busku-Zdroju, os. generała Władysława Sikorskiego 10, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;64;425;305;52;8
8;"Publiczna Szkoła Podstawowa Nr 3 w Busku-Zdroju, ul. profesora Józefa Wacława Grotta 3, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;80;337;359;47;1
9;"Miejsko-Gminna Biblioteka Publiczna w Busku-Zdroju, os. Orła Białego 17, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;44;443;284;61;6
10;"Ochotnicza Straż Pożarna w Busku-Zdroju, ul. Partyzantów 4, 28-100 Busko-Zdrój";260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";1;1;73;464;375;74;9
