"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DASIOS Piotr Paris - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUSIECKI Jarosław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOKOLNICKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMOSA Elżbieta Agnieszka - KW RUCH NAPRAWY POLSKI";"MATEREK Marek Jerzy - KW NOWA DEMOKRACJA - TAK"
1;"Urząd Gminy w Baćkowicach, Baćkowice 84, 27-552 Baćkowice";260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";1;1;242;698;90;41;89
2;"Publiczna Szkoła Podstawowa w Modliborzycach, Modliborzyce 93, 27-552 Baćkowice";260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";1;1;100;357;48;16;22
3;"Publiczna Szkoła Podstawowa w Piórkowie, Piórków 9, 27-552 Baćkowice";260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";1;1;61;272;32;12;16
4;"Publiczna Szkoła Podstawowa we Wszachowie, Wszachów 49A, 27-552 Baćkowice";260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";1;1;47;229;29;13;17
5;"Dom Pomocy Społecznej w Baćkowicach, Baćkowice 101A, 27-552 Baćkowice";260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";1;1;3;3;0;1;3
1;"Publiczna Szkoła Podstawowa w Iwaniskach, ul. Opatowska 26, 27-570 Iwaniska";260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";1;1;289;778;104;46;58
2;"Publiczna Szkoła Podstawowa w Ujeździe, Ujazd 9, 27-570 Iwaniska";260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";1;1;83;305;54;13;20
3;"Świetlica Wiejska w Przepiórowie, Przepiórów 16A, 27-570 Iwaniska";260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";1;1;35;99;25;9;6
4;"Świetlica Wiejska w Marianowie, Marianów 17A, 27-570 Iwaniska";260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";1;1;25;123;12;4;4
5;"Publiczna Szkoła Podstawowa w Iwaniskach Filia im. Biskupa Jana Chrapka w Jastrzębskiej Woli, Jastrzębska Wola 5, 27-570 Iwaniska";260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";1;1;55;233;22;12;15
