"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUBIAK Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOŁOS Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZEJNFELD Adam Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYBYŁ Justyna Agnieszka - KW NOWA DEMOKRACJA - TAK"
1;"""Dzienny Dom Senior-Wigor"" (budynek Dworca PKP), ul. Dworcowa 1, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;366;121;938;138
2;"Szkoła Podstawowa nr 1 (budynek hali sportowej), ul. Ignacego Jana Paderewskiego 13, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;280;105;820;147
3;"Miejski Ośrodek Rozwiązywania Problemów Alkoholowych, ul. Władysława Reymonta 12, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;286;83;848;130
4;"Zespół Szkół im. Hipolita Cegielskiego, ul. Prymasa Stefana Wyszyńskiego 2, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;309;87;668;99
5;"I Liceum Ogólnokształcące im. św. Barbary, ul. Stefana Żeromskiego 11, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;250;94;696;131
6;"Szkoła Podstawowa nr 1 im. Stanisława Staszica (sala gimnastyczna), ul. Stanisława Staszica 19, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;271;114;689;108
7;"Chodzieski Dom Kultury im. Stanisława Moniuszki, ul. Warsztatów Jazzowych 2, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;167;71;495;77
8;"Szkoła Podstawowa Nr 3 im. Powstańców Wielkopolskich, ul. Jana Kochanowskiego 1, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;351;131;951;113
9;"Budynek Domu Pomocy Społecznej, ul. Ujska 47, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;14;4;16;5
10;"Budynek Szpitala Powiatowego, ul. Stefana Żeromskiego 29, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;26;5;42;7
11;"Budynek Szpitala w Chodzieży, ul. Strzelecka 32, 64-800 Chodzież";300101;"m. Chodzież";"chodzieski";"wielkopolskie";1;1;40;2;30;8
1;"Szkoła Podstawowa im. Powstańców Wielkopolskich, os. Wierzbowe 7, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;273;119;594;79
2;"Szkoła Podstawowa im. Powstańców Wielkopolskich, ul. Rogozińska 52, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;356;159;844;102
3;"Gminny Ośrodek Kultury, ul. Władysława Łokietka 31, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;98;34;126;30
4;"Budynek byłej Szkoły Podstawowej, Sokołowo Budzyńskie 28, 64-841 Sokołowo Budzyńskie";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;78;23;60;12
5;"Wiejski Dom Kultury w Wyszynach, ul. Czarnkowska 2, 64-834 Wyszyny";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;140;58;225;50
6;"Świetlica Wiejska, Dziewoklucz 17A, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;73;22;75;15
7;"Świetlica Wiejska, Bukowiec 23, 64-834 Wyszyny";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;54;31;93;27
8;"Świetlica Wiejska, Ostrówki 15A, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;36;13;60;7
9;"Świetlica Wiejska, Podstolice 65, 64-840 Budzyń";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;41;21;69;23
10;"Świetlica Wiejska, Prosna 2, 64-834 Wyszyny";300102;"gm. Budzyń";"chodzieski";"wielkopolskie";1;1;49;28;73;25
1;"Świetlica Wiejska w Ratajach, Rataje os. Osiedle Wichrowe Wzgórze 1, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;146;70;477;87
2;"Świetlica Wiejska w Strzelcach, Strzelce 24, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;91;47;229;56
3;"Świetlica Wiejska w Zacharzynie, ul. Cicha 19, 64-813 Zacharzyn";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;191;90;288;92
4;"Świetlica Wiejska w Podaninie, Podanin 28, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;91;39;152;22
5;"Wiejski Klub Kultury w Stróżewie, Stróżewo 55A, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;92;41;190;27
6;"Szkoła Podstawowa w Oleśnicy, Oleśnica 5, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;47;26;116;26
7;"Świetlica Wiejska w Nietuszkowie, Nietuszkowo 52, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;62;13;70;26
8;"Wiejski Klub Kultury w Milczu, Milcz 73A, 64-800 Chodzież";300103;"gm. Chodzież";"chodzieski";"wielkopolskie";1;1;140;60;236;39
1;"Miejsko-Gminny Ośrodek Kultury, ul. Powstańców Wielkopolskich 15, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;253;131;775;125
2;"Urząd Stanu Cywilnego, ul. Poznańska 8, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;141;60;198;54
3;"Świetlica Wiejska Dom Strażaka, Zbyszewice 2c, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;113;35;111;25
4;"Spółdzielnia ""Adorol"", Adolfowo 22A, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;61;32;179;28
5;"Miejsko-Gminna Biblioteka Publiczna w Margoninie, Filia w Lipinach, Lipiny 38, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;105;38;98;30
6;"Miejsko-Gminna Biblioteka Publiczna w Margoninie, Filia w Radwankach, Radwanki 30b, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;54;25;78;14
7;"Świetlica Wiejska, Próchnowo 30E, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;49;21;93;15
8;"Sala Wiejska, Margońska Wieś 14, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;151;59;196;33
9;"Świetlica Wiejska, Sypniewo 8, 64-830 Margonin";300104;"gm. Margonin";"chodzieski";"wielkopolskie";1;1;50;26;121;15
1;"Biblioteka Publiczna, ul. Rynek 1, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;307;103;540;99
2;"Szkoła Podstawowa w Szamocinie, ul. 19 Stycznia 29, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;275;114;509;114
3;"Dom Kultury, Lipia Góra 88a, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;181;71;187;46
4;"Świetlica Wiejska, Nałęcza 25a, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;112;32;131;46
5;"Ośrodek Szkolenia i Wychowania OHP, ul. Szkolna 11, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;166;64;288;60
6;"Świetlica Wiejska, Heliodorowo 16, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;43;24;70;8
7;"Świetlica Wiejska, Lipa 33, 64-820 Szamocin";300105;"gm. Szamocin";"chodzieski";"wielkopolskie";1;1;104;35;70;11
1;"Przedszkole Miejskie Nr 2, ul. Osiedle Parkowe 10, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;280;71;630;133
2;"Szkoła Podstawowa nr 2, ul. Wroniecka 136, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;288;81;658;131
3;"Miejskie Centrum Kultury, ul. Kościuszki 60, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;238;87;536;105
4;"Przedszkole Miejskie Nr 1, ul. Rolna 2, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;338;110;744;173
5;"Muzeum Ziemi Czarnkowskiej, ul. Wroniecka 32, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;245;79;618;133
6;"Szpital Powiatowy w Czarnkowie, ul. Kościuszki 94, 64-700 Czarnków";300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;2;0;9;1
1;"Szkoła Podstawowa, Romanowo Dolne 123, 64-704 Romanowo Dolne";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;153;62;161;60
2;"Szkoła Podstawowa, Sarbia 1, 64-705 Sarbia";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;64;15;46;13
3;"Szkoła Podstawowa im. Leśników Polskich, ul. Szkolna 2, 64-707 Gębice";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;220;55;178;68
4;"Sala Wiejska w Hucie, ul. Leśna 12, 64-708 Huta";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;80;31;114;71
5;"Szkoła Podstawowa, Śmieszkowo ul. Szkolna 38, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;193;78;346;161
6;"Sala Wiejska, Ciszkowo ul. Lipowa 7, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;45;21;81;18
7;"Szkoła Podstawowa, Jędrzejewo 25, 64-713 Jędrzejewo";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;128;60;212;66
8;"Sala Wiejska, Gajewo 51, 64-713 Jędrzejewo";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;113;57;128;46
9;"Szkoła Podstawowa im. Powstańców Wielkopolskich 1918/1919, Kuźnica Czarnkowska ul. Szkolna 10, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;203;75;340;78
10;"Szkoła Podstawowa, Romanowo Górne 72, 64-704 Romanowo Dolne";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;145;48;143;52
11;"Sala Wiejska, Brzeźno ul. Dolna 1, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;100;37;213;85
12;"Sala Wiejska, Góra nad Notecią 2, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;78;25;139;27
13;"Sala Wiejska, Komorzewo 43, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;48;24;42;54
14;"Sala Wiejska, Marunowo 13, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;42;13;73;11
15;"Sala Wiejska, Mikołajewo 39, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;76;24;49;27
16;"Sala Wiejska, Sarbka 21A, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;48;22;79;20
17;"Sala Wiejska, Zofiowo 24A, 64-700 Czarnków";300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;62;42;90;26
1;"Urząd Gminy Drawsko sala narad, ul. Powstańców Wielkopolskich 121, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;296;79;348;87
2;"Sala Wiejska w Drawskim Młynie, Drawski Młyn ul. Szosa Dworcowa 2, 64-731 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;171;73;224;71
3;"Świetlica Wiejska w Piłce, Piłka 93a, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;172;55;130;37
4;"Szkoła Podstawowa im. Józefa Noji w Pęckowie, Pęckowo ul. Powstańców Wielkopolskich 1, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;225;93;184;65
5;"Świetlica Wiejska w Chełście, Chełst 78A, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;140;33;100;30
6;"Świetlica Wiejska w Kamienniku, Kamiennik 58, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;81;28;88;17
7;"Świetlica Wiejska w Kawczynie, Kawczyn 39a, 64-733 Drawsko";300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;83;28;82;21
1;"Zespół Szkół Ogólnokształcących, ul. Wojska Polskiego 31, 64-761 Krzyż Wielkopolski";300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;377;108;725;105
2;"Miejsko-Gminny Ośrodek Kultury, ul. Wojska Polskiego 11, 64-761 Krzyż Wielkopolski";300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;374;85;412;70
3;"Zespół Szkół Ogólnokształcących, ul. Henryka Sienkiewicza 1, 64-761 Krzyż Wielkopolski";300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;387;148;650;125
4;"Sala wiejska, Kuźnica Żelichowska nr działki 170/8, 64-761 Krzyż Wielkopolski";300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;66;18;54;17
5;"Sala wiejska, Huta Szklana 73, 64-761 Krzyż Wielkopolski";300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";1;1;117;41;132;29
