"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
200100;"augustowski";"podlaskie";54;54;11931;12751;3638
200400;"grajewski";"podlaskie";46;46;7133;10702;3773
200600;"kolneński";"podlaskie";48;48;4908;10297;2580
200700;"łomżyński";"podlaskie";61;61;6612;15401;3482
200800;"moniecki";"podlaskie";43;43;6037;9536;2628
200900;"sejneński";"podlaskie";22;22;4954;3590;1009
201200;"suwalski";"podlaskie";42;42;7644;8030;2323
201400;"zambrowski";"podlaskie";49;49;6971;12143;2734
206200;"Łomża";"podlaskie";32;32;12906;13899;3702
206300;"Suwałki";"podlaskie";38;38;17603;12478;4131
